"o","l"
-2,1.77172900187367e-05
-1.99,1.7205047308604e-05
-1.98,1.67041400927838e-05
-1.97,1.62144637828094e-05
-1.96,1.57359114953239e-05
-1.95,1.52683740945859e-05
-1.94,1.48117402380281e-05
-1.93,1.43658964249208e-05
-1.92,1.39307270481926e-05
-1.91,1.35061144494561e-05
-1.9,1.30919389772859e-05
-1.89,1.26880790487935e-05
-1.88,1.22944112145424e-05
-1.87,1.19108102268416e-05
-1.86,1.15371491114581e-05
-1.85,1.1173299242783e-05
-1.84,1.08191304224858e-05
-1.83,1.04745109616888e-05
-1.82,1.01393077666933e-05
-1.81,9.81338642828603e-06
-1.8,9.49661131465531e-06
-1.79,9.18884566794417e-06
-1.78,8.88995170446928e-06
-1.77,8.59979071863432e-06
-1.76,8.31822319056812e-06
-1.75,8.04510889752014e-06
-1.74,7.78030702904992e-06
-1.73,7.52367630605057e-06
-1.72,7.27507510365386e-06
-1.71,7.03436157807069e-06
-1.7,6.80139379743156e-06
-1.69,6.57602987670278e-06
-1.68,6.35812811676743e-06
-1.67,6.14754714777936e-06
-1.66,5.94414607691535e-06
-1.65,5.74778464067754e-06
-1.64,5.55832336192353e-06
-1.63,5.37562371183522e-06
-1.62,5.19954827707515e-06
-1.61,5.02996093242188e-06
-1.6,4.86672701922774e-06
-1.59,4.70971353009918e-06
-1.58,4.55878930026711e-06
-1.57,4.41382520619172e-06
-1.56,4.27469437203303e-06
-1.55,4.14127238471958e-06
-1.54,4.01343751846212e-06
-1.53,3.89107096968965e-06
-1.52,3.77405710353568e-06
-1.51,3.66228371317168e-06
-1.5,3.55564229348e-06
-1.49,3.45402833078013e-06
-1.48,3.35734161057402e-06
-1.47,3.26548654556547e-06
-1.46,3.17837252653623e-06
-1.45,3.0959142990375e-06
-1.44,3.01803236928258e-06
-1.43,2.94465344311655e-06
-1.42,2.8757109024971e-06
-1.41,2.81114532456017e-06
-1.4,2.75090504907598e-06
-1.39,2.69494680093863e-06
-1.38,2.64323637529419e-06
-1.37,2.59574939401362e-06
-1.36,2.55247214348431e-06
-1.35,2.51340250514796e-06
-1.34,2.4785509918881e-06
-1.33,2.44794190529773e-06
-1.32,2.42161463108018e-06
-1.31,2.39962509239963e-06
-1.3,2.38204738395741e-06
-1.29,2.36897561299078e-06
-1.28,2.36052597734659e-06
-1.27,2.35683911536094e-06
-1.26,2.35808276758054e-06
-1.25,2.36445479651011e-06
-1.24,2.37618661770367e-06
-1.23,2.39354710379851e-06
-1.22,2.41684703270946e-06
-1.21,2.44644416238151e-06
-1.2,2.48274902749983e-06
-1.19,2.5262315686832e-06
-1.18,2.57742872229521e-06
-1.17,2.63695311951062e-06
-1.16,2.70550306715956e-06
-1.15,2.78387401070289e-06
-1.14,2.87297171212949e-06
-1.13,2.97382741338004e-06
-1.12,3.08761529998846e-06
-1.11,3.21567263103835e-06
-1.1,3.3595229614711e-06
-1.09,3.52090295267372e-06
-1.08,3.70179334875752e-06
-1.07,3.90445479092766e-06
-1.06,4.13146925304801e-06
-1.05,4.385788010495e-06
-1.04,4.67078720463424e-06
-1.03,4.99033224017713e-06
-1.02,5.34885245623878e-06
-1.01,5.75142774868704e-06
-1,6.2038890965887e-06
-0.99,6.71293526525064e-06
-0.98,7.28626832942068e-06
-0.97,7.93275109055092e-06
-0.96,8.6625899606363e-06
-0.95,9.48754746227588e-06
-0.94,1.0421189161885e-05
-0.93,1.14791706235781e-05
-0.92,1.26795708599827e-05
-0.91,1.40432797798116e-05
-0.9,1.55944483090912e-05
-0.89,1.73610112143322e-05
-0.88,1.93752942047238e-05
-0.87,2.16747186621366e-05
-0.86,2.43026193702756e-05
-0.85,2.73091929182179e-05
-0.84,3.07525970717446e-05
-0.83,3.47002243736524e-05
-0.82,3.92301765890619e-05
-0.81,4.44329703928732e-05
-0.8,5.04135089444534e-05
-0.79,5.7293358750341e-05
-0.78,6.52133765197344e-05
-0.77,7.43367366084584e-05
-0.76,8.48524161601242e-05
-0.75,9.69792022179193e-05
-0.74,0.000110970292918228
-0.73,0.000127118573398084
-0.72,0.000145762656247187
-0.71,0.000167293786187023
-0.7,0.000192163719114964
-0.69,0.000220893696629501
-0.68,0.000254084648535692
-0.67,0.000292428767454104
-0.66,0.000336722611304224
-0.65,0.000387881900824678
-0.64,0.000446958190074693
-0.63,0.000515157597599091
-0.62,0.000593861794105934
-0.61,0.000684651448473162
-0.6,0.000789332336930532
-0.59,0.000909964319502538
-0.58,0.00104889338227353
-0.57,0.00120878693265636
-0.56,0.00139267251640388
-0.55,0.00160398009828971
-0.54,0.00184658801180742
-0.53,0.00212487263544713
-0.52,0.00244376179263926
-0.51,0.00280879179787475
-0.5,0.00322616798148506
-0.49,0.00370282841893471
-0.48,0.00424651046635402
-0.47,0.00486581956190243
-0.46,0.00557029959238058
-0.45,0.00637050394689794
-0.44,0.0072780661857059
-0.43,0.00830576904476596
-0.42,0.0094676102785021
-0.41,0.0107788636188818
-0.4,0.0122561329040988
-0.39,0.0139173972115895
-0.38,0.015782044626073
-0.37,0.0178708920931607
-0.36,0.0202061886633231
-0.35,0.0228115993309849
-0.34,0.025712166631194
-0.33,0.0289342471837606
-0.32,0.0325054204837749
-0.31,0.036454367438844
-0.3,0.0408107164565091
-0.29,0.0456048552971431
-0.28,0.0508677074321543
-0.27,0.0566304722848213
-0.26,0.0629243294774667
-0.25,0.0697801080549683
-0.24,0.0772279225865364
-0.23,0.0852967790456536
-0.22,0.0940141544070832
-0.21,0.103405554950085
-0.2,0.113494059284409
-0.19,0.124299853083086
-0.18,0.135839763374482
-0.17,0.148126800976375
-0.16,0.161169720209123
-0.15,0.174972605369116
-0.14,0.189534493548638
-0.13,0.204849043232016
-0.12,0.220904257667267
-0.11,0.237682271303929
-0.0999999999999999,0.255159206608536
-0.0899999999999999,0.273305107337516
-0.0800000000000001,0.292083952891922
-0.0700000000000001,0.311453756738179
-0.0600000000000001,0.331366750101104
-0.05,0.351769650273757
-0.04,0.372604011001706
-0.03,0.393806650547116
-0.02,0.415310151280629
-0.01,0.437043423042481
0,0.458932321109535
0.0100000000000002,0.480900308444576
0.02,0.502869151022009
0.0300000000000002,0.524759634442054
0.04,0.546492289775408
0.0499999999999998,0.567988116621334
0.0600000000000001,0.589169291703163
0.0699999999999998,0.609959851944748
0.0800000000000001,0.630286341839319
0.0899999999999999,0.650078416001292
0.1,0.669269389039893
0.11,0.687796726265237
0.12,0.705602470186792
0.13,0.722633599244811
0.14,0.738842316684704
0.15,0.754186268902459
0.16,0.768628693922185
0.17,0.782138501886016
0.18,0.79469029051913
0.19,0.806264299463197
0.2,0.816846308139794
0.21,0.826427482407739
0.22,0.835004175716304
0.23,0.842577690735726
0.24,0.849154007577924
0.25,0.854743484716191
0.26,0.859360538588763
0.27,0.863023307643766
0.28,0.865753306269732
0.29,0.867575073674318
0.3,0.868515822340301
0.31,0.868605090219351
0.32,0.867874400334272
0.33,0.866356930963364
0.34,0.8640871990871
0.35,0.861100759297859
0.36,0.85743391991538
0.37,0.853123477620738
0.38,0.848206471524381
0.39,0.842719957222367
0.4,0.836700801071346
0.41,0.830185494627954
0.42,0.823209988951698
0.43,0.815809548260929
0.44,0.80801862225817
0.45,0.799870736300868
0.46,0.791398398484593
0.47,0.782633022624963
0.48,0.773604866069135
0.49,0.76434298123498
0.5,0.754875179762599
0.51,0.745228008166588
0.52,0.735426733895283
0.53,0.725495340732635
0.54,0.715456532517592
0.55,0.705331744202219
0.56,0.695141159321808
0.57,0.68490373300625
0.58,0.674637219720357
0.59,0.664358204980608
0.6,0.654082140355675
0.61,0.643823381117541
0.62,0.633595225967896
0.63,0.623409958320636
0.64,0.613278888674905
0.65,0.603212397664242
0.66,0.593219979415327
0.67,0.583310284894997
0.68,0.573491164965893
0.69,0.563769712909815
0.7,0.554152306213524
0.71,0.544644647443947
0.72,0.535251804069434
0.73,0.525978247110255
0.74,0.516827888525407
0.75,0.507804117264315
0.76,0.498909833930788
0.77,0.490147484023544
0.78,0.48151908973215
0.79,0.473026280280117
0.8,0.464670320817894
0.81,0.456452139877994
0.82,0.44837235541254
0.83,0.440431299440241
0.84,0.432629041335407
0.85,0.424965409796163
0.86,0.417440013532622
0.87,0.410052260718609
0.88,0.402801377252594
0.89,0.395686423874958
0.9,0.388706312189621
0.91,0.381859819638487
0.92,0.375145603477225
0.93,0.368562213800502
0.94,0.3621081056643
0.95,0.355781650351975
0.96,0.349581145829719
0.97,0.343504826435875
0.98,0.337550871847196
0.99,0.331717415363654
1,0.326002551551974
1.01,0.320404343286414
1.02,0.314920828223755
1.03,0.309550024747816
1.04,0.304289937417233
1.05,0.299138561948579
1.06,0.294093889765363
1.07,0.289153912141849
1.08,0.284316623969132
1.09,0.279580027169418
1.1,0.274942133783041
1.11,0.270400968751299
1.12,0.265954572416957
1.13,0.261601002762855
1.14,0.257338337407949
1.15,0.253164675378857
1.16,0.24907813867388
1.17,0.245076873635419
1.18,0.24115905214567
1.19,0.237322872659527
1.2,0.2335665610877
1.21,0.229888371542211
1.22,0.226286586955592
1.23,0.222759519584351
1.24,0.219305511406536
1.25,0.215922934422574
1.26,0.212610190867866
1.27,0.209365713345072
1.28,0.206187964883402
1.29,0.203075438931743
1.3,0.200026659291915
1.31,0.197040179997914
1.32,0.194114585146538
1.33,0.191248488684393
1.34,0.188440534155918
1.35,0.185689394416653
1.36,0.182993771315727
1.37,0.180352395351137
1.38,0.177764025301196
1.39,0.175227447835181
1.4,0.172741477106012
1.41,0.170304954327531
1.42,0.167916747338771
1.43,0.165575750157349
1.44,0.163280882523987
1.45,0.161031089439963
1.46,0.158825340699126
1.47,0.156662630415997
1.48,0.154541976551302
1.49,0.152462420436169
1.5,0.150423026296127
1.51,0.148422880775896
1.52,0.146461092465881
1.53,0.144536791431205
1.54,0.142649128743981
1.55,0.140797276019507
1.56,0.138980424956943
1.57,0.137197786884996
1.58,0.135448592313066
1.59,0.13373209048824
1.6,0.132047548958491
1.61,0.130394253142375
1.62,0.128771505905481
1.63,0.127178627143848
1.64,0.125614953374537
1.65,0.12407983733349
1.66,0.122572647580804
1.67,0.121092768113504
1.68,0.119639597985884
1.69,0.11821255093744
1.7,0.11681105502845
1.71,0.115434552283164
1.72,0.114082498340622
1.73,0.112754362113053
1.74,0.111449625451817
1.75,0.110167782820841
1.76,0.108908340977477
1.77,0.107670818660709
1.78,0.106454746286634
1.79,0.105259665651113
1.8,0.104085129639503
1.81,0.10293070194338
1.82,0.101795956784116
1.83,0.100680478643228
1.84,0.0995838619993732
1.85,0.0985057110718672
1.86,0.0974456395706168
1.87,0.096403270452337
1.88,0.0953782356829366
1.89,0.094370176005943
1.9,0.0933787407168417
1.91,0.0924035874432136
1.92,0.0914443819305349
1.93,0.0905007978335238
1.94,0.0895725165129038
1.95,0.0886592268374657
1.96,0.0877606249913065
1.97,0.086876414286116
1.98,0.086006304978405
1.99,0.0851500140915434
2,0.0843072652425015
2.01,0.0834777884731768
2.02,0.0826613200861867
2.03,0.0818576024850265
2.04,0.0810663840184769
2.05,0.0802874188291502
2.06,0.0795204667060772
2.07,0.0787652929412267
2.08,0.0780216681898549
2.09,0.0772893683345879
2.1,0.0765681743531383
2.11,0.0758578721895599
2.12,0.0751582526289489
2.13,0.0744691111754967
2.14,0.0737902479338102
2.15,0.0731214674934078
2.16,0.0724625788163072
2.17,0.0718133951276219
2.18,0.0711737338090869
2.19,0.070543416295431
2.2,0.0699222679735204
2.21,0.0693101180841984
2.22,0.0687067996267464
2.23,0.0681121492658967
2.24,0.0675260072413226
2.25,0.0669482172795462
2.26,0.0663786265081874
2.27,0.065817085372498
2.28,0.0652634475541122
2.29,0.0647175698919574
2.3,0.0641793123052623
2.31,0.0636485377186034
2.32,0.0631251119889379
2.33,0.0626089038345648
2.34,0.0620997847659626
2.35,0.0615976290184466
2.36,0.0611023134866072
2.37,0.0606137176604638
2.38,0.0601317235633024
2.39,0.0596562156911382
2.4,0.0591870809537657
2.41,0.0587242086173503
2.42,0.0582674902485154
2.43,0.05781681965989
2.44,0.0573720928570696
2.45,0.0569332079869593
2.46,0.0565000652874495
2.47,0.0560725670384013
2.48,0.055650617513893
2.49,0.0552341229357021
2.5,0.0548229914279811
2.51,0.054417132973102
2.52,0.054016459368631
2.53,0.0536208841854048
2.54,0.0532303227266799
2.55,0.0528446919883218
2.56,0.0524639106200081
2.57,0.0520878988874195
2.58,0.0517165786353851
2.59,0.0513498732519652
2.6,0.0509877076334371
2.61,0.0506300081501647
2.62,0.0502767026133283
2.63,0.0499277202424871
2.64,0.0495829916339541
2.65,0.0492424487299631
2.66,0.0489060247886038
2.67,0.0485736543545046
2.68,0.0482452732302449
2.69,0.0479208184484731
2.7,0.047600228244719
2.71,0.0472834420308701
2.72,0.0469704003693084
2.73,0.0466610449476756
2.74,0.0463553185542628
2.75,0.0460531650539973
2.76,0.0457545293650183
2.77,0.0454593574358221
2.78,0.0451675962229622
2.79,0.0448791936692898
2.8,0.0445940986827219
2.81,0.044312261115519
2.82,0.044033631744065
2.83,0.0437581622491295
2.84,0.0434858051966053
2.85,0.0432165140187055
2.86,0.0429502429956092
2.87,0.0426869472375439
2.88,0.0424265826672934
2.89,0.0421691060031205
2.9,0.0419144747420916
2.91,0.0416626471437968
2.92,0.041413582214451
2.93,0.0411672396913687
2.94,0.0409235800278027
2.95,0.040682564378136
2.96,0.0404441545834192
2.97,0.0402083131572445
2.98,0.0399750032719459
2.99,0.0397441887451209
3,0.03951583402646
3.01,0.0392899041848835
3.02,0.0390663648959693
3.03,0.0388451824296731
3.04,0.0386263236383255
3.05,0.0384097559449063
3.06,0.0381954473315817
3.07,0.0379833663285063
3.08,0.0377734820028737
3.09,0.0375657639482185
3.1,0.0373601822739564
3.11,0.0371567075951616
3.12,0.0369553110225723
3.13,0.0367559641528196
3.14,0.0365586390588748
3.15,0.0363633082807098
3.16,0.0361699448161645
3.17,0.0359785221120156
3.18,0.0357890140552448
3.19,0.035601394964498
3.2,0.0354156395817325
3.21,0.0352317230640479
3.22,0.035049620975696
3.23,0.0348693092802642
3.24,0.0346907643330301
3.25,0.0345139628734821
3.26,0.0343388820180013
3.27,0.0341654992527031
3.28,0.0339937924264315
3.29,0.0338237397439058
3.3,0.0336553197590139
3.31,0.0334885113682478
3.32,0.0333232938042819
3.33,0.0331596466296863
3.34,0.0329975497307743
3.35,0.0328369833115807
3.36,0.0326779278879667
3.37,0.0325203642818505
3.38,0.032364273615558
3.39,0.0322096373062934
3.4,0.0320564370607244
3.41,0.0319046548696821
3.42,0.03175427300297
3.43,0.0316052740042822
3.44,0.0314576406862258
3.45,0.031311356125448
3.46,0.0311664036578621
3.47,0.0310227668739726
3.48,0.0308804296142979
3.49,0.0307393759648837
3.5,0.0305995902529108
3.51,0.0304610570423918
3.52,0.0303237611299551
3.53,0.0301876875407145
3.54,0.0300528215242232
3.55,0.0299191485505088
3.56,0.0297866543061884
3.57,0.0296553246906631
3.58,0.0295251458123861
3.59,0.0293961039852084
3.6,0.0292681857247965
3.61,0.0291413777451203
3.62,0.0290156669550127
3.63,0.0288910404547962
3.64,0.0287674855329771
3.65,0.0286449896630033
3.66,0.0285235405000886
3.67,0.0284031258780967
3.68,0.0282837338064883
3.69,0.0281653524673264
3.7,0.0280479702123415
3.71,0.0279315755600522
3.72,0.027816157192943
3.73,0.0277017039546969
3.74,0.0275882048474801
3.75,0.0274756490292801
3.76,0.0273640258112956
3.77,0.0272533246553743
3.78,0.0271435351715025
3.79,0.0270346471153404
3.8,0.0269266503858057
3.81,0.0268195350227023
3.82,0.0267132912043949
3.83,0.0266079092455265
3.84,0.0265033795947799
3.85,0.026399692832681
3.86,0.0262968396694432
3.87,0.0261948109428528
3.88,0.0260935976161928
3.89,0.0259931907762073
3.9,0.0258935816311018
3.91,0.0257947615085817
3.92,0.0256967218539274
