"o","LSS_likelihood","Radiobiological_prior","Combined_posterior"
-2,NA,8.9129718026129e-05,NA
-1.98,NA,8.46627547550506e-05,NA
-1.96,NA,8.03441927934659e-05,NA
-1.94,NA,7.61728014400141e-05,NA
-1.92,NA,7.21472361103628e-05,NA
-1.9,NA,6.82660378553136e-05,NA
-1.88,NA,6.4527633151493e-05,NA
-1.86,NA,6.09303339829944e-05,NA
-1.84,NA,5.74723382323396e-05,NA
-1.82,NA,5.41517303989288e-05,NA
-1.8,NA,5.09664826628455e-05,NA
-1.78,NA,4.791445631133e-05,NA
-1.76,NA,4.49934035445394e-05,NA
-1.74,NA,4.22009696762177e-05,NA
-1.72,NA,3.9534695743725e-05,NA
-1.7,NA,3.69920215403871e-05,NA
-1.68,NA,3.45702890813386e-05,NA
-1.66,NA,3.22667465120038e-05,NA
-1.64,NA,3.00785524659121e-05,NA
-1.62,NA,2.80027808758349e-05,NA
-1.6,NA,2.60364262391552e-05,NA
-1.58,NA,2.41764093349316e-05,NA
-1.56,NA,2.24195833863797e-05,NA
-1.54,NA,2.07627406583686e-05,NA
-1.52,NA,1.9202619475131e-05,NA
-1.5,NA,1.77359116387033e-05,NA
-1.48,NA,1.63592702236842e-05,NA
-1.46,NA,1.50693177187772e-05,NA
-1.44,NA,1.38626544804032e-05,NA
-1.42,NA,1.27358674583708e-05,NA
-1.4,NA,1.16855391484381e-05,NA
-1.38,NA,1.07082567215609e-05,NA
-1.36,NA,9.80062127489682e-06,NA
-1.34,NA,8.95925714532557e-06,NA
-1.32,NA,8.18082122249638e-06,NA
-1.3,NA,7.46201219537808e-06,NA
-1.28,NA,6.79957966410763e-06,NA
-1.26,NA,6.19033304778177e-06,NA
-1.24,NA,5.63115021884678e-06,NA
-1.22,NA,5.11898579608959e-06,NA
-1.2,NA,4.65087903104828e-06,NA
-1.18,NA,4.22396122709716e-06,NA
-1.16,NA,3.83546263665364e-06,NA
-1.14,NA,3.4827187900406e-06,NA
-1.12,NA,3.16317621965087e-06,NA
-1.1,NA,2.87439755535135e-06,NA
-1.08,NA,2.61406598169505e-06,NA
-1.06,NA,2.37998906469741e-06,NA
-1.04,NA,2.17010197593376e-06,NA
-1.02,NA,1.98247016491849e-06,NA
-1,NA,1.81529155764512e-06,NA
-0.98,NA,1.66689839055067e-06,NA
-0.96,NA,1.53575882607481e-06,NA
-0.94,NA,1.42047853991432e-06,NA
-0.92,NA,1.3198025231425e-06,NA
-0.9,NA,1.23261740752231e-06,NA
-0.88,NA,1.15795470370675e-06,NA
-0.86,NA,1.09499544526171e-06,NA
-0.84,NA,1.04307686437119e-06,NA
-0.82,NA,1.00170189836977e-06,NA
-0.8,NA,9.7055255445259e-07,NA
-0.78,NA,9.4950846283658e-07,NA
-0.76,NA,9.38672353122304e-07,NA
-0.74,NA,9.38404730930819e-07,NA
-0.72,NA,9.49370761011901e-07,NA
-0.7,NA,9.72603344755919e-07,NA
-0.68,NA,1.00958770257781e-06,NA
-0.66,NA,1.06237455260456e-06,NA
-0.64,NA,1.13373137256402e-06,NA
-0.62,NA,1.22734444748e-06,NA
-0.6,NA,1.34808871080021e-06,NA
-0.58,NA,1.50238812952607e-06,NA
-0.56,NA,1.69869701133215e-06,NA
-0.54,NA,1.9481426879473e-06,NA
-0.52,NA,2.26538325610087e-06,NA
-0.5,NA,2.66975129116431e-06,NA
-0.48,NA,3.18677670870253e-06,NA
-0.46,NA,3.85021041372289e-06,NA
-0.44,NA,4.7047063560805e-06,NA
-0.42,NA,5.8093644824835e-06,NA
-0.4,NA,7.24239217999611e-06,NA
-0.38,NA,9.10720827791199e-06,NA
-0.36,NA,1.15403923874583e-05,NA
-0.34,NA,1.47219764840945e-05,NA
-0.32,NA,1.88887231041503e-05,NA
-0.3,0.0632176784161602,2.43515860263319e-05,4.47540976293963e-06
-0.28,0.0782253772628316,3.15218946711056e-05,7.16847854354809e-06
-0.26,0.0960553071652156,4.09689840873708e-05,1.14404621805359e-05
-0.24,0.117007811986879,5.36091809975742e-05,1.82356412815968e-05
-0.22,0.141350461198738,7.13754981142172e-05,2.93300897395016e-05
-0.2,0.169298403110087,9.93184251742987e-05,4.88820821005849e-05
-0.18,0.200993847004494,0.000151115250558085,8.82994641425581e-05
-0.16,0.236486168099367,0.000261004621546564,0.000179440698617485
-0.14,0.275714365337749,0.000505056632799008,0.000404824215740724
-0.12,0.31849367070458,0.00103204451879589,0.000955578231243829
-0.1,0.364507969455758,0.00209875521226603,0.00222400533919481
-0.08,0.413309331158256,0.00409840047193349,0.00492443730921322
-0.06,0.464325394850385,0.00756760108924266,0.0102152189020736
-0.04,0.516874656407947,0.0131602539280672,0.0197750011357273
-0.02,0.570188958557554,0.021585433906302,0.0357805157356966
0,0.623441783643592,0.0335179111061077,0.0607491016974175
0.02,0.67578039164667,0.0494990218116775,0.0972454325894697
0.04,0.726359504844616,0.0698489317496254,0.147495374946338
0.06,0.774374155240382,0.0946080510777461,0.212983498176331
0.08,0.819089480880163,0.123517461492138,0.2941214618963
0.1,0.859865644625138,0.156038915706985,0.390059204714717
0.12,0.896176588299258,0.191407186129799,0.498676431227858
0.14,0.927621946863687,0.228702944000888,0.616750883271187
0.16,0.953932052198749,0.266933217295716,0.74026475432635
0.18,0.974966487548434,0.305108077475307,0.864789490542822
0.2,0.990707065409009,0.342305380632781,0.985884402668249
0.22,1.00124637062675,0.377719016232494,1.099453369371
0.24,1.00677313552299,0.410689379930887,1.20202112635403
0.26,1.00755571100791,0.440717244760487,1.29091046979984
0.28,1.00392479396629,0.467463736352072,1.36431959256551
0.3,0.996256398638597,0.49073981498589,1.42131201846056
0.32,0.984955849812695,0.510488727891921,1.46173932388887
0.34,0.97044335579029,0.526764541356355,1.48611950391282
0.36,0.953141510486898,0.539709290646113,1.49549266742365
0.38,0.933464891004154,0.54953064612879,1.49127217642611
0.4,0.911811767496544,0.556481385228944,1.47510469042751
0.42,0.888557828730508,0.560841437314498,1.44874783869631
0.44,0.86405174803433,0.562902854765793,1.41397006169857
0.46,0.838612366418794,0.562957759128262,1.37247385931597
0.48,0.812527247194815,0.561289104688265,1.3258413372994
0.5,0.786052353682173,0.558163975650739,1.2754994791536
0.52,0.759412613084192,0.553829068746749,1.22270183118623
0.54,0.732803150432208,0.54850799337482,1.1685230900284
0.56,0.706391002660197,0.542400031756825,1.11386324919322
0.58,0.680317151226889,0.535680030575671,1.05945834597714
0.6,0.654698739975167,0.528499134563415,1.00589533806367
0.62,0.629631371555624,0.52098611542547,0.953629149852878
0.64,0.605191399792414,0.513249092235277,0.903000409973605
0.66,0.581438156350205,0.505377479477759,0.854252824527887
0.68,0.558416067825992,0.49744403483932,0.807549482760903
0.7,0.536156634028658,0.489506910013962,0.762987671550796
0.72,0.514680249959379,0.481611634109191,0.720611987618819
0.74,0.493997863187799,0.473792980915261,0.680425690480479
0.76,0.474112465285818,0.466076688753065,0.642400345020373
0.78,0.4550204210887,0.458481015338391,0.606483870219559
0.8,0.436712643137366,0.451018120617508,0.572607149125593
0.82,0.419175621018829,0.443695278352149,0.540689372460844
0.84,0.40239231672932,0.436515922836069,0.510642290730231
0.86,0.386342937861345,0.429480540936697,0.482373542368236
0.88,0.371005600549433,0.422587422043932,0.455789212196875
0.9,0.356356893851846,0.415833279795384,0.430795758071414
0.92,0.342372356718527,0.409213759899006,0.407301426051632
0.94,0.329026877994234,0.402723848211416,0.385217257087755
0.96,0.316295029102943,0.39635819263452,0.364457771893435
0.98,0.304151338209698,0.390111351506139,0.344941405868891
1,0.292570513799109,0.383977980097101,0.326590752859006
1.02,0.281527624773622,0.377952965672286,0.30933266522769
1.04,0.270998243378565,0.372031520393635,0.293098248137419
1.06,0.260958556516707,0.366209240184639,0.277822777906457
1.08,0.251385450329465,0.360482136572313,0.263445567709381
1.1,0.242256572297703,0.354846647495979,0.249909798509038
1.12,0.233550374552331,0.349299632133896,0.237162328781076
1.14,0.225246141581937,0.343838353956502,0.225153493150228
1.16,0.217324005078047,0.338460455468886,0.213836897348625
1.18,0.209764948264791,0.333163927452483,0.203169214798025
1.2,0.202550801714058,0.327947074952901,0.193109988495848
