"o","l"
-2,6.3440106857403e-08
-1.99,5.89328354862915e-08
-1.98,5.46890256655951e-08
-1.97,5.06971325016468e-08
-1.96,4.69459009650424e-08
-1.95,4.34243681341116e-08
-1.94,4.0121865079097e-08
-1.93,3.70280183810049e-08
-1.92,3.41327512799659e-08
-1.91,3.14262844487639e-08
-1.9,2.88991363880783e-08
-1.89,2.65421234408818e-08
-1.88,2.43463594244607e-08
-1.87,2.23032548794673e-08
-1.86,2.04045159364966e-08
-1.85,1.86421428017212e-08
-1.84,1.70084278642415e-08
-1.83,1.54959534288924e-08
-1.82,1.40975890794439e-08
-1.81,1.28064886782153e-08
-1.8,1.16160870093676e-08
-1.79,1.05200960742312e-08
-1.78,9.51250104825016e-09
-1.77,8.58755591023941e-09
-1.76,7.73977875582689e-09
-1.75,6.96394680804352e-09
-1.74,6.25509113913474e-09
-1.73,5.60849111871796e-09
-1.72,5.01966860441461e-09
-1.71,4.48438189205334e-09
-1.7,3.99861944343962e-09
-1.69,3.5585934105241e-09
-1.68,3.16073297556102e-09
-1.67,2.80167752753079e-09
-1.66,2.47826969569772e-09
-1.65,2.18754826166771e-09
-1.64,1.92674097171241e-09
-1.63,1.69325727142131e-09
-1.62,1.48468098492056e-09
-1.61,1.29876296096775e-09
-1.6,1.13341370817697e-09
-1.59,9.86696041455672e-10
-1.58,8.56817761435556e-10
-1.57,7.421243882612e-10
-1.56,6.41091970551121e-10
-1.55,5.52319989682903e-10
-1.54,4.74524378764199e-10
-1.53,4.06530674752377e-10
-1.52,3.47267321172656e-10
-1.51,2.95759137770565e-10
-1.5,2.5112097222368e-10
-1.49,2.12551547740287e-10
-1.48,1.79327518999718e-10
-1.47,1.50797747448997e-10
-1.46,1.26377805479167e-10
-1.45,1.05544717471511e-10
-1.44,8.78319441451474e-11
-1.43,7.28246150662115e-11
-1.42,6.01550126096382e-11
-1.41,4.94983091128519e-11
-1.4,4.05685574403433e-11
-1.39,3.31149337043292e-11
-1.38,2.69182294729775e-11
-1.37,2.17875894575491e-11
-1.36,1.75574894154446e-11
-1.35,1.40849478488971e-11
-1.34,1.12469640285864e-11
-1.33,8.9381739363091e-12
-1.32,7.06871490753273e-12
-1.31,5.56228906809223e-12
-1.3,4.35441510246984e-12
-1.29,3.39085746502253e-12
-1.28,2.62622184924901e-12
-1.27,2.02270556092508e-12
-1.26,1.54899139392461e-12
-1.25,1.17927367636322e-12
-1.24,8.92405331354569e-13
-1.23,6.71155071706167e-13
-1.22,5.01564210761009e-13
-1.21,3.72393010820395e-13
-1.2,2.74646994034602e-13
-1.19,2.01174195844463e-13
-1.18,1.46324935438728e-13
-1.17,1.05666298910562e-13
-1.16,7.57441669680706e-14
-1.15,5.38862590097428e-14
-1.14,3.80402988683689e-14
-1.13,2.66420254044486e-14
-1.12,1.85083654752867e-14
-1.11,1.275165101835e-14
-1.1,8.71129083481783e-15
-1.09,5.8997972723382e-15
-1.08,3.9605158389321e-15
-1.07,2.63481052926214e-15
-1.06,1.73681913754034e-15
-1.05,1.13421188906309e-15
-1.04,7.33665004666723e-16
-1.03,4.70000653234563e-16
-1.02,2.9814898801218e-16
-1.01,1.87259789190853e-16
-1,1.16434028163514e-16
-0.99,7.16628668008879e-17
-0.98,4.36565896456054e-17
-0.97,2.63219684900653e-17
-0.96,1.57065850447204e-17
-0.95,9.27542360691464e-18
-0.94,5.42102549283708e-18
-0.93,3.1357912721621e-18
-0.92,1.79543705453193e-18
-0.91,1.01767479047935e-18
-0.9,5.71141144460097e-19
-0.89,3.17451234575306e-19
-0.88,1.74799251434465e-19
-0.87,9.53871576022121e-20
-0.86,5.16081931953949e-20
-0.85,2.76981744884496e-20
-0.84,1.4755381368511e-20
-0.83,7.80765036883309e-21
-0.82,4.10684781665243e-21
-0.81,2.14936405610383e-21
-0.8,1.12039123831384e-21
-0.79,5.82354149536535e-22
-0.78,3.02218003568189e-22
-0.77,1.56816277334459e-22
-0.76,8.14878407821785e-23
-0.75,4.24814757113659e-23
-0.74,2.22628150255879e-23
-0.73,1.17547924976261e-23
-0.72,6.26931718234423e-24
-0.71,3.38747577024108e-24
-0.7,1.86063982784484e-24
-0.69,1.04303068279142e-24
-0.68,5.99488551444274e-25
-0.67,3.55172150475467e-25
-0.66,2.18252806101976e-25
-0.65,1.4009591808221e-25
-0.64,9.46945670939039e-26
-0.63,6.80061257308338e-26
-0.62,5.24021269418766e-26
-0.61,4.3780255856913e-26
-0.6,4.00936435587553e-26
-0.59,4.06931235697833e-26
-0.58,4.6264703364276e-26
-0.57,5.95020974632763e-26
