"o","l"
-2,7.98836931916409e-29
-1.99,7.98781160083488e-29
-1.98,7.98718183599356e-29
-1.97,7.98647674324567e-29
-1.96,7.98569288881522e-29
-1.95,7.98482667886129e-29
-1.94,7.98387435134601e-29
-1.93,7.98283196748391e-29
-1.92,7.98169540271814e-29
-1.91,7.9804603371856e-29
-1.9,7.97912224568684e-29
-1.89,7.97767638708217e-29
-1.88,7.97611779311777e-29
-1.87,7.97444125662495e-29
-1.86,7.97264131909161e-29
-1.85,7.97071225752601e-29
-1.84,7.96864807061112e-29
-1.83,7.96644246409675e-29
-1.82,7.96408883539445e-29
-1.81,7.96158025731799e-29
-1.8,7.95890946095237e-29
-1.79,7.95606881757291e-29
-1.78,7.95305031960665e-29
-1.77,7.94984556054367e-29
-1.76,7.94644571379928e-29
-1.75,7.94284151042245e-29
-1.74,7.93902321565976e-29
-1.73,7.93498060426915e-29
-1.72,7.93070293457845e-29
-1.71,7.92617892119964e-29
-1.7,7.92139670641184e-29
-1.69,7.91634383008983e-29
-1.68,7.91100719820844e-29
-1.67,7.90537304985981e-29
-1.66,7.8994269227482e-29
-1.65,7.89174671932077e-29
-1.64,7.88532776359574e-29
-1.63,7.87859208526765e-29
-1.62,7.87152498013402e-29
-1.61,7.86411103941e-29
-1.6,7.85633411894455e-29
-1.59,7.84817730797523e-29
-1.58,7.83962289754105e-29
-1.57,7.83065234880577e-29
-1.56,7.8212462615577e-29
-1.55,7.81138434318699e-29
-1.54,7.80104537856558e-29
-1.53,7.79020720129654e-29
-1.52,7.77884666690571e-29
-1.51,7.76693962865312e-29
-1.5,7.75446091679816e-29
-1.49,7.7413843222271e-29
-1.48,7.72768258565103e-29
-1.47,7.71332739363376e-29
-1.46,7.69828938306347e-29
-1.45,7.68253815586326e-29
-1.44,7.66604230609158e-29
-1.43,7.64876946190041e-29
-1.42,7.63068634522897e-29
-1.41,7.61175885255744e-29
-1.4,7.59195216056181e-29
-1.39,7.57123086106305e-29
-1.38,7.54955913034782e-29
-1.37,7.52690093860585e-29
-1.36,7.50322030605853e-29
-1.35,7.47848161320556e-29
-1.34,7.45264997355759e-29
-1.33,7.42569167822363e-29
-1.32,7.3975747227872e-29
-1.31,7.36826942800333e-29
-1.3,7.33774916689052e-29
-1.29,7.30599121191807e-29
-1.28,7.27297771680088e-29
-1.27,7.23869684829515e-29
-1.26,7.20314408370962e-29
-1.25,7.16632368992837e-29
-1.24,7.12825039910035e-29
-1.23,7.08895129472888e-29
-1.22,7.04846791939858e-29
-1.21,7.00685861144291e-29
-1.2,6.96420107229935e-29
-1.19,6.92059515855653e-29
-1.18,6.87616588250129e-29
-1.17,6.831066591959e-29
-1.16,6.78548228386904e-29
-1.15,6.73963298636555e-29
-1.14,6.69377712084813e-29
-1.13,6.64821472889218e-29
-1.12,6.60329041941968e-29
-1.11,6.55806619292322e-29
-1.1,6.51590414232047e-29
-1.09,6.47719060474442e-29
-1.08,6.44244833255133e-29
-1.07,6.41225090302284e-29
-1.06,6.38722087229362e-29
-1.05,6.36802607141644e-29
-1.04,6.35537375656392e-29
-1.03,6.34697304732265e-29
-1.02,6.363638801951e-29
-1.01,6.42021800176491e-29
-1,6.51925452821123e-29
-0.99,6.66694524664272e-29
-0.98,6.87110504249484e-29
-0.97,7.13998041097244e-29
-0.96,7.47244163549647e-29
-0.95,7.86977005339365e-29
-0.94,8.33894997785231e-29
-0.93,8.88760720198241e-29
-0.92,9.52395000124724e-29
-0.91,1.02566667745203e-28
-0.9,1.10977190690078e-28
-0.89,1.20497093412245e-28
-0.88,1.31237633352957e-28
-0.87,1.43280311961188e-28
-0.86,1.56697203228822e-28
-0.85,1.7148575694085e-28
-0.84,1.87820298792708e-28
-0.83,2.05688130246136e-28
-0.82,2.25080413340175e-28
-0.81,2.45950167297077e-28
-0.8,2.68204618665241e-28
-0.79,2.91697274052048e-28
-0.78,3.16220042716753e-28
-0.77,3.42869120783166e-28
-0.76,3.7981404755913e-28
-0.75,4.29711897931987e-28
-0.74,4.9597073822155e-28
-0.73,5.82812732258012e-28
-0.72,6.9556471162049e-28
-0.71,8.40789406913901e-28
-0.7,1.02616746924527e-27
-0.69,1.2730819131436e-27
-0.68,1.60685706628572e-27
-0.67,2.05965538513677e-27
-0.66,2.67600753135507e-27
-0.65,3.67576789639567e-27
-0.64,5.96462246912754e-27
-0.63,1.16690020482139e-26
-0.62,2.8000114447912e-26
-0.61,8.33185731279363e-26
-0.6,3.09354735948697e-25
-0.59,1.4324672297998e-24
-0.58,8.2070412403653e-24
-0.57,5.72849028949832e-23
-0.56,4.76279250672466e-22
-0.55,4.58455286891923e-21
-0.54,4.94449073292272e-20
-0.53,5.76845199819617e-19
-0.52,7.02459549375747e-18
-0.51,8.62730961419345e-17
-0.5,1.04533242820864e-15
-0.49,1.17647527497699e-14
-0.48,1.21540868285791e-13
-0.47,1.13230740887147e-12
-0.46,9.39178125582212e-12
-0.45,6.87832204958025e-11
-0.44,4.42892529939332e-10
-0.43,2.50474629098415e-09
-0.42,1.24622644665969e-08
-0.41,5.4751384407821e-08
-0.4,2.13497189998556e-07
-0.39,7.43451881502968e-07
-0.38,2.29209627246772e-06
-0.37,6.52360437350609e-06
-0.36,1.6981414735359e-05
-0.35,4.07040134795908e-05
-0.34,9.04315405077185e-05
-0.33,0.000187381831639273
-0.32,0.000364257330866568
-0.31,0.000667948578651622
-0.3,0.00116129094403557
-0.29,0.0019232781295744
-0.28,0.00304734456841117
-0.27,0.00463765024109853
-0.26,0.00680365195140619
-0.25,0.00965353758716863
-0.24,0.013287271684397
-0.23,0.0177900279395365
-0.22,0.023226681271312
-0.21,0.0296378386825468
-0.2,0.0370376546337729
-0.19,0.045413449153537
-0.18,0.054726959086953
-0.17,0.0649169227321591
-0.16,0.075902629280535
-0.15,0.0875880502640843
-0.14,0.0998661979255633
-0.13,0.112623410488396
-0.12,0.125743333053255
-0.11,0.139110434255232
-0.0999999999999999,0.152612965010499
-0.0899999999999999,0.166145321929012
-0.0800000000000001,0.179609822214053
-0.0700000000000001,0.192917928734021
-0.0600000000000001,0.205990984772
-0.05,0.218760529148775
-0.04,0.23116826632478
-0.03,0.243165764441609
-0.02,0.254713948956455
-0.01,0.265782451989939
0,0.276348868951612
0.0100000000000002,0.286397965131527
0.02,0.29592086652603
0.0300000000000002,0.304914261421608
0.04,0.313379632443256
0.0499999999999998,0.321322532973667
0.0600000000000001,0.328751917043149
0.0699999999999998,0.33567952789039
0.0800000000000001,0.342119347383807
0.0899999999999999,0.348087106151731
0.1,0.353599852590762
0.11,0.358675577729507
0.12,0.36333289214719
0.13,0.367590750701033
0.14,0.371468220602687
0.15,0.374984288374388
0.16,0.378157701330129
0.17,0.381006839431806
0.18,0.383549613659281
0.19,0.385803387302627
0.2,0.387784916957039
0.21,0.389510310260999
0.22,0.390994997825844
0.23,0.392253716971962
0.24,0.393300505326766
0.25,0.39414870245043
0.26,0.394810958001468
0.27,0.395299245101459
0.28,0.395624877779602
0.29,0.395798531533657
0.3,0.395830266204341
0.31,0.395729550469243
0.32,0.395505287405416
0.33,0.395165840643459
0.34,0.394719060723375
0.35,0.394172311366212
0.36,0.393532495373778
0.37,0.392806080003578
0.38,0.391999121623935
0.39,0.391117289575958
0.4,0.390165889128117
0.41,0.389149883477994
0.42,0.388073914777694
0.43,0.386942324138389
0.44,0.385759170627922
0.45,0.384528249273924
0.46,0.38325310807159
0.47,0.381937064029921
0.48,0.38058321828804
0.49,0.37919447032714
0.5,0.377773531314019
0.51,0.376322936628876
0.52,0.374845057585266
0.53,0.373342112419412
0.54,0.371816176554334
0.55,0.370269192195056
0.56,0.36870297729703
0.57,0.367119233924715
0.58,0.365519556055182
0.59,0.363905436851396
0.6,0.362278275441171
0.61,0.360639383232142
0.62,0.358989989786865
0.63,0.357331248304939
0.64,0.355664240711575
0.65,0.353989982400277
0.66,0.352309426643435
0.67,0.350623468696202
0.68,0.348932949610598
0.69,0.347238659787017
0.7,0.345541342272293
0.71,0.343841695835448
0.72,0.342140377813062
0.73,0.340438006774276
0.74,0.338735164983074
0.75,0.337032400697533
0.76,0.335330230309916
0.77,0.333629140329
0.78,0.33192958923321
0.79,0.330232009191827
0.8,0.328536807668682
0.81,0.32684436891102
0.82,0.325155055343411
0.83,0.323469208860209
0.84,0.321787152031054
0.85,0.320109189227999
0.86,0.318435607670884
0.87,0.316766678409442
0.88,0.315102657231715
0.89,0.313443785518516
0.9,0.311790291039583
0.91,0.31014238869487
0.92,0.308500281212648
0.93,0.306864159796425
0.94,0.305234204735554
0.95,0.303610585972941
0.96,0.301993463639701
0.97,0.30038298855572
0.98,0.298779302696787
0.99,0.297182539636391
1,0.295592824958085
1.01,0.294010276645446
1.02,0.292435005443848
1.03,0.290867115209003
1.04,0.289306703226883
1.05,0.287753860519959
1.06,0.286208672134865
1.07,0.284671217414493
1.08,0.283141570252692
1.09,0.281619799338395
1.1,0.280105968383524
1.11,0.27860013634109
1.12,0.27710235760988
1.13,0.275612682230251
1.14,0.274131156068547
1.15,0.272657820992971
1.16,0.271192715040758
1.17,0.269735872577067
1.18,0.268287324446003
1.19,0.266847098114393
1.2,0.265415217810161
1.21,0.263991704652627
1.22,0.262576576777336
1.23,0.261169849457177
1.24,0.259771535214076
1.25,0.258381643932061
1.26,0.257000182958838
1.27,0.255627157207559
1.28,0.254262569253446
1.29,0.252906419425448
1.3,0.25155870589545
1.31,0.250219424763298
1.32,0.248888570138526
1.33,0.247566134219607
1.34,0.246252107369001
1.35,0.244946478186876
1.36,0.243649233580939
1.37,0.242360358834211
1.38,0.241079837670679
1.39,0.23980765231754
1.4,0.238543783566531
1.41,0.23728821083236
1.42,0.236040912209404
1.43,0.234801864526298
1.44,0.233571043398608
1.45,0.232348423280216
1.46,0.23113397751229
1.47,0.229927678371462
1.48,0.228729497115351
1.49,0.227539404027856
1.5,0.226357368461768
1.51,0.225183358881249
1.52,0.224017342900967
1.53,0.222859287327017
1.54,0.221709158193431
1.55,0.220566920799481
1.56,0.21943253974505
1.57,0.218305978964986
1.58,0.217187201762539
1.59,0.216076170841498
1.6,0.214972848337562
1.61,0.21387719584847
1.62,0.212789174463276
1.63,0.21170874479103
1.64,0.210635866987807
1.65,0.209570500783659
1.66,0.208512605508213
1.67,0.207462140115743
1.68,0.206419063209382
1.69,0.205383333064204
1.7,0.204354907650192
1.71,0.203333744654084
1.72,0.202319801500542
1.73,0.201313035372571
1.74,0.20031340323178
1.75,0.199320861837126
1.76,0.198335367763876
1.77,0.197356877421283
1.78,0.196385347070368
1.79,0.195420732840389
1.8,0.194462990745154
1.81,0.193512076699107
1.82,0.192567946531852
1.83,0.191630556003375
1.84,0.19069986081797
1.85,0.189775816638078
1.86,0.18885837909722
1.87,0.187947503813023
1.88,0.187043146399298
1.89,0.186145262478115
1.9,0.185253807691133
1.91,0.184368737710472
1.92,0.183490008249776
1.93,0.182617575073862
1.94,0.18175139400909
1.95,0.180891420952587
1.96,0.180037611881445
1.97,0.179189922861481
1.98,0.178348310055765
1.99,0.177512729732738
2,0.176683138273694
2.01,0.175859492180862
2.02,0.175041748084019
2.03,0.174229862747742
2.04,0.173423793077859
2.05,0.172623496127833
2.06,0.17182892910485
2.07,0.17104004937548
2.08,0.170256814471514
2.09,0.169479182094932
2.1,0.168707110123151
2.11,0.167940556613977
2.12,0.167179479809846
2.13,0.166423838142665
2.14,0.165673590237597
2.15,0.164928694917256
2.16,0.164189111205504
2.17,0.163454798330823
2.18,0.162725715729975
2.19,0.162001823050968
2.2,0.161283080156328
2.21,0.160569447125701
2.22,0.159860884258725
2.23,0.159157352077627
2.24,0.158458811329443
2.25,0.157765222988298
2.26,0.157076548257568
2.27,0.156392748571721
2.28,0.155713785598275
2.29,0.155039621239263
2.3,0.154370217632967
2.31,0.153705537155292
2.32,0.153045542420993
2.33,0.152390196285
2.34,0.151739461843409
2.35,0.151093302434451
2.36,0.150451681639383
2.37,0.149814563283242
2.38,0.149181911435561
2.39,0.148553690410857
2.4,0.147929864769186
2.41,0.147310399316518
2.42,0.146695259105015
2.43,0.146084409433255
2.44,0.145477815846549
2.45,0.1448754441367
2.46,0.144277260342302
2.47,0.143683230748517
2.48,0.143093321887054
2.49,0.142507500535699
2.5,0.141925733718449
2.51,0.141347988704852
2.52,0.140774233009871
2.53,0.140204434393135
2.54,0.139638560858782
2.55,0.139076580654791
2.56,0.138518462272262
2.57,0.137964174444934
2.58,0.137413686148467
2.59,0.136866966599686
2.6,0.136323985255787
2.61,0.135784711813571
2.62,0.135249116208594
2.63,0.134717168614233
2.64,0.13418883944081
2.65,0.133664099334653
2.66,0.13314291917709
2.67,0.132625270083338
2.68,0.132111123401634
2.69,0.131600450712049
2.7,0.131093223825409
2.71,0.13058941478216
2.72,0.130088995851294
2.73,0.129591939529043
2.74,0.129098218537813
2.75,0.128607805824947
2.76,0.128120674561438
2.77,0.127636798140738
2.78,0.127156150177475
2.79,0.126678704506155
2.8,0.126204435179942
2.81,0.125733316469213
2.82,0.125265322860374
2.83,0.124800429054454
2.84,0.124338609965795
2.85,0.12387984072064
2.86,0.123424096655868
2.87,0.122971353317471
2.88,0.122521586459344
2.89,0.122074772041754
2.9,0.121630886230065
2.91,0.12118990539322
2.92,0.120751806102391
2.93,0.120316565129638
2.94,0.119884159446339
2.95,0.119454566221926
2.96,0.119027762822285
2.97,0.118603726808582
2.98,0.118182435935577
2.99,0.117763868150418
3,0.117348001591008
3.01,0.116934814584715
3.02,0.116524285646915
3.03,0.116116393479562
3.04,0.115711116969756
3.05,0.115308435188283
3.06,0.114908327388238
3.07,0.11451077300358
3.08,0.114115751647754
3.09,0.113723243112157
3.1,0.113333227364904
3.11,0.112945684549231
3.12,0.112560594982253
3.13,0.11217793915343
3.14,0.111797697723201
3.15,0.111419851521664
3.16,0.111044381547102
3.17,0.110671268964618
3.18,0.110300495104798
3.19,0.109932041462229
3.2,0.10956588969427
3.21,0.109202021619616
3.22,0.108840419216901
3.23,0.108481064623449
3.24,0.108123940133822
3.25,0.107769028198545
3.26,0.107416311422818
3.27,0.10706577256502
3.28,0.106717394535647
3.29,0.106371160395711
3.3,0.106027053355747
3.31,0.105685056774201
3.32,0.105345154156398
3.33,0.10500732915313
3.34,0.104671565559428
3.35,0.104337847313251
3.36,0.104006158494259
3.37,0.103676483322597
3.38,0.103348806157579
3.39,0.103023111496506
3.4,0.102699383973432
3.41,0.10237760835792
3.42,0.102057769553885
3.43,0.101739852598322
3.44,0.101423842660205
3.45,0.101109725039159
3.46,0.100797485164467
3.47,0.100487108593731
3.48,0.100178581011881
3.49,0.0998718882298116
3.5,0.0995670161834765
3.51,0.0992639509325365
3.52,0.0989626786593858
3.53,0.0986631856680068
3.54,0.0983654583827934
3.55,0.0980694833474974
3.56,0.0977752472241875
3.57,0.0974827367920622
3.58,0.0971919389463989
3.59,0.0969028406976016
3.6,0.0966154291699945
3.61,0.0963296916008812
3.62,0.0960456153394064
3.63,0.095763187845593
3.64,0.0954823966893575
3.65,0.0952032295493503
3.66,0.0949256742121134
3.67,0.0946497185709543
3.68,0.0943753506250261
3.69,0.0941025584783645
3.7,0.0938313303388273
3.71,0.0935616545171851
3.72,0.0932935194261997
3.73,0.0930269135795961
3.74,0.0927618255911838
3.75,0.0924982441738915
3.76,0.0922361581388448
3.77,0.0919755563944747
3.78,0.0917164279456252
3.79,0.0914587618925452
3.8,0.0912025474301315
3.81,0.0909477738469715
3.82,0.0906944305244696
3.83,0.0904425069360442
3.84,0.0901919926461186
3.85,0.08994287730946
3.86,0.0896951506701688
3.87,0.0894488025609642
3.88,0.0892038229022534
3.89,0.0889602017014045
3.9,0.0887179290518139
3.91,0.0884769951322471
3.92,0.0882373902058847
3.93,0.0879991046196988
3.94,0.0877621288034676
3.95,0.0875264532691789
3.96,0.087292068610142
3.97,0.0870589655002974
3.98,0.0868271346933959
3.99,0.0865965670223444
4,0.0863672533983028
4.01,0.0861391848101544
4.02,0.0859123523235604
4.03,0.085686747080445
4.04,0.0854623602981261
4.05,0.0852391832686971
4.06,0.0850172073582328
4.07,0.0847964240062349
4.08,0.0845768247248236
4.09,0.0843584010980727
4.1,0.0841411447813898
4.11,0.0839250475008178
4.12,0.0837101010523434
4.13,0.0834962973012706
4.14,0.0832836281816009
4.15,0.0830720856953156
4.16,0.0828616619118084
4.17,0.0826523489672103
4.18,0.0824441390637601
4.19,0.0822370244692558
4.2,0.0820309975163629
4.21,0.0818260506020145
4.22,0.0816221761868634
4.23,0.0814193667946111
4.24,0.0812176150115284
4.25,0.0810169134857416
4.26,0.0808172549267289
4.27,0.0806186321047671
4.28,0.080421037850274
4.29,0.0802244650533779
4.3,0.0800289066632354
4.31,0.0798343556875301
4.32,0.0796408051919679
4.33,0.0794482482996858
4.34,0.0792566781906957
4.35,0.0790660881014683
4.36,0.0788764713242428
4.37,0.0786878212066767
4.38,0.0785001311511669
4.39,0.0783133946145007
4.4,0.078127605107251
4.41,0.0779427561932682
4.42,0.0777588414892648
4.43,0.0775758546642723
4.44,0.0773937894391397
4.45,0.0772126395861064
4.46,0.0770323989282846
4.47,0.0768530613392071
4.48,0.0766746207423634
4.49,0.0764970711107487
4.5,0.07632040646634
4.51,0.0761446208797594
4.52,0.0759697084697246
4.53,0.0757956634026439
4.54,0.0756224798922063
4.55,0.0754501521988983
4.56,0.0752786746295696
4.57,0.0751080415370963
4.58,0.0749382473198182
4.59,0.0747692864212195
4.6,0.0746011533295287
4.61,0.0744338425772457
4.62,0.0742673487407589
4.63,0.074101666439949
4.64,0.0739367903377971
4.65,0.0737727151399465
4.66,0.073609435594437
4.67,0.0734469464911315
4.68,0.0732852426615001
4.69,0.0731243189781643
4.7,0.0729641703545129
4.71,0.0728047917443627
4.72,0.0726461781416064
4.73,0.0724883245797738
4.74,0.0723312261317696
4.75,0.0721748779094584
4.76,0.0720192750632863
4.77,0.071864412781997
4.78,0.0717102862922686
4.79,0.0715568908583215
4.8,0.0714042217816284
4.81,0.0712522744006023
4.82,0.0711010440901745
4.83,0.0709505262615391
4.84,0.0708007163618103
4.85,0.0706516098736758
4.86,0.0705032023151505
4.87,0.070355489239099
4.88,0.0702084662331561
4.89,0.0700621289191845
4.9,0.0699164729531283
4.91,0.0697714940246139
4.92,0.069627187856737
4.93,0.0694835502056544
4.94,0.0693405768603842
4.95,0.0691982636424755
4.96,0.0690566064056957
4.97,0.0689156010358002
4.98,0.0687752434501637
4.99,0.0686355295976095
5,0.0684964554580464
5.01,0.0683580170422103
5.02,0.0682202103913923
5.03,0.0680830315771936
5.04,0.0679464767012431
5.05,0.0678105418949035
5.06,0.0676752233190408
5.07,0.0675405171637663
5.08,0.0674064196481652
5.09,0.067272927020028
5.1,0.0671400355556457
5.11,0.0670077415595005
5.12,0.0668760413640503
5.13,0.0667449313294931
5.14,0.0666144078434953
5.15,0.0664844673209988
5.16,0.066355106203886
5.17,0.0662263209608597
