"o","l"
-2,1.18078813101557e-29
-1.99,1.18078813101557e-29
-1.98,1.18078813101557e-29
-1.97,1.18078813101557e-29
-1.96,1.18078813101557e-29
-1.95,1.18078813101557e-29
-1.94,1.18078813101557e-29
-1.93,1.18078813101557e-29
-1.92,1.18078813101557e-29
-1.91,1.18078813101557e-29
-1.9,1.18078813101557e-29
-1.89,1.18078813101557e-29
-1.88,1.18078813101557e-29
-1.87,1.18078813101557e-29
-1.86,1.18078813101557e-29
-1.85,1.18078813101557e-29
-1.84,1.18078813101557e-29
-1.83,1.18078813101557e-29
-1.82,1.18078813101557e-29
-1.81,1.18078813101557e-29
-1.8,1.18078813101557e-29
-1.79,1.18078813101557e-29
-1.78,1.18078813101557e-29
-1.77,1.18078813101557e-29
-1.76,1.18078813101557e-29
-1.75,1.18078813101557e-29
-1.74,1.18078813101557e-29
-1.73,1.18078813101557e-29
-1.72,1.18078813101557e-29
-1.71,1.18078813101557e-29
-1.7,1.18078813101557e-29
-1.69,1.18078813101557e-29
-1.68,1.18078813101557e-29
-1.67,1.18078813101557e-29
-1.66,1.18078813101557e-29
-1.65,1.18078813101557e-29
-1.64,1.18078813101557e-29
-1.63,1.18078813101557e-29
-1.62,1.18078813101557e-29
-1.61,1.18078813101557e-29
-1.6,1.18078813101557e-29
-1.59,1.18078813101557e-29
-1.58,1.18078813101557e-29
-1.57,1.18078813101557e-29
-1.56,1.18078813101557e-29
-1.55,1.18078813101557e-29
-1.54,1.18078813101557e-29
-1.53,1.18078813101557e-29
-1.52,1.18078813101557e-29
-1.51,1.18078813101557e-29
-1.5,1.18078813101557e-29
-1.49,1.18078813101557e-29
-1.48,1.18078813101557e-29
-1.47,1.18078813101557e-29
-1.46,1.18078813101557e-29
-1.45,1.18078813101557e-29
-1.44,1.18078813101557e-29
-1.43,1.18078813101557e-29
-1.42,1.18078813101557e-29
-1.41,1.18078813101557e-29
-1.4,1.18078813101557e-29
-1.39,1.18078813101557e-29
-1.38,1.18078813101557e-29
-1.37,1.18078813101557e-29
-1.36,1.18078813101557e-29
-1.35,1.18078813101557e-29
-1.34,1.18078813101557e-29
-1.33,1.18078813101557e-29
-1.32,1.18078813101557e-29
-1.31,1.18078813101557e-29
-1.3,1.18078813101557e-29
-1.29,1.18078813101557e-29
-1.28,1.18078813101557e-29
-1.27,1.18078813101557e-29
-1.26,1.18078813101557e-29
-1.25,1.18078813101557e-29
-1.24,1.18078813101557e-29
-1.23,1.18078813101557e-29
-1.22,1.18078813101557e-29
-1.21,1.18078813101557e-29
-1.2,1.18078813101557e-29
-1.19,1.18078813101557e-29
-1.18,1.18078813101557e-29
-1.17,1.18078813101557e-29
-1.16,1.18078813101557e-29
-1.15,1.18078813101557e-29
-1.14,1.18078813101557e-29
-1.13,1.18078813101557e-29
-1.12,1.18078813101557e-29
-1.11,1.18078813101557e-29
-1.1,1.18078813101557e-29
-1.09,1.18078813101557e-29
-1.08,1.18078813101557e-29
-1.07,1.18078813101557e-29
-1.06,1.18078813101557e-29
-1.05,1.18078813101557e-29
-1.04,1.18078813101557e-29
-1.03,1.18078813101557e-29
-1.02,1.18078813101557e-29
-1.01,1.18078813101557e-29
-1,1.18078813101557e-29
-0.99,1.18078813101557e-29
-0.98,1.18078813101557e-29
-0.97,1.18078813101557e-29
-0.96,1.18078813101557e-29
-0.95,1.18078813101557e-29
-0.94,1.18078813101557e-29
-0.93,1.18078813101557e-29
-0.92,1.18078813101557e-29
-0.91,1.18078813101557e-29
-0.9,1.18078813101557e-29
-0.89,1.18078813101557e-29
-0.88,1.18078813101557e-29
-0.87,1.18078813101557e-29
-0.86,1.18078813101557e-29
-0.85,1.18078813101557e-29
-0.84,1.18078813101557e-29
-0.83,1.18078813101557e-29
-0.82,1.18078813101557e-29
-0.81,1.18078813101557e-29
-0.8,1.18078813101557e-29
-0.79,1.18078813101557e-29
-0.78,1.18078813101557e-29
-0.77,1.1810281232207e-29
-0.76,1.18305350519674e-29
-0.75,1.19356137249242e-29
-0.74,1.21349734530807e-29
-0.73,1.24387945123545e-29
-0.72,1.28578832365933e-29
-0.71,1.3403464115586e-29
-0.7,1.40868308103176e-29
-0.69,1.49188339616576e-29
-0.68,1.59095923328068e-29
-0.67,1.70881497263138e-29
-0.66,1.84788011763198e-29
-0.65,2.00939905000593e-29
-0.64,2.19427543239958e-29
-0.63,2.40293989148193e-29
-0.62,2.63522895208983e-29
-0.61,2.89029323607308e-29
-0.6,3.16655171235169e-29
-0.59,3.48972947568464e-29
-0.58,3.77583836395652e-29
-0.57,4.27116132191308e-29
-0.56,5.15797351074262e-29
-0.55,6.71546845212115e-29
-0.54,9.50943918303407e-29
-0.53,1.52603343227442e-28
-0.52,2.85574326127973e-28
-0.51,6.28577288590338e-28
-0.5,1.63269939285013e-27
-0.49,4.95098953492829e-27
-0.48,1.75073688065059e-26
-0.47,7.87298328014123e-26
-0.46,4.46431694565259e-25
-0.45,3.08135209022183e-24
-0.44,2.4815606458305e-23
-0.43,2.22983119411144e-22
-0.42,2.14106095798416e-21
-0.41,2.1132168164078e-20
-0.4,2.07450144144783e-19
-0.39,1.97222422720895e-18
-0.38,1.77859559671332e-17
-0.37,1.4982732697494e-16
-0.36,1.16631457072347e-15
-0.35,8.3328787831096e-15
-0.34,5.44571304879272e-14
-0.33,3.25369977023776e-13
-0.32,1.78070689922117e-12
-0.31,8.96175358560162e-12
-0.3,4.17075205031825e-11
-0.29,1.80812915092479e-10
-0.28,7.37241690150939e-10
-0.27,2.86837567863749e-09
-0.26,1.09338961088408e-08
-0.25,4.04534074239387e-08
-0.24,1.37231549176807e-07
-0.23,4.25525451308005e-07
-0.22,1.21448822086474e-06
-0.21,3.21106896780092e-06
-0.2,7.91167908984615e-06
-0.19,1.82650154832175e-05
-0.18,3.97084502696388e-05
-0.17,8.16694979850188e-05
-0.16,0.00015958434051479
-0.15,0.000297415217562952
-0.14,0.000530553968195792
-0.13,0.000908894769267074
-0.12,0.00149976538564602
-0.11,0.00239034405871135
-0.0999999999999999,0.00368917503720045
-0.0899999999999999,0.0055264375170246
-0.0800000000000001,0.00805271762525468
-0.0700000000000001,0.0114361684487433
-0.0600000000000001,0.0158580994966888
-0.05,0.0215071922314872
-0.04,0.0285726717722656
-0.03,0.0372368608253864
-0.02,0.047667591395247
-0.01,0.0600109511625133
0,0.0743847992073405
0.0100000000000002,0.0908734092414652
0.02,0.109523499485604
0.0300000000000002,0.130341799140368
0.04,0.15329419334667
0.0499999999999998,0.178306390758032
0.0600000000000001,0.20526597678022
0.0699999999999998,0.234025654799786
0.0800000000000001,0.264407438408871
0.0899999999999999,0.296207538769724
0.1,0.329201690402594
0.11,0.363150672481202
0.12,0.397805814931268
0.13,0.432934142002779
0.14,0.468305921165492
0.15,0.50367961826216
0.16,0.538821982056993
0.17,0.573511273528454
0.18,0.607539917382387
0.19,0.640716580229636
0.2,0.672867698094589
0.21,0.703838489817044
0.22,0.733493502778767
0.23,0.761716743666922
0.24,0.788411450188793
0.25,0.813499560313626
0.26,0.836920934263796
0.27,0.858632381601935
0.28,0.878606541802472
0.29,0.896830662036257
0.3,0.913305310854762
0.31,0.928043061292208
0.32,0.941067171811198
0.33,0.952410288648502
0.34,0.962113188579324
0.35,0.97022357697803
0.36,0.976794952348647
0.37,0.981885545244141
0.38,0.985557336684951
0.39,0.987875158804752
0.4,0.988905878471241
0.41,0.988717663013532
0.42,0.987379325904286
0.43,0.98495974925032
0.44,0.98152737920794
0.45,0.97714978991852
0.46,0.971893311224416
0.47,0.965822715242931
0.48,0.959000956819556
0.49,0.951488962926238
0.5,0.94334546619249
0.51,0.934626877941463
0.52,0.925387196329906
0.53,0.915677945448271
0.54,0.905548141515666
0.55,0.895044282590588
0.56,0.884210358509208
0.57,0.873087878050108
0.58,0.861715910603997
0.59,0.850131139895377
0.6,0.838367927558911
0.61,0.826458384613387
0.62,0.814432449100329
0.63,0.802317968362617
0.64,0.790140784629492
0.65,0.777924822748928
0.66,0.765692179067917
0.67,0.753463210604868
0.68,0.741256623787583
0.69,0.729089562146435
0.7,0.716977692454994
0.71,0.704935288903105
0.72,0.692975314966606
0.73,0.681109502709816
0.74,0.669348429318949
0.75,0.657701590717399
0.76,0.646177472161543
0.77,0.634783615754673
0.78,0.623526684851209
0.79,0.612412525351871
0.8,0.601446223914652
0.81,0.590632163126668
0.82,0.579974073697903
0.83,0.56947508375171
0.84,0.559137765296934
0.85,0.548964177974785
0.86,0.538955910179811
0.87,0.529114117658161
0.88,0.519439559689455
0.89,0.509932632959722
0.9,0.500593403233278
0.91,0.491421634931074
0.92,0.482416818721157
0.93,0.473578197225768
0.94,0.464904788946129
0.95,0.45639541050427
0.96,0.448048697297027
0.97,0.439863122654654
0.98,0.431837015592796
0.99,0.423968577242765
1,0.41625589604139
1.01,0.408696961758206
1.02,0.401289678433805
1.03,0.394031876299368
1.04,0.38692132274434
1.05,0.379955732394981
1.06,0.373132776363496
1.07,0.366450090724269
1.08,0.359905284269946
1.09,0.353495945597571
1.1,0.347219649571859
1.11,0.341073963209619
1.12,0.335056451026965
1.13,0.3291646798882
1.14,0.323396223392806
1.15,0.31774866583471
1.16,0.312219605765696
1.17,0.306806659192925
1.18,0.301507462438321
1.19,0.29631967468594
1.2,0.291240980241493
1.21,0.28626909052673
1.22,0.281401745829718
1.23,0.276636716830582
1.24,0.271971805921023
1.25,0.267404848334557
1.26,0.2629337131032
1.27,0.258556303855232
1.28,0.254270559467711
1.29,0.250074454586221
1.3,0.245966000023589
1.31,0.24194324304836
1.32,0.238004267573126
1.33,0.234147194251846
1.34,0.230370180494857
1.35,0.226671420409386
1.36,0.223049144672994
1.37,0.219501620346603
1.38,0.216027150633358
1.39,0.212624074589162
1.4,0.209290766789995
1.41,0.206025636961046
1.42,0.202827129572056
1.43,0.199693723402991
1.44,0.196623931083828
1.45,0.193616298611953
1.46,0.190669404850252
1.47,0.187781861008903
1.48,0.184952310113501
1.49,0.182179426461855
1.5,0.17946191507183
1.51,0.176798511122101
1.52,0.174187979387739
1.53,0.171629113672265
1.54,0.169120736237704
1.55,0.166661697233977
1.56,0.164250874128889
1.57,0.161887171139835
1.58,0.159569518668159
1.59,0.157296872737174
1.6,0.15506821443452
1.61,0.152882549359695
1.62,0.150738907077269
1.63,0.148636340576445
1.64,0.146573925737387
1.65,0.144550760804783
1.66,0.142565965868986
1.67,0.140618682355067
