"cluster","group_id","age","n","sd","dose","fractions","type","control_age"
"1 - ♀ RFM/Un Mice ORNL 
 γ-ray at 70 days old","1007-3-10",613.856989247312,930,5.30619229561939,0.25,1,"A",632.474035608309
"1 - ♀ RFM/Un Mice ORNL 
 γ-ray at 70 days old","1007-3-11",552.667293233083,1064,5.30292166692777,0.5,1,"A",632.474035608309
"1 - ♀ RFM/Un Mice ORNL 
 γ-ray at 70 days old","1007-3-12",541.059071729958,237,11.2208932571031,0.75,1,"A",632.474035608309
"1 - ♀ RFM/Un Mice ORNL 
 γ-ray at 70 days old","1007-3-13",538.451674641148,1045,5.42560970350762,1,1,"A",632.474035608309
"1 - ♀ RFM/Un Mice ORNL 
 γ-ray at 70 days old","1007-3-14",487.002985074627,1005,5.84507396754535,1.5,1,"A",632.474035608309
"1 - ♀ RFM/Un Mice ORNL 
 γ-ray at 70 days old","1007-3-9",632.474035608309,2696,3.19307835475736,0.1,1,"A",632.474035608309
"10 - ♀ C57BL/6Bd Mice ORNL 
 γ-ray at 70 days old","1007-2-1",857.928716904277,491,6.94409713920608,0,1,"A",857.928716904277
"10 - ♀ C57BL/6Bd Mice ORNL 
 γ-ray at 70 days old","1007-2-3",854.802371541502,253,11.1604714088676,0.5,1,"A",857.928716904277
"10 - ♀ C57BL/6Bd Mice ORNL 
 γ-ray at 70 days old","1007-2-5",865.091633466135,251,10.2634483867623,1,1,"A",857.928716904277
"11 - ♂ C3Hf/Bd Mice ORNL 
 γ-ray at 70 days old","1007-2-10",731.856573705179,502,5.77934172224194,0,1,"A",731.856573705179
"11 - ♂ C3Hf/Bd Mice ORNL 
 γ-ray at 70 days old","1007-2-12",712.647540983607,244,7.91510699335529,0.5,1,"A",731.856573705179
"11 - ♂ C3Hf/Bd Mice ORNL 
 γ-ray at 70 days old","1007-2-14",720.83064516129,248,8.70585084619138,1,1,"A",731.856573705179
"12 - ♂ BC3F1 Mice ENEA 
 X-ray at 92 days old","3-5-19",824.306976744186,430,8.80913836508043,0,1,"A",824.306976744186
"12 - ♂ BC3F1 Mice ENEA 
 X-ray at 92 days old","3-5-20",827.704545454545,44,27.4340180862505,0.5,1,"A",824.306976744186
"12 - ♂ BC3F1 Mice ENEA 
 X-ray at 92 days old","3-5-21",797.104166666667,48,34.4282098116688,1,1,"A",824.306976744186
"13 - ♂ C57BL/Cnb Mice SCK/CEN 
 X-ray at 7 days old","9-7-1",757.219047619048,105,13.6989410365332,0,1,"A",757.219047619048
"13 - ♂ C57BL/Cnb Mice SCK/CEN 
 X-ray at 7 days old","9-7-10",776.847222222222,72,21.3611143544548,0.5,1,"A",757.219047619048
"13 - ♂ C57BL/Cnb Mice SCK/CEN 
 X-ray at 7 days old","9-7-11",809.771428571429,70,16.0768749915595,1,1,"A",757.219047619048
"14 - ♂ BC3F1 Mice ENEA 
 X-ray at -4 days old","3-5-1",852.823529411765,34,42.3017230907869,0,1,"A",852.823529411765
"14 - ♂ BC3F1 Mice ENEA 
 X-ray at -4 days old","3-5-3",798.5625,48,26.0584943857901,0.3,1,"A",852.823529411765
