"cluster","group_id","factor(dose)","age","n","sd","dose","fractions","type"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-20-2","0",945.01983663944,857,6.72526329850156,0,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-20-2","2.57",852.040302267003,397,8.91954448906151,2.57,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-20-4","0.8631",902.904282115869,397,8.92600137314852,0.8631,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-21-2","0",931.94054054054,185,16.020725363892,0,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-21-3","1.9755",430.666666666667,6,41.4018249731955,1.9755,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-21-3","3.999",817.7,60,26.4718836025872,3.999,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-21-4","0.8631",935.98,200,13.1564798792865,0.8631,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-22-2","0",969.502155172414,464,8.96789703164998,0,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-22-4","1.9755",811,7,102.709483959555,1.9755,24,"C"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-22-4","3.999",890.738578680203,394,8.83183986753079,3.999,24,"C"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-24-2","0",991.451428571429,175,14.7557846352451,0,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-24-7","1.9755",926.56,50,23.5837398152513,1.9755,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-24-7","3.999",872.444444444444,27,41.5119292000135,3.999,60,"C"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-25-2","0",959.5,50,21.4909045782591,0,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-26-2","0",977.73374340949,1138,5.71862587500375,0,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-26-3","0.2157",962.923541247485,497,8.72219899267182,0.2157,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-26-4","0.4315",967.92774566474,346,10.7612686218226,0.4315,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-26-5","0.8631",934.840206185567,194,13.9571253243986,0.8631,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-29-13","2",928.224137931035,174,14.7831245006825,2,60,"C"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-29-13","3",889.569620253165,79,19.8558721391057,3,60,"C"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-29-2","0",986.369863013699,584,7.71910011185083,0,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-29-4","1",957.103678929766,598,7.73017461297507,1,60,"C"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-30-14","2.06",913.982412060301,398,8.98692097777163,2.06,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-30-2","0",976.744360902256,399,9.7276536757206,0,1,"A"
"1 - ♀ B6CF1 Mice ANL 
 γ-ray at 114 days old","1003-30-6","2.06",883.02,200,12.7220892851329,2.06,1,"A"
"2 - ♂ B6CF1 Mice ANL 
 γ-ray at 113 days old","1003-20-1","0",952.421115065243,843,6.63887568860482,0,1,"A"
"2 - ♂ B6CF1 Mice ANL 
 γ-ray at 113 days old","1003-20-2","2.06",886.081314878893,578,7.8782738417538,2.57,1,"A"
"2 - ♂ B6CF1 Mice ANL 
 γ-ray at 113 days old","1003-20-3","0.2157",921.901554404145,386,9.73969540095482,0.8631,1,"A"
"2 - ♂ B6CF1 Mice ANL 
 γ-ray at 113 days old","1003-21-1","0",985.335,200,13.2808742929419,0,1,"A"
"2 - ♂ B6CF1 Mice ANL 
 γ-ray at 113 days old","1003-21-3","0.2157",970.276381909548,199,14.1895034442503,0.8631,1,"A"
"2 - ♂ B6CF1 Mice ANL 
 γ-ray at 113 days old","1003-21-3","1",919.283018867925,159,15.2250483196579,1.9755,1,"A"
"2 - ♂ B6CF1 Mice ANL 
 γ-ray at 113 days old","1003-21-3",
