"o","l"
-2,1.27138835577163e-07
-1.98,1.10061088642367e-07
-1.96,9.48836906613221e-08
-1.94,8.14474646805884e-08
-1.92,6.96007600510415e-08
-1.9,5.91996132265654e-08
-1.88,5.01078683833616e-08
-1.86,4.21972563186815e-08
-1.84,3.53474304759664e-08
-1.82,2.94459593772601e-08
-1.8,2.4388275218773e-08
-1.78,2.00775788965379e-08
-1.76,1.64247022691369e-08
-1.74,1.33479290247067e-08
-1.72,1.07727760895371e-08
-1.7,8.63173808358149e-09
-1.68,6.86399788074167e-09
-1.66,5.4151068544011e-09
-1.64,4.23663886608609e-09
-1.62,3.28582247174012e-09
-1.6,2.52515616062657e-09
-1.58,1.92201169192533e-09
-1.56,1.44823074092983e-09
-1.54,1.07972010011136e-09
-1.52,7.96050593095261e-10
-1.5,5.80064648680422e-10
-1.48,4.17497148854734e-10
-1.46,2.96613715813942e-10
-1.44,2.07870050012767e-10
-1.42,1.43595291204111e-10
-1.4,9.77016689710725e-11
-1.38,6.54219641320561e-11
-1.36,4.30755461437574e-11
-1.34,2.78630141242244e-11
-1.32,1.76887798413278e-11
-1.3,1.10103171390356e-11
-1.28,6.71228681075536e-12
-1.26,4.00334603935518e-12
-1.24,2.33317723274067e-12
-1.22,1.32712454057594e-12
-1.2,7.3580174537494e-13
-1.18,3.97119499530062e-13
-1.16,2.08354018396128e-13
-1.14,1.06120312235073e-13
-1.12,5.23960642063961e-14
-1.1,2.50431255416015e-14
-1.08,1.15707606788871e-14
-1.06,5.16097376785643e-15
-1.04,2.21944407916117e-15
-1.02,9.19174492684632e-16
-1,3.66240275406499e-16
-0.98,1.40289413540967e-16
-0.96,5.16402733341348e-17
-0.94,1.82663386960539e-17
-0.92,6.21212122842626e-18
-0.9,2.0336332151909e-18
-0.88,6.42144648998339e-19
-0.86,1.96177950910839e-19
-0.84,5.82359162121614e-20
-0.82,1.68948369058503e-20
-0.8,4.82580193817819e-21
-0.78,1.36994025492544e-21
-0.76,3.90998687771445e-22
-0.74,1.13808668073949e-22
-0.72,3.43881169551287e-23
-0.7,1.10341412178984e-23
-0.68,3.87401715487545e-24
-0.66,1.5489180085504e-24
-0.64,7.43329185377616e-25
-0.62,4.57515143562977e-25
-0.6,3.90350315332801e-25
-0.58,5.01167609170916e-25
-0.56,1.04278527348516e-24
-0.54,3.69769338692551e-24
-0.52,2.25979353037641e-23
-0.5,2.29512455197237e-22
-0.48,3.57108645202474e-21
-0.46,7.60541447442842e-20
-0.44,1.9577334456568e-18
-0.42,5.41381166853662e-17
-0.4,1.45628119821649e-15
-0.38,3.53218334476215e-14
-0.36,7.32738456353373e-13
-0.34,1.25765207577564e-11
-0.32,1.75463690460897e-10
-0.3,1.97743568884469e-09
-0.28,1.80334180838803e-08
-0.26,1.34041857984754e-07
-0.24,8.20749395007063e-07
-0.22,4.1925442981878e-06
-0.2,1.81113919760742e-05
-0.18,6.70890978948428e-05
-0.16,0.000216019826735867
-0.14,0.000612562632202802
-0.12,0.00154870630215392
-0.0999999999999999,0.00353119252422871
-0.0800000000000001,0.00733812394948398
-0.0600000000000001,0.0140327073745545
-0.04,0.0249107590591165
-0.02,0.0413762863771851
0,0.0647623186277635
0.02,0.0961324793108051
0.04,0.13610539291535
0.0600000000000001,0.184737462855977
0.0800000000000001,0.241483758883553
0.1,0.305238150871813
0.12,0.37443825643568
0.14,0.44721157470645
0.16,0.521536907265091
0.18,0.595398364284579
0.2,0.666915597556063
0.22,0.734441149769458
0.24,0.796622328665464
0.26,0.852429923775548
0.28,0.901159141185462
0.3,0.942409522813499
0.32,0.976050737004367
0.34,1.00218042094957
0.36,1.0210791161345
0.38,1.03316606463341
0.4,1.03895842419582
0.42,1.03903542374014
0.44,1.03400816251647
0.46,1.02449515676041
0.48,1.01110333314553
0.5,0.994413923471728
0.52,0.974972592238899
0.54,0.953283093441987
0.56,0.92980377594155
0.58,0.904946315173348
0.6,0.879076125733026
0.62,0.852513992558306
0.64,0.825538540171578
0.66,0.798389235001854
0.68,0.771269682672216
0.7,0.744351039379816
0.72,0.717775404160423
0.74,0.691659097582037
0.76,0.66609576322606
0.78,0.641159252292863
0.8,0.61690626991248
0.82,0.593378775282014
0.84,0.570606137511898
0.86,0.548607055840089
0.88,0.52739125733515
0.9,0.506960987913759
0.92,0.487312313890475
0.94,0.468436251714705
0.96,0.450319743313702
0.98,0.432946493764132
1,0.416297687025828
1.02,0.400352594308954
1.04,0.38508908840325
1.06,0.370484076036949
1.08,0.356513859098791
1.1,0.343154434380352
1.12,0.330381740392976
1.14,0.318171858797268
1.16,0.306501177056414
1.18,0.29534651808618
1.2,0.284685241924857
1.22,0.274495323777553
1.24,0.264755412198369
1.26,0.255444870652197
1.28,0.246543805241552
1.3,0.238033080983665
1.32,0.229894328676103
1.34,0.222109944085956
1.36,0.214663080937313
1.38,0.207537638944915
1.4,0.200718247947513
1.42,0.194190249027613
1.44,0.187939673359917
1.46,0.181953219408685
1.48,0.176218228988966
1.5,0.170722662617212
1.52,0.165455074501014
1.54,0.160404587452804
1.56,0.155560867958097
1.58,0.150914101582568
1.6,0.146454968863423
1.62,0.14217462179791
1.64,0.138064661014822
1.66,0.134117113691696
1.68,0.130324412261861
1.7,0.126679373939796
1.72,0.123175181080569
1.74,0.119805362378519
1.76,0.116563774902048
1.78,0.113444586954778
1.8,0.110442261747501
1.82,0.107551541861789
1.84,0.104767434482617
1.86,0.102085197374981
1.88,0.0995003255780687
1.9,0.0970085387892487
1.92,0.0946057694096148
1.94,0.0922881512225234
1.96,0.0900520086766306
1.98,0.0878938467452851
2,0.08581034133453
2.02,0.0837983302126965
2.04,0.0818548044353216
2.06,0.0799769002398876
2.08,0.078161891385956
2.1,0.0764071819170034
2.12,0.0747102993214641
2.14,0.0730688880712794
2.16,0.0714807035173398
2.18,0.0699436061221784
2.2,0.0684555560111755
2.22,0.0670146078245441
2.24,0.0656189058531612
2.26,0.0642666794423748
2.28,0.0629562386485469
2.3,0.0616859701340759
2.32,0.0604543332873477
2.34,0.0592598565548177
2.36,0.0581011339731604
2.38,0.056976821890097
2.4,0.055885635863103
2.42,0.0548263477259373
2.44,0.0537977828133482
2.46,0.0527988173350245
2.48,0.0518283758902333
2.5,0.0508854291152364
2.52,0.0499689914558513
2.54,0.0490781190581684
2.56,0.0482119077706619
2.58,0.0473694912514803
2.6,0.0465500391749246
2.62,0.0457527555316149
2.64,0.044976877017026
2.66,0.0442216715035259
2.68,0.0434864365911966
2.7,0.0427704982331138
2.72,0.0420732094309186
2.74,0.0413939489968441
2.76,0.0407321203784886
2.78,0.040087150542929
2.8,0.0394584889169289
2.82,0.038845606380155
2.84,0.0382479943085603
2.86,0.0376651636651948
2.88,0.0370966441358839
2.9,0.0365419833074058
2.92,0.0360007458858363
2.94,0.0354725129529505
2.96,0.034956881258681
2.98,0.0344534625476651
3,0.0339618829181619
3.02,0.0334817822115753
3.04,0.0330128134310178
3.06,0.0325546421873974
3.08,0.0321069461716014
3.1,0.0316694146514193
3.12,0.0312417479919532
3.14,0.0308236571982952
3.16,0.0304148634793463
3.18,0.0300150978316997
3.2,0.02962410064257
3.22,0.0292416213108372
3.24,0.0288674178852438
3.26,0.0285012567189459
3.28,0.0281429121395711
3.3,0.0277921661340314
3.32,0.027448808047344
3.34,0.0271126342948102
3.36,0.0267834480868628
3.38,0.0264610591659777
3.4,0.0261452835550883
3.42,0.0258359433168991
3.44,0.0255328663236403
3.46,0.0252358860366963
3.48,0.0249448412956952
3.5,0.0246595761165754
3.52,0.0243799394982287
3.54,0.0241057852372864
3.56,0.0238369717507191
3.58,0.0235733619058254
3.6,0.0233148228573166
3.62,0.0230612258911447
3.64,0.0228124462747705
3.66,0.0225683631135765
3.68,0.0223288592131465
3.7,0.0220938209471426
3.72,0.0218631381305348
3.74,0.0216367038979337
3.76,0.0214144145867951
3.78,0.0211961696252995
3.8,0.0209818714246757
3.82,0.0207714252757822
3.84,0.0205647392497665
3.86,0.0203617241026078
3.88,0.0201622931833876
3.9,0.0199663623461225
3.92,0.0197738498649978
3.94,0.0195846763528679
3.96,0.0193987646828774
3.98,0.0192160399130656
4,0.0190364292138373
4.02,0.0188598617981677
4.04,0.0186862688544423
4.06,0.0185155834817951
4.08,0.0183477406278743
4.1,0.018182677028903
4.12,0.0180203311519649
4.14,0.0178606431394036
4.16,0.0177035547552639
4.18,0.0175490093336827
4.2,0.0173969517291493
4.22,0.0172473282685748
4.24,0.0171000867050671
4.26,0.0169551761733822
4.28,0.016812547146943
4.3,0.0166721513964037
4.32,0.0165339419496633
4.34,0.0163978730532995
4.36,0.01626390013534
4.38,0.0161319797693457
4.4,0.0160020696397372
4.42,0.015874128508317
4.44,0.0157481161819488
4.46,0.0156239934813485
4.48,0.0155017222109303
4.5,0.015381265129694
4.52,0.0152625859230838
4.54,0.0151456491758039
4.56,0.0150304203455458
4.58,0.014916865737594
4.6,0.0148049524802768
4.62,0.0146946485012299
4.64,0.0145859225044483
4.66,0.0144787439480897
4.68,0.0143730830230042
4.7,0.0142689106319676
4.72,0.0141661983695853
4.74,0.0140649185028513
4.76,0.0139650439523274
4.78,0.0138665482739337
4.8,0.0137694056413147
4.82,0.0136735908287678
4.84,0.0135790791947187
4.86,0.0134858466657105
4.88,0.0133938697209009
4.9,0.0133031253770448
4.92,0.0132135911739442
4.94,0.0131252451603521
4.96,0.0130380658803064
4.98,0.0129520323598977
5,0.0128671240944295
5.02,0.0127833210359791
5.04,0.0127006035813368
5.06,0.0126189525603086
5.08,0.0125383492243735
5.1,0.0124587752356838
5.12,0.0123802126563942
5.14,0.0123026439383095
5.16,0.012226051912838
5.18,0.0121504197812508
5.2,0.0120757311052183
5.22,0.0120019697976324
5.24,0.0119291201136947
5.26,0.0118571666422672
5.28,0.0117860942974713
5.3,0.0117158883105336
5.32,0.0116465342218622
5.34,0.0115780178733598
5.36,0.0115103254009464
5.38,0.0114434432273013
5.4,0.0113773580548135
5.42,0.0113120568587274
5.44,0.011247526880482
5.46,0.0111837556212404
5.48,0.0111207308356002
5.5,0.0110584405254776
5.52,0.0109968729341609
5.54,0.0109360165405343
5.56,0.0108758600534532
5.58,0.0108163924062811
5.6,0.0107576027515727
5.62,0.0106994804559028
5.64,0.0106420150948357
5.66,0.0105851964480345
5.68,0.0105290144944949
5.7,0.0104734594079151
5.72,0.0104185215521862
5.74,0.010364191477004
5.76,0.0103104599135963
5.78,0.0102573177705661
5.8,0.0102047561298429
5.82,0.0101527662427394
5.84,0.0101013395261185
5.86,0.0100504675586504
5.88,0.0100001420771741
5.9,0.00995035497315448
5.92,0.00990109828922643
5.94,0.00985236421582956
5.96,0.00980414508793353
5.98,0.00975643338184086
6,0.00970922171207638
