"o","l"
-2,4.05203136338887e-34
-1.99,4.05203136338887e-34
-1.98,4.05203136338887e-34
-1.97,4.05203136338887e-34
-1.96,4.05203136338887e-34
-1.95,4.05203136338887e-34
-1.94,4.05203136338887e-34
-1.93,4.05203136338887e-34
-1.92,4.05203136338887e-34
-1.91,4.05203136338887e-34
-1.9,4.05203136338887e-34
-1.89,4.05203136338887e-34
-1.88,4.05203136338887e-34
-1.87,4.05203136338887e-34
-1.86,4.05203136338887e-34
-1.85,4.05203136338887e-34
-1.84,4.05203136338887e-34
-1.83,4.05203136338887e-34
-1.82,4.05203136338887e-34
-1.81,4.05203136338887e-34
-1.8,4.05203136338887e-34
-1.79,4.05203136338887e-34
-1.78,4.05203136338887e-34
-1.77,4.05203136338887e-34
-1.76,4.05203136338887e-34
-1.75,4.05203136338887e-34
-1.74,4.05203136338887e-34
-1.73,4.05203136338887e-34
-1.72,4.05203136338887e-34
-1.71,4.05203136338887e-34
-1.7,4.05203136338887e-34
-1.69,4.05203136338887e-34
-1.68,4.05203136338887e-34
-1.67,4.05203136338887e-34
-1.66,4.05203136338887e-34
-1.65,4.05203136338887e-34
-1.64,4.05203136338887e-34
-1.63,4.05203136338887e-34
-1.62,4.05203136338887e-34
-1.61,4.05203136338887e-34
-1.6,4.05203136338887e-34
-1.59,4.05203136338887e-34
-1.58,4.05203136338887e-34
-1.57,4.05203136338887e-34
-1.56,4.05203136338887e-34
-1.55,4.05203136338887e-34
-1.54,4.05203136338887e-34
-1.53,4.05203136338887e-34
-1.52,4.05203136338887e-34
-1.51,4.05203136338887e-34
-1.5,4.05203136338887e-34
-1.49,4.05203136338887e-34
-1.48,4.05203136338887e-34
-1.47,4.05203136338887e-34
-1.46,4.05203136338887e-34
-1.45,4.05203136338887e-34
-1.44,4.05203136338887e-34
-1.43,4.05203136338887e-34
-1.42,4.05203136338887e-34
-1.41,4.05203136338887e-34
-1.4,4.05203136338887e-34
-1.39,4.05203136338887e-34
-1.38,4.05203136338887e-34
-1.37,4.05203136338887e-34
-1.36,4.05203136338887e-34
-1.35,4.05203136338887e-34
-1.34,4.05203136338887e-34
-1.33,4.05203136338887e-34
-1.32,4.05203136338887e-34
-1.31,4.05203136338887e-34
-1.3,4.05203136338887e-34
-1.29,4.05203136338887e-34
-1.28,4.05203136338887e-34
-1.27,4.05203136338887e-34
-1.26,4.05203136338887e-34
-1.25,4.05203136338887e-34
-1.24,4.05203136338887e-34
-1.23,4.05203136338887e-34
-1.22,4.05203136338887e-34
-1.21,4.05203136338887e-34
-1.2,4.05203136338887e-34
-1.19,4.05203136338887e-34
-1.18,4.05203136338887e-34
-1.17,4.05203136338887e-34
-1.16,4.05203136338887e-34
-1.15,4.05203136338887e-34
-1.14,4.05203136338887e-34
-1.13,4.05203136338887e-34
-1.12,4.05203136338887e-34
-1.11,4.05203136338887e-34
-1.1,4.05203136338887e-34
-1.09,4.05203136338887e-34
-1.08,4.05203136338887e-34
-1.07,4.05203136338887e-34
-1.06,4.05203136338887e-34
-1.05,4.05203136338887e-34
-1.04,4.05203136338887e-34
-1.03,4.05203136338887e-34
-1.02,4.05203136338887e-34
-1.01,4.05203136338887e-34
-1,4.05203136338887e-34
-0.99,4.05203136338887e-34
-0.98,4.05203136338887e-34
-0.97,4.05203136338887e-34
-0.96,4.05203136338887e-34
-0.95,4.05203136338887e-34
-0.94,4.05203136338887e-34
-0.93,4.05203136338887e-34
-0.92,4.05203136338887e-34
-0.91,4.05203136338887e-34
-0.9,4.05203136338887e-34
-0.89,4.05203136338887e-34
-0.88,4.05203136338887e-34
-0.87,4.05203136338887e-34
-0.86,4.05203136338887e-34
-0.85,4.05203136338887e-34
-0.84,4.05203136338887e-34
-0.83,4.05203136338887e-34
-0.82,4.05203136338887e-34
-0.81,4.05203136338887e-34
-0.8,4.05203136338887e-34
-0.79,4.05203136338887e-34
-0.78,4.05203136338887e-34
-0.77,4.31228407100169e-34
-0.76,4.34255494519237e-34
-0.75,4.40350051444943e-34
-0.74,4.49833595531664e-34
-0.73,4.63044951492849e-34
-0.72,4.80334041333996e-34
-0.71,5.02051770829704e-34
-0.7,5.98332609309477e-34
-0.69,6.34954593341089e-34
-0.68,6.81233661973664e-34
-0.67,7.24343963543398e-34
-0.66,7.92729796583144e-34
-0.65,8.92693736963075e-34
-0.64,1.0336302699026e-33
-0.63,1.22924819130262e-33
-0.62,1.54004351432138e-33
-0.61,1.97686725236954e-33
-0.6,2.74814971476308e-33
-0.59,4.14977770040799e-33
-0.58,6.81365567002569e-33
-0.57,1.32237477116739e-32
-0.56,2.70641023438386e-32
-0.55,6.48931925550197e-32
-0.54,1.82773056367146e-31
-0.53,6.02985296223192e-31
-0.52,2.30866651411581e-30
-0.51,6.78748635179294e-29
-0.5,3.13101356020373e-28
-0.49,1.52075972045599e-27
-0.48,9.39693689213822e-27
-0.47,7.67382184410158e-26
-0.46,7.89097001449868e-25
-0.45,9.64600117027698e-24
-0.44,1.31937193648485e-22
-0.43,1.90547787537741e-21
-0.42,2.76020224106647e-20
-0.41,3.84349080051097e-19
-0.4,4.97826808204735e-18
-0.39,5.85727874408341e-17
-0.38,6.16257716562224e-16
-0.37,5.74548968242771e-15
-0.36,4.72796761103704e-14
-0.35,3.43362342216965e-13
-0.34,2.20643268510523e-12
-0.33,1.26012258497474e-11
-0.32,6.43193361427112e-11
-0.31,2.95241359120546e-10
-0.3,1.22670090695586e-09
-0.29,4.64357808017667e-09
-0.28,1.6116815369703e-08
-0.27,5.01580117792047e-08
-0.26,1.48462731181659e-07
-0.25,4.09967935172186e-07
-0.24,1.06147429172452e-06
-0.23,2.58885225322817e-06
-0.22,5.97308495510958e-06
-0.21,1.30885441282525e-05
-0.2,2.73372063718669e-05
-0.19,5.46043419813465e-05
-0.18,0.000104624119633316
-0.17,0.000192832584456644
-0.16,0.000342756589976187
-0.15,0.000588938729939674
-0.14,0.000980331602537739
-0.13,0.00158401506519449
-0.12,0.00248900623455332
-0.11,0.00380985510905911
-0.0999999999999999,0.0056896610037084
-0.0899999999999999,0.008302117601411
-0.0800000000000001,0.0118522054788915
-0.0700000000000001,0.01657520408876
-0.0600000000000001,0.0227337886646724
-0.05,0.0306131043213296
-0.04,0.0405138582096769
-0.03,0.052743626439865
-0.02,0.0676067200085535
-0.01,0.0853930784918941
0,0.106366749812081
0.0100000000000002,0.130754560970044
0.02,0.158735584965179
0.0300000000000002,0.190431964642677
0.04,0.225901570574836
0.0499999999999998,0.265132856190406
0.0600000000000001,0.308042140120122
0.0699999999999998,0.354473404731949
0.0800000000000001,0.404200562195323
0.0899999999999999,0.45693201475766
0.1,0.512317231687788
0.11,0.47289111649398
0.12,0.520786881081127
0.13,0.569653423050912
0.14,0.619105753016834
0.15,0.668754053220439
0.16,0.718211321897121
0.17,0.767100428395491
0.18,0.81506041512891
0.19,0.861751930425135
0.2,0.906861722504905
0.21,0.950106167107343
0.22,0.991233838283515
0.23,1.03002716273265
0.24,1.06630322242394
0.25,1.09991378817151
0.26,1.13074467871122
0.27,1.15871454626619
0.28,1.18377319133728
0.29,1.20589950734007
0.3,1.22509915054549
0.31,1.24140202339611
0.32,1.25485965032018
0.33,1.26554251537528
0.34,1.2735374208648
0.35,1.27894491598686
0.36,1.28187683489085
0.37,1.28245397449362
0.38,1.28080393419977
0.39,1.27705913239359
0.4,1.27135500823953
0.41,1.26382841196666
0.42,1.25461618237563
0.43,1.2438539067199
0.44,1.23167485533474
0.45,1.21820908129494
0.46,1.20358267391987
0.47,1.18791715399958
0.48,1.17132899812434
0.49,1.15392927936302
0.5,1.13582341170474
0.51,1.11711098605917
0.52,1.09788568618168
0.53,1.0782352735694
0.54,1.0582416311454
0.55,1.03798085636177
0.56,1.01752339518915
0.57,0.996934209296994
0.58,0.976272969542317
0.59,0.955594269661618
0.6,0.934947854816279
0.61,0.914378860318512
0.62,0.893928056517837
0.63,0.873632096410843
0.64,0.853523763073224
0.65,0.833632214492004
0.66,0.813983223806193
0.67,0.794599413347368
0.68,0.775500481204725
0.69,0.756703419333041
0.7,0.738222722478523
0.71,0.720070587412636
0.72,0.702257102155786
0.73,0.684790425024227
0.74,0.667676953473786
0.75,0.650921482814802
0.76,0.634527354970328
0.77,0.61849659751312
0.78,0.602830053283398
0.79,0.587527500920752
0.8,0.572587766687276
0.81,0.558008827971755
0.82,0.543787908887294
0.83,0.5299215683735
0.84,0.516405781223942
0.85,0.503236012451212
0.86,0.490407285398249
0.87,0.477914243992606
0.88,0.465751209530377
0.89,0.453912232360419
0.9,0.442391138826262
0.91,0.43118157380565
0.92,0.42027703917198
0.93,0.409670928483466
0.94,0.399356558191323
0.95,0.389327195638325
0.96,0.379576084105447
0.97,0.370096465146131
0.98,0.360881598433091
0.99,0.3519247793275
1,0.343219354364711
1.01,0.334758734839577
1.02,0.326536408658098
1.03,0.31854595061179
1.04,0.310781031220002
1.05,0.303235424271566
1.06,0.295903013190391
1.07,0.28877779633667
1.08,0.281853891348882
1.09,0.275125538621651
1.1,0.268587104007368
1.11,0.262233080821867
1.12,0.256058091227569
1.13,0.250056887062124
1.14,0.244224350172973
1.15,0.238555492314712
1.16,0.233045454659434
1.17,0.227689506967688
1.18,0.222483046460902
1.19,0.217421596434627
1.2,0.212500804646713
1.21,0.20771644151221
1.22,0.20306439813294
1.23,0.19854068418787
1.24,0.194141425706915
1.25,0.189862862749535
1.26,0.185701347005736
1.27,0.181653339337332
1.28,0.177715407273942
1.29,0.173884222476469
1.3,0.17015655818102
1.31,0.166529286632862
1.32,0.16299937652018
1.33,0.159563890415803
1.34,0.156219982233966
1.35,0.152964894708454
1.36,0.149795956897841
1.37,0.146710581722038
1.38,0.143706263534995
1.39,0.140780575736166
1.4,0.137931168424357
1.41,0.135155766096226
1.42,0.132452165390966
1.43,0.129818232883611
1.44,0.127251902927538
1.45,0.124751175547332
1.46,0.122314114382987
1.47,0.119938844685233
1.48,0.117623551362905
1.49,0.115366477081655
1.5,0.113165920414586
1.51,0.111020234043794
1.52,0.108927823012878
1.53,0.106887143029656
1.54,0.104896698818388
1.55,0.102955042520956
1.56,0.101060772146058
1.57,0.0992125300654891
1.58,0.0974090015568017
1.59,0.0956489133912429
1.6,0.0939310324658815
1.61,0.0922541644792525
1.62,0.0906171526490659
1.63,0.0890188764712531
1.64,0.0874582505190997
1.65,0.085934223281579
1.66,0.0844457760396317
1.67,0.0829919217794894
1.68,0.081571704141885
1.69,0.0801841964063146
1.7,0.078828500508996
1.71,0.0775037460938143
1.72,0.0762090895951384
1.73,0.0749437133514452
1.74,0.0737068247489845
1.75,0.0724976553943602
1.76,0.0713154603152099
1.77,0.0701595171880725
1.78,0.0690291255924838
1.79,0.0679236062905884
1.8,0.0668423005312417
1.81,0.0657845693780133
1.82,0.0647497930600818
1.83,0.063737370345347
1.84,0.0627467179351122
1.85,0.0617772698793624
1.86,0.0608284770122059
1.87,0.0598998064065574
1.88,0.0589907408476146
1.89,0.058100778324245
1.9,0.0572294315379568
1.91,0.0563762274285397
1.92,0.0555407067160185
1.93,0.054722423458233
1.94,0.0539209446235944
1.95,0.0531358496783616
1.96,0.0523667301880811
1.97,0.0516131894325285
1.98,0.0508748420338224
1.99,0.0501513135971857
2,0.0494422403639019
2.01,0.0487472688760232
2.02,0.0480660556524554
2.03,0.0473982668760651
2.04,0.0467435780912724
2.05,0.046101673911862
2.06,0.0454722477387144
2.07,0.0448550014869269
2.08,0.0442496453221708
2.09,0.0436558974058609
2.1,0.0430734836488351
2.11,0.0425021374732892
2.12,0.0419415995826284
2.13,0.0413916177390051
2.14,0.0408519465481981
2.15,0.0403223472516646
2.16,0.0398025875254374
2.17,0.0392924412857061
2.18,0.0387916885007341
2.19,0.0383001150090138
2.2,0.0378175123433906
2.21,0.037343677560886
2.22,0.036878413078138
2.23,0.0364215265121608
2.24,0.0359728305263108
2.25,0.035532142681235
2.26,0.0350992852906427
2.27,0.0346740852817412
2.28,0.0342563740601559
2.29,0.033845987379195
2.3,0.0334427652133086
2.31,0.0330465516355844
2.32,0.0326571946991739
2.33,0.0322745463224691
2.34,0.0318984621779067
2.35,0.0315288015843593
2.36,0.0311654274028689
2.37,0.0308082059356377
2.38,0.0304570068283165
2.39,0.0301117029751939
2.4,0.0297721704274769
2.41,0.0294382883043809
2.42,0.0291099387069626
2.43,0.0287870066346783
2.44,0.0284693799044945
2.45,0.0281569490724859
2.46,0.0278496073578608
2.47,0.0275472505693358
2.48,0.0272497770337121
2.49,0.026957087526699
2.5,0.0266690852057844
2.51,0.0263856755451934
2.52,0.0261067662727699
2.53,0.0258322673088035
2.54,0.0255620907066953
2.55,0.0252961505953618
2.56,0.0250343631234367
2.57,0.0247766464050726
2.58,0.0245229204674062
2.59,0.0242731071995537
2.6,0.0240271303031426
2.61,0.0237849152442657
2.62,0.023546389206918
2.63,0.023311481047729
2.64,0.0230801212520699
2.65,0.0228522418914303
2.66,0.0226277765820231
2.67,0.0224066604446332
2.68,0.0221888300655694
2.69,0.0219742234588047
2.7,0.0217627800291727
2.71,0.02155444053663
2.72,0.0213491470615419
2.73,0.0211468429709841
2.74,0.0209474728859553
2.75,0.0207509826495698
2.76,0.0205573192961295
2.77,0.020366431021071
2.78,0.0201782671517693
2.79,0.0199927781191512
2.8,0.0198099154301071
2.81,0.0196296316406892
2.82,0.0194518803300262
2.83,0.0192766160749976
2.84,0.0191037944255867
2.85,0.0189333718809227
2.86,0.0187653058659834
2.87,0.0185995547089381
2.88,0.0184360776191122
2.89,0.0182748346655551
2.9,0.018115786756184
2.91,0.0179588956175133
2.92,0.0178041237749137
2.93,0.0176514345334132
2.94,0.017500791959023
2.95,0.0173521608605498
2.96,0.0172055067719085
2.97,0.0170607959349078
2.98,0.0169179952824793
2.99,0.0167770724223751
3,0.0166379956212842
3.01,0.0165007337893647
3.02,0.0163652564651983
3.03,0.0162315338011237
3.04,0.0160995365489738
3.05,0.0159692360461643
3.06,0.0158406042021687
3.07,0.0157136134853152
3.08,0.0155882369099608
3.09,0.0154644480239689
3.1,0.0153422208965195
3.11,0.0152215301062479
3.12,0.0151023507296506
3.13,0.0149846583298298
3.14,0.0148684289454949
3.15,0.0147536390802648
3.16,0.0146402656922206
3.17,0.0145282861837375
3.18,0.0144176783915732
3.19,0.0143084205771981
3.2,0.0142004914173665
3.21,0.0140938699949431
3.22,0.0139885357899255
3.23,0.0138844686707273
3.24,0.0137816488856441
3.25,0.0136800570545532
3.26,0.0135796741608108
3.27,0.0134804815433441
3.28,0.0133824608889476
3.29,0.0132855942247568
3.3,0.0131898639109163
3.31,0.0130952526334126
3.32,0.0130017433971026
3.33,0.0129093195188857
3.34,0.0128179646210625
3.35,0.0127276626248364
3.36,0.0126383977439855
3.37,0.0125501544786742
3.38,0.0124629176094242
3.39,0.0123766721912145
3.4,0.0122914035477375
3.41,0.0122070972657841
3.42,0.0121237391897565
3.43,0.0120413154163178
3.44,0.0119598122891648
3.45,0.0118792163939258
3.46,0.0117995145531725
3.47,0.0117206938215514
3.48,0.0116427414810283
3.49,0.0115656450362475
3.5,0.0114893922099894
3.51,0.0114139709387369
3.52,0.0113393693683475
3.53,0.0112655758498224
3.54,0.0111925789351714
3.55,0.0111203673733714
3.56,0.0110489301064164
3.57,0.0109782562654683
3.58,0.0109083351670787
3.59,0.0108391563094993
3.6,0.0107707093690929
3.61,0.0107029841967981
3.62,0.0106359708146967
3.63,0.0105696594126444
3.64,0.0105040403449766
3.65,0.0104391041273009
3.66,0.0103748414333436
3.67,0.0103112430918741
3.68,0.0102483000837017
3.69,0.0101860035387328
3.7,0.0101243447330848
3.71,0.0100633150862857
3.72,0.0100029061585135
3.73,0.00994310964790388
3.74,0.0098839173879174
3.75,0.00982532134476471
3.76,0.00976731361488217
3.77,0.00970988642246531
3.78,0.00965303211706139
3.79,0.00959674317119755
3.8,0.00954101217807623
3.81,0.00948583184931552
3.82,0.00943119501272777
3.83,0.00937709461016082
3.84,0.00932352369537443
3.85,0.00927047543196384
3.86,0.00921794309132627
3.87,0.00916592005067918
3.88,0.00911439979110389
3.89,0.00906337589564559
3.9,0.00901284204744243
3.91,0.00896279202790283
3.92,0.0089132197149073
3.93,0.00886411908106653
3.94,0.00881548419199442
3.95,0.00876730920463461
3.96,0.0087195883656123
3.97,0.00867231600961898
3.98,0.00862548655783407
3.99,0.00857909451638162
4,0.0085331344748082
4.01,0.00848760110460176
4.02,0.00844248915773727
4.03,0.00839779346524976
4.04,0.00835350893583964
4.05,0.00830963055449838
4.06,0.00826615338117641
4.07,0.0082230725494658
4.08,0.00818038326530642
4.09,0.00813808080573092
4.1,0.00809616051762899
4.11,0.00805461781652593
4.12,0.00801344818540381
4.13,0.0079726471735291
4.14,0.00793221039531932
4.15,0.00789213352921136
4.16,0.00785241231657606
4.17,0.00781304256063537
4.18,0.00777402012540543
4.19,0.00773534093467068
4.2,0.00769700097095937
4.21,0.00765899627455674
4.22,0.0076213229425213
4.23,0.00758397712773798
4.24,0.00754695503797126
4.25,0.00751025293494916
4.26,0.00747386713345946
4.27,0.00743779400046555
4.28,0.0074020299542342
4.29,0.00736657146348821
4.3,0.00733141504656767
4.31,0.00729655727060922
4.32,0.00726199475074522
4.33,0.00722772414931053
4.34,0.00719374217507109
4.35,0.0071600455824607
4.36,0.00712663117083648
4.37,0.00709349578374948
4.38,0.00706063630822052
4.39,0.00702804967404483
4.4,0.00699573285308992
4.41,0.00696368285862322
4.42,0.00693189674464276
4.43,0.00690037160522363
4.44,0.00686910457387791
4.45,0.00683809282291964
4.46,0.0068073335628503
4.47,0.00677682404175087
4.48,0.00674656154468103
4.49,0.00671654339309785
4.5,0.00668676694428147
4.51,0.00665722959076529
4.52,0.00662792875978657
4.53,0.00659886191273881
4.54,0.00657002654464023
4.55,0.00654142018360398
4.56,0.00651304039032813
4.57,0.00648488475758351
4.58,0.00645695090972087
4.59,0.00642923650218026
4.6,0.00640173922100864
4.61,0.00637445678239498
4.62,0.00634738693219842
4.63,0.00632052744550041
4.64,0.00629387612615481
4.65,0.00626743080634779
4.66,0.00624118934616982
4.67,0.00621514963318774
4.68,0.00618930958202771
4.69,0.00616366713397226
4.7,0.00613822025655136
4.71,0.00611296694314944
4.72,0.00608790521261811
4.73,0.00606303310889193
4.74,0.00603834870061632
4.75,0.0060138500807749
4.76,0.00598953536633197
4.77,0.00596540269787109
4.78,0.00594145023924851
4.79,0.00591767617724705
4.8,0.00589407872123937
4.81,0.00587065610285467
4.82,0.00584740657564996
4.83,0.00582432841479108
4.84,0.00580141991673542
4.85,0.00577867939891941
4.86,0.00575610519945736
4.87,0.00573369567683699
4.88,0.00571144920962505
4.89,0.00568936419617779
4.9,0.00566743905435384
4.91,0.0056456722212334
4.92,0.00562406215284473
4.93,0.00560260732388676
4.94,0.00558130622746828
4.95,0.00556015737483873
4.96,0.00553915929513443
4.97,0.00551831053512334
4.98,0.00549760965895156
4.99,0.00547705524790256
5,0.00545664590014991
5.01,0.00543638023052285
5.02,0.00541625687026869
5.03,0.00539627446682673
5.04,0.00537643168359606
5.05,0.00535672719971878
5.06,0.00533715970985233
5.07,0.0053177279239612
5.08,0.00529843056709989
5.09,0.0052792663792058
5.1,0.00526023411489068
5.11,0.00524133254324103
5.12,0.00522256044761753
5.13,0.00520391662545944
5.14,0.00518539988808899
5.15,0.00516700906052508
5.16,0.00514874298129282
5.17,0.00513060050224277
5.18,0.00511258048836518
5.19,0.00509468181761711
5.2,0.00507690338074173
5.21,0.00505924408109798
5.22,0.00504170283449233
5.23,0.00502427856900535
5.24,0.00500697022483283
5.25,0.00498977675412063
5.26,0.00497269712080377
5.27,0.00495573030045096
5.28,0.00493887528011047
5.29,0.0049221310581525
5.3,0.00490549664412529
5.31,0.00488897105860272
5.32,0.00487255333304088
5.33,0.00485624250963242
5.34,0.0048400376411673
5.35,0.00482393779089245
5.36,0.00480794203237422
5.37,0.00479204944936525
5.38,0.00477625913566991
5.39,0.00476057019501328
5.4,0.00474498174091231
5.41,0.0047294928965503
5.42,0.00471410279464777
5.43,0.00469881057734478
5.44,0.00468361539607433
5.45,0.00466851641144515
5.46,0.0046535127931241
5.47,0.0046386037197169
5.48,0.00462378837865976
5.49,0.0046090659661004
5.5,0.00459443568678906
5.51,0.00457989675397204
5.52,0.00456544838927823
5.53,0.00455108982261791
5.54,0.00453682029207541
5.55,0.00452263904380663
5.56,0.0045085453319372
5.57,0.00449453841846101
5.58,0.00448061757314578
5.59,0.00446678207342867
5.6,0.00445303120432784
5.61,0.00443936425834203
5.62,0.00442578053536164
5.63,0.00441227934257313
5.64,0.00439885999437113
5.65,0.00438552181227057
5.66,0.00437226412481284
5.67,0.00435908626748432
5.68,0.00434598758263072
5.69,0.00433296741937051
5.7,0.00432002513351297
5.71,0.00430716008747552
5.72,0.00429437165020483
5.73,0.00428165919709616
5.74,0.00426902210991332
5.75,0.00425645977671476
5.76,0.00424397159177351
5.77,0.00423155695550509
5.78,0.00421921527439134
5.79,0.00420694596090873
5.8,0.00419474843345503
5.81,0.00418262211627815
5.82,0.00417056643940709
5.83,0.00415858083858254
5.84,0.00414666475518805
5.85,0.00413481763618325
5.86,0.0041230389340366
5.87,0.00411132810666171
5.88,0.00409968461735155
5.89,0.00408810793471555
5.9,0.00407659753261462
5.91,0.00406515289010337
5.92,0.00405377349136477
5.93,0.00404245882565299
5.94,0.00403120838723277
5.95,0.00402002167531981
5.96,0.00400889819402493
5.97,0.00399783745229522
5.98,0.00398683896385966
5.99,0.00397590224717168
6,0.00396502682535598
6.01,0.00395421222615263
6.02,0.00394345798186577
6.03,0.0039327636293099
6.04,0.00392212870975771
6.05,0.0039115527688904
6.06,0.00390103535674505
6.07,0.0038905760276659
6.08,0.00388017434025602
6.09,0.0038698298573264
6.1,0.00385954214584988
6.11,0.00384931077691425
6.12,0.00383913532567347
6.13,0.0038290153713028
6.14,0.00381895049695522
6.15,0.00380894028971234
6.16,0.00379898434054487
6.17,0.0037890822442647
6.18,0.00377923359948515
6.19,0.00376943800857565
6.2,0.00375969507762276
6.21,0.00375000441638529
6.22,0.00374036563825534
6.23,0.00373077836021921
6.24,0.00372124220281389
