"o","l"
-2,1.3241325110519e-28
-1.98,1.3235632610821e-28
-1.96,1.32292853676357e-28
-1.94,1.32222281123586e-28
-1.92,1.32144005454917e-28
-1.9,1.3205736832602e-28
-1.88,1.31961650462572e-28
-1.86,1.31856065495352e-28
-1.84,1.31739753121633e-28
-1.82,1.31611771557453e-28
-1.8,1.31471089184911e-28
-1.78,1.3131657533431e-28
-1.76,1.31146990122233e-28
-1.74,1.30960973263566e-28
-1.72,1.30757031789148e-28
-1.7,1.30533526611391e-28
-1.68,1.30288657867742e-28
-1.66,1.34299648059461e-28
-1.64,1.34003338298014e-28
-1.62,1.33681334960426e-28
-1.6,1.33331369111303e-28
-1.58,1.32950969763535e-28
-1.56,1.32537450632e-28
-1.54,1.32087898202156e-28
-1.52,1.3159916217888e-28
-1.5,1.31067849801032e-28
-1.48,1.3049032604543e-28
-1.46,1.29862722475587e-28
-1.44,1.29180958448563e-28
-1.42,1.28440779597612e-28
-1.4,1.27637820088597e-28
-1.38,1.26767697097783e-28
-1.36,1.25826148356423e-28
-1.34,1.24809226455601e-28
-1.32,1.23713566823674e-28
-1.3,1.22536749667531e-28
-1.28,1.21277779260523e-28
-1.26,1.1993770593142e-28
-1.24,1.18520415605453e-28
-1.22,1.17033606720942e-28
-1.2,1.15489961954784e-28
-1.18,1.13908499014221e-28
-1.16,1.12316047366691e-28
-1.14,1.10748744182709e-28
-1.12,1.09253374531512e-28
-1.1,1.1707734265841e-28
-1.08,1.1581526045069e-28
-1.06,1.14919025624001e-28
-1.04,1.14482148772671e-28
-1.02,1.16710905932998e-28
-1,1.19562255823931e-28
-0.98,1.2438845397693e-28
-0.96,1.35813243445607e-28
-0.94,1.51553082192585e-28
-0.92,1.73053440802378e-28
-0.9,2.03592987806339e-28
-0.88,2.40780737621217e-28
-0.86,2.87537170379984e-28
-0.84,3.45506917804131e-28
-0.82,4.14159362610048e-28
-0.8,4.93642400592741e-28
-0.78,5.82167158398809e-28
-0.76,6.93439948684986e-28
-0.74,9.07875745007785e-28
-0.72,1.2761961057735e-27
-0.7,1.89158721081168e-27
-0.68,2.96446754951738e-27
-0.66,4.93750118717577e-27
-0.64,6.64252428120994e-27
-0.62,2.61691685816275e-26
-0.6,2.65437794064459e-25
-0.58,7.74603631387108e-24
-0.56,5.73817462411103e-22
-0.54,7.97415712567225e-20
-0.52,1.42719622322905e-17
-0.5,2.33079579682836e-15
-0.48,2.6515939466278e-13
-0.46,1.81637196064183e-11
-0.44,7.17909630005341e-10
-0.42,1.66017817788946e-08
-0.4,2.34905348315481e-07
-0.38,2.15470804823872e-06
-0.36,1.33532037935013e-05
-0.34,6.22041335546082e-05
-0.32,0.000223953422856817
-0.3,0.000650690021040261
-0.28,0.00158261973560798
-0.26,0.00332256750575333
-0.24,0.00617604732109031
-0.22,0.010380250557929
-0.2,0.0160500665792907
-0.18,0.0231577224334291
-0.16,0.0315461015169401
-0.14,0.0409644604225932
