"dog_number","birth_date","death_mode","age","sex","group","tissues","comment","experiment","study","era_studyID","era_GroupID","dam","sire"
"1","1959-10-13","Radiation","446","M","5900","19","APL.BONE MAR.;SEPT.
",NULL,"3","0","0","49",NULL
"2","1959-10-13","Sacrificed Moribund","451","M","5900","19","APLASTIC BONE MARROW
",NULL,"3","0","0","49",NULL
"3","1959-10-13","Radiation","473","M","5900","20","HYPOPLASTIC BONE MARROW
",NULL,"3","0","0","49",NULL
"4","1959-10-13","Experimental Sacrifice","3530","F","7000","35","SAC.IN COURSE OF EXP.
",NULL,"99","99","8","49",NULL
"5","1959-10-13","Transferred","493","F","220","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","3","49",NULL
"6","1959-11-22","Experimental Sacrifice","1622","F","7000","16","SAC.IN COURSE OF EXP.
",NULL,"99","99","8","39",NULL
"7","1959-12-12","Sacrificed Moribund","1577","M","5900","24","OSTEOGENIC SARCOMA
",NULL,"3","0","0","40",NULL
"8","1959-12-12","Euthanized for Non-Conformance","2000","F","220","20","SAC.NON-CONFORMING
",NULL,"0","99","3","40",NULL
"9","1959-12-12","Sacrificed Moribund","1553","M","5900","17","OSTEOGENIC SARCOMA
",NULL,"3","0","0","40",NULL
"10","1959-12-12","Control Sacrifice","1537","F","6400","13","SAC.FOR CONTROL DATA
",NULL,"99","56","3","40",NULL
"11","1959-12-12","Radiation","1656","M","5900","18","OSTEOGENIC SARCOMA
",NULL,"3","0","0","40",NULL
"12","1959-12-12","Sacrificed Moribund","1350","M","5900","5","OSTEOGENIC SARCOMA
",NULL,"3","0","0","40",NULL
"13","1959-12-12","Radiation","1533","M","5900","17","OSTEOGENIC SARCOMA
",NULL,"3","0","0","40",NULL
"14","1959-12-25","Sacrificed Moribund","2176","M","5900","22","OSTEOGENIC SARCOMA
",NULL,"3","0","0","44",NULL
"15","1959-12-25","Sacrificed Moribund","3196","M","5900","34","OSTEOGENIC SARCOMA
",NULL,"3","0","0","44",NULL
"16","1959-12-25","Radiation","772","M","5900","0","HYPOPLASTIC BONE MARROW
",NULL,"3","0","0","44",NULL
"17","1959-12-25","Sacrificed Moribund","2520","M","5900","38","OSTEOGENIC SARCOMA
",NULL,"3","0","0","44",NULL
"18","1959-12-25","Euthanized for Non-Conformance","2061","F","220","20","SAC.NON-CONFORMING
",NULL,"0","99","3","44",NULL
"19","1959-12-25","Transferred","1019","F","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1","44",NULL
"20","1959-12-29","Sacrificed Moribund","1836","M","5900","17","OSTEOGENIC SARCOMA
",NULL,"3","0","0","45",NULL
"21","1959-12-29","Sacrificed Moribund","2480","M","5900","37","OSTEOGENIC SARCOMA
",NULL,"3","0","0","45",NULL
"22","1960-01-08","Radiation","487","M","5900","20","APLASTIC BONE MARROW
",NULL,"3","0","0","46",NULL
"23","1960-01-08","Transferred","1005","F","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1","46",NULL
"24","1960-01-08","Transferred","1005","F","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1","46",NULL
"25","1960-01-10","Euthanized for Non-Conformance","3455","F","220","34","SAC.NON-CONFORMING
",NULL,"0","99","3","563",NULL
"26","1960-01-10","Sacrificed Moribund","2500","M","5900","38","OSTEOGENIC SARCOMA
",NULL,"3","0","0","563",NULL
"27","1960-01-10","Transferred","1139","F","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1","563",NULL
"28","1960-01-19","Transferred","994","F","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1","38",NULL
"29","1960-01-30","Transferred","983","F","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1","42","90"
"30","1960-01-30","Radiation","478","M","5900","19","HYPOPLASTIC BONE MARROW
",NULL,"3","0","0","42","90"
"31","1960-01-30","Sacrificed Moribund","2456","M","5900","38","OSTEOSARC.;HEMANGIOSARC
",NULL,"3","0","0","42","90"
"32","1960-01-30","Sacrificed Moribund","1917","M","5900","15","OSTEOGENIC SARCOMA
",NULL,"3","0","0","42","90"
"33","1960-01-30","Sacrificed Moribund","2840","M","5900","36","OSTEOGENIC SARCOMA
",NULL,"3","0","0","42","90"
"34","1960-01-30","Euthanized for Non-Conformance","3119","F","220","34","SAC.NON-CONFORMING
",NULL,"0","99","3","42","90"
"35","1959-12-29","Euthanized for Disease","34","U","10","0","DETERMINATE
",NULL,"0","99","1","45",NULL
"36","1959-12-25","less than 7 days old","2","U","10","0","DETERMINATE
",NULL,"0","99","1","44",NULL
"37","1960-01-10","Stillborn","0","U","8400","0","STILLBORN
",NULL,"99","99","14","563",NULL
"38","1957-08-21","Transferred","2011","F","7000","0","SAC.TRANS.WITHIN ANL
",NULL,"99","99","8",NULL,NULL
"39","1957-09-25","Experimental Sacrifice","1444","F","7000","20","SACR.END OF EXP.
",NULL,"99","99","8",NULL,NULL
"40","1958-04-09","Euthanized for Non-Conformance","2919","F","220","34","SAC.NON-CONFORMING
",NULL,"0","99","3",NULL,NULL
"41","1957-05-07","Euthanized for Non-Conformance","3202","F","220","19","SAC.NON-CONFORMING
",NULL,"0","99","3",NULL,NULL
"42","1957-09-20","Control Sacrifice","2686","F","7600","19","SAC.FOR CONTROL MATL.
",NULL,"99","56","2",NULL,NULL
"43","1957-12-09","Euthanized for Disease","1366","F","7000","0","DYSTOCIA
",NULL,"99","99","8",NULL,NULL
"44","1958-12-08","Control Sacrifice","951","F","220","2","SAC.FOR CONTROL MATL.
",NULL,"0","99","3",NULL,NULL
"45","1958-12-08","Experimental Sacrifice","3838","F","7000","35","SAC.IN COURSE OF EXP.
",NULL,"99","99","8",NULL,NULL
"46","1958-12-08","Radiation","1408","F","5500","23","HEMORRHAGIC DIATHESIS
",NULL,"4","4","0",NULL,NULL
"47","1958-10-08","Parturition","1734","F","220","11","DYSTOCIA
",NULL,"0","99","3",NULL,NULL
"48","1958-08-08","Radiation","1529","F","5500","22","HEMORRHAGIC DIATHESIS
",NULL,"4","4","0",NULL,NULL
"49","1958-06-08","Transferred","1720","F","220","9","TRANS.WITHIN ANL
",NULL,"0","99","3",NULL,NULL
"50","1960-02-21","Euthanized for Non-Conformance","3417","F","220","34","SAC.NON-CONFORMING
",NULL,"0","99","3","43","90"
"51","1960-02-21","Transferred","961","F","220","0","TRANS.WITHIN ANL
",NULL,"0","99","3","43","90"
"52","1960-02-21","Radiation","417","M","5500","9","ANESTHETIC DEATH
",NULL,"4","4","0","43","90"
"53","1960-02-21","Radiation","415","M","5500","0","ANESTHETIC DEATH
",NULL,"4","4","0","43","90"
"54","1960-03-10","Radiation","3948","M","5500","57","B.M.APLAS;SERTOLI T.
",NULL,"4","4","0","571","90"
"55","1960-03-10","Sacrificed Moribund","4596","M","5500","44","SQUAM.C.CARC-ORAL CAV/W
",NULL,"4","4","0","571","90"
"56","1960-03-10","Transferred","943","F","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1","571","90"
"57","1960-03-10","Transferred","1434","F","220","0","TRANS.WITHIN ANL
",NULL,"0","99","3","571","90"
"58","1952-08-12","Sacrificed Moribund","4378","M","7600","0","BILE DUCT CARC./W
",NULL,"99","56","2",NULL,NULL
"59","1957-03-25","Control Sacrifice","2513","F","220","13","SAC.FOR CONTROL MATL.
",NULL,"0","99","3",NULL,NULL
"60","1957-03-25","Radiation","2090","F","5500","24","HEMORRHAGIC DIATHESIS
",NULL,"4","4","0",NULL,NULL
