"dog_number","total_dose","daily_dose","days_exposed","first_exposure_age","interrupts"
"666","850.0","77","11","442","0"
"667","594.0","54","11","442","0"
"685","413.0","38","11","396","0"
"686","2475.0","225","11","374","0"
"687","1733.0","158","11","374","0"
"688","1213.0","110","11","374","0"
"689","850.0","77","11","374","0"
"698","594.0","54","11","372","0"
"699","594.0","54","11","372","0"
"701","594.0","54","11","372","0"
"703","413.0","38","11","365","0"
"704","413.0","38","11","365","0"
"705","413.0","38","11","365","0"
"887","1458.0","54","27","464","0"
"888","1238.0","38","33","464","0"
"889","1208.0","26","46","465","0"
"891","1690.0","18","92","466","0"
"892","1452.0","18","79","462","0"
"893","1181.0","26","45","461","0"
"895","1350.0","54","25","460","0"
"900","1837.0","18","100","462","0"
"902","1200.0","38","32","460","0"
"904","1125.0","38","30","459","0"
"905","1275.0","13","100","462","0"
"907","1076.0","26","41","460","0"
"908","1275.0","13","100","462","0"
"909","1275.0","13","100","462","0"
"910","1566.0","54","29","442","0"
"911","1463.0","38","39","442","0"
"912","1155.0","26","44","443","0"
"913","1943.0","26","74","443","0"
"915","1176.0","18","64","467","0"
"916","1388.0","38","37","442","0"
"925","1047.0","18","57","447","0"
"926","1497.0","26","57","451","0"
"932","1242.0","54","23","420","0"
"942","1837.0","18","100","419","0"
"943","1275.0","13","100","420","0"
"945","1837.0","18","100","419","0"
"946","2138.0","38","57","417","0"
"948","1837.0","18","100","417","0"
"949","1275.0","13","100","418","0"
"950","1837.0","18","100","417","0"
"952","1050.0","26","40","445","0"
"953","1238.0","38","33","446","0"
"954","1275.0","13","100","413","0"
"955","1275.0","13","100","413","0"
"965","1050.0","38","28","411","0"
"966","735.0","26","28","419","0"
"967","540.0","54","10","422","0"
"968","270.0","54","5","422","0"
"969","1076.0","26","41","374","0"
"970","525.0","26","20","420","0"
"971","735.0","18","40","421","0"
"972","378.0","54","7","421","0"
"973","750.0","38","20","424","0"
"975","525.0","38","14","435","0"
"977","756.0","54","14","429","0"
"978","1080.0","54","20","430","0"
"989","1125.0","38","30","315","0"
"991","1763.0","38","47","308","0"
"992","1785.0","26","68","309","0"
"994","1759.0","26","67","309","0"
"995","1275.0","13","100","311","0"
"996","375.0","38","10","385","0"
"999","1837.0","18","100","310","0"
"1208","1785.0","26","68","802","0"
"1209","3838.0","13","301","802","0"
"1210","4965.0","8","662","803","0"
"1212","4361.0","4","1163","804","0"
"1215","12165.0","8","1622","817","0"
"1227","8445.0","4","2252","810","4"
"1229","10793.0","4","2878","810","0"
"1239","1523.0","26","58","780","0"
"1246","1084.0","13","85","779","0"
"1252","8745.0","8","1166","771","0"
"1255","9218.0","4","2458","772","0"
"1263","9983.0","8","1331","781","0"
"1264","8869.0","4","2365","783","0"
"1302","9694.0","4","2585","651","0"
"1303","1313.0","26","50","704","0"
"1306","1505.0","13","118","634","0"
"1329","1392.0","26","53","605","0"
"1331","11595.0","4","3092","602","0"
"1334","1815.0","4","484","617","0"
"1335","9308.0","4","2482","617","0"
"1341","1943.0","8","259","613","0"
"1348","2010.0","8","268","598","0"
"1349","1517.0","13","119","597","0"
"1351","2588.0","8","345","598","0"
"1361","1463.0","4","390","595","0"
"1362","1868.0","8","249","608","0"
"1366","7309.0","4","1949","606","0"
"1379","4448.0","4","1186","590","0"
"1380","1628.0","26","62","643","0"
"1381","13529.0","13","1061","573","0"
"1382","5018.0","8","669","571","0"
"1383","10407.0","4","2775","572","0"
"1386","6968.0","8","929","585","0"
"1389","5816.0","4","1551","582","0"
"1391","1365.0","26","52","635","0"
"1392","3709.0","4","989","582","0"
"1394","12942.0","13","1015","563","0"
"1397","2873.0","8","383","564","0"
"1429","7785.0","4","2076","493","0"
"1434","1935.0","8","258","499","0"
"1436","9912.0","4","2643","501","0"
"1439","5363.0","4","1430","501","0"
"1440","1181.0","26","45","484","0"
"1441","2206.0","13","173","484","0"
"1448","14745.0","8","1966","479","0"
"1449","10144.0","4","2705","475","0"
"1453","6761.0","4","1803","490","0"
"1461","233.0","8","31","1531","0"
"1462","3780.0","8","504","478","0"
"1464","3863.0","4","1030","480","0"
"1465","1759.0","26","67","533","0"
"1467","1943.0","8","259","461","0"
"1468","1913.0","13","150","460","0"
"1469","5400.0","4","1440","462","0"
"1472","6994.0","4","1865","460","0"
"1473","6041.0","4","1611","460","0"
"1474","1568.0","8","209","458","0"
"1502","1964.0","13","154","583","0"
"1522","5304.0","13","416","580","0"
"1523","1670.0","13","131","580","0"
"1525","1050.0","26","40","510","0"
"1526","1050.0","26","40","507","0"
"1533","1050.0","26","40","756","0"
"1536","1050.0","26","40","485","0"
"1542","2716.0","13","213","551","0"
"1543","1050.0","26","40","523","0"
"1544","1050.0","26","40","733","0"
"1547","1024.0","26","39","726","0"
"1554","1050.0","26","40","507","0"
"1556","998.0","26","38","717","0"
"1557","893.0","26","34","507","0"
"1574","971.0","26","37","434","0"
"1581","2397.0","13","188","496","0"
"1582","1050.0","26","40","468","0"
"1584","1050.0","26","40","526","0"
"1597","1050.0","26","40","473","0"
"1598","3038.0","8","405","600","0"
"1600","1050.0","26","40","515","0"
"1601","1050.0","26","40","515","0"
"1603","971.0","26","37","473","0"
"1611","1050.0","26","40","472","0"
"1617","315.0","26","12","793","0"
"1629","1050.0","26","40","452","0"
"1632","1050.0","26","40","410","0"
"1633","1050.0","26","40","494","0"
"1664","225.0","4","60","1157","0"
"1665","1050.0","26","40","444","0"
"1669","1050.0","26","40","439","0"
"1676","3038.0","8","405","481","0"
"1677","3038.0","8","405","481","0"
"1678","3038.0","8","405","481","0"
"1682","1050.0","26","40","433","0"
"1683","1050.0","26","40","475","0"
"1684","3038.0","8","405","476","0"
"1685","3038.0","8","405","476","0"
"1687","1050.0","26","40","475","0"
"1688","1050.0","26","40","559","0"
"1694","1050.0","26","40","471","0"
"1697","919.0","26","35","636","0"
"1698","3030.0","8","404","469","0"
"1699","1050.0","26","40","468","0"
"1700","998.0","26","38","552","0"
"1702","1050.0","26","40","594","0"
"1709","814.0","26","31","536","0"
"1711","225.0","4","60","2553","0"
"1714","1050.0","26","40","578","0"
"1721","1050.0","26","40","520","0"
"1722","1024.0","26","39","604","0"
"1723","1050.0","26","40","562","0"
"1725","1050.0","26","40","604","0"
"1728","1050.0","26","40","548","0"
"1732","1050.0","26","40","590","0"
"1775","1050.0","26","40","531","0"
"1776","1050.0","26","40","531","0"
"1789","473.0","26","18","617","0"
"1790","315.0","26","12","624","0"
"1794","1050.0","26","40","485","0"
"1828","158.0","26","6","489","0"
"1857","1050.0","26","40","451","0"
"1858","2997.0","13","235","451","0"
"1860","1050.0","26","40","451","0"
"1861","2997.0","13","235","451","0"
