"protraction","dose","risk","error","cancer","facet","sex","strain","species","source","table","link"
"Acute",0,0.72,0.18,"Myeloid Leukemia",1,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",0.1,0.72,0.18,"Myeloid Leukemia",1,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",0.25,0.84,0.31,"Myeloid Leukemia",1,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",0.5,1.17,0.45,"Myeloid Leukemia",1,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",1,1.6,0.42,"Myeloid Leukemia",1,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",1.5,3.6,0.8,"Myeloid Leukemia",1,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",2,3.22,0.62,"Myeloid Leukemia",1,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",3,5.2,0.51,"Myeloid Leukemia",1,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Chronic",0.5,0.55,0.13,"Myeloid Leukemia",1,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Chronic",1,0.51,0.18,"Myeloid Leukemia",1,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Chronic",2,0.69,0.22,"Myeloid Leukemia",1,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",0,1.2,0.31,"Harderian Gland",2,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",0.1,1.3,0.43,"Harderian Gland",2,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",0.25,1.6,0.88,"Harderian Gland",2,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",0.5,2.42,0.77,"Harderian Gland",2,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",1,6.6,1.6,"Harderian Gland",2,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",1.5,5.3,1.7,"Harderian Gland",2,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",2,16.7,1.6,"Harderian Gland",2,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",3,16.2,1.6,"Harderian Gland",2,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Chronic",0.5,2.4,1,"Harderian Gland",2,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Chronic",1,2.6,0.9,"Harderian Gland",2,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Chronic",2,4.2,1,"Harderian Gland",2,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",0,6.7,0.7,"Pituitary",3,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",0.1,5.8,1,"Pituitary",3,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",0.25,5.5,1.5,"Pituitary",3,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",0.5,8.6,1.4,"Pituitary",3,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",1,9.5,1.9,"Pituitary",3,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",1.5,9.4,2.1,"Pituitary",3,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",2,10.4,1.9,"Pituitary",3,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",3,20.9,1.8,"Pituitary",3,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Chronic",0.5,6.8,6.8,"Pituitary",3,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Chronic",1,6.8,6.8,"Pituitary",3,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Chronic",2,7.8,7.8,"Pituitary",3,"Female","RFM","Mice","Cox 1995",3.3,"http://bit.ly/1hWUkkf"
"Acute",0,30.25,2,"Lung",4,"Female","RFM","Mice","BEIR VII","10B3","http://bit.ly/1ua9c40"
"Acute",0.1,24,1.9,"Lung",4,"Female","RFM","Mice","BEIR VII","10B3","http://bit.ly/1ua9c40"
"Acute",0.25,20.3,2.7,"Lung",4,"Female","RFM","Mice","BEIR VII","10B3","http://bit.ly/1ua9c40"
"Acute",0.5,24.1,2,"Lung",4,"Female","RFM","Mice","BEIR VII","10B3","http://bit.ly/1ua9c40"
"Acute",1,22.5,2.7,"Lung",4,"Female","RFM","Mice","BEIR VII","10B3","http://bit.ly/1ua9c40"
"Acute",1.5,25,3,"Lung",4,"Female","RFM","Mice","BEIR VII","10B3","http://bit.ly/1ua9c40"
