Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
1003-100-1|n/a,CM|1|n/a|Ra-228 ?citrate||unit code not relevant|not applicable or not supplied|Chemist Ra-228 mesothorium, physicist and labaratory technician.|1 (1 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-1-10854|1|29585|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1|2|16436|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-8|2|17532|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-20|2|13514|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-33|2|19724|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1018|2|25202|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1027|2|24837|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1028|2|31412|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1029|2|29950|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1153|2|27028|n/a|n/a|n/a|
