Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
10-5-1|LTSC,n/a|1|n/a|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|117 (117 in ERA)|Mouse|Mouse, CBA/CA|Female|Prenatal|342 offspring from 53 litters from 60 dams|10-5-1-1|1|238|Neoplasia malignant|Uterus among reproductive system diseases,MA: 0000389 - uterus|,MPATH: 268 - adenocarcinoma|
10-5-1|LTSC,n/a|1|n/a|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|117 (117 in ERA)|Mouse|Mouse, CBA/CA|Female|Prenatal|342 offspring from 53 litters from 60 dams|10-5-1-2|1|363|Neoplasia malignant|Mammary gland,MA: 0000145 - mammary gland|,MPATH: 218 - neoplasm|
10-5-1|LTSC,n/a|1|n/a|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|117 (117 in ERA)|Mouse|Mouse, CBA/CA|Female|Prenatal|342 offspring from 53 litters from 60 dams|10-5-1-3|1|435|Other deterministic changes|Whole body|n/a|
10-5-1|LTSC,n/a|1|n/a|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|117 (117 in ERA)|Mouse|Mouse, CBA/CA|Female|Prenatal|342 offspring from 53 litters from 60 dams|10-5-1-4|1|467|Neoplasia systemic|Haematolymphatic system,MA: 0002434 - hematopoietic system|,MPATH: 513 - Lymphoid neoplasms|
10-5-1|LTSC,n/a|1|n/a|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|117 (117 in ERA)|Mouse|Mouse, CBA/CA|Female|Prenatal|342 offspring from 53 litters from 60 dams|10-5-1-5|1|471|Other deterministic changes|Whole body|n/a|
10-5-1|LTSC,n/a|1|n/a|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|117 (117 in ERA)|Mouse|Mouse, CBA/CA|Female|Prenatal|342 offspring from 53 litters from 60 dams|10-5-1-6|1|477|Neoplasia systemic|Haematolymphatic system,MA: 0002434 - hematopoietic system|,MPATH: 513 - Lymphoid neoplasms|
10-5-1|LTSC,n/a|1|n/a|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|117 (117 in ERA)|Mouse|Mouse, CBA/CA|Female|Prenatal|342 offspring from 53 litters from 60 dams|10-5-1-7|1|493|Other deterministic changes|Whole body|n/a|
10-5-1|LTSC,n/a|1|n/a|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|117 (117 in ERA)|Mouse|Mouse, CBA/CA|Female|Prenatal|342 offspring from 53 litters from 60 dams|10-5-1-8|1|512|Neoplasia malignant|Lower respiratory system|n/a|
10-5-1|LTSC,n/a|1|n/a|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|117 (117 in ERA)|Mouse|Mouse, CBA/CA|Female|Prenatal|342 offspring from 53 litters from 60 dams|10-5-1-9|1|602|Other deterministic changes|Whole body|n/a|
10-5-1|LTSC,n/a|1|n/a|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|117 (117 in ERA)|Mouse|Mouse, CBA/CA|Female|Prenatal|342 offspring from 53 litters from 60 dams|10-5-1-10|1|606|Other deterministic changes|Whole body|n/a|
