Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-1|1|269|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-2|1|374|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-3|1|505|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-4|1|534|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-5|1|541|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-6|1|555|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-7|1|562|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-8|1|589|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-9|1|596|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-10|1|597|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-11|1|597|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-12|1|619|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-13|1|638|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-14|1|639|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-15|1|641|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-16|1|690|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-17|1|696|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-18|1|703|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-19|1|708|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-20|1|712|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-21|1|722|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-22|1|725|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-23|1|729|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-24|1|741|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-25|1|746|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-26|1|747|n/a|n/a|n/a|
1003-97-1|Additional mice from Janus study,n/a|n/a| n/a|n/a||n/a|n/a| n/a|91 (91 in ERA)|Mouse|Mouse, B6CF1|Both|Unknown|incomplete study no details on groips!|1003-97-1-27|1|757|n/a|n/a|n/a|
