Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
19-16-1|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 citrate,Quantity:46,Unit:megabecquerels per animal,Application:Injection, intraperitoneal, Remarks:n/a|55 (0 in ERA)|Mouse|Mouse, CBA|Male|Adult|Rats sacrificed  for organ radiometry 1, 2, 4, 8, 16, 32, 64, 128, 180, 256, 365 days after Pu injection|No information on individuals available for this study
19-16-2|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 citrate,Quantity:46,Unit:megabecquerels per animal,Application:Injection, intraperitoneal, Remarks:n/a|32 (0 in ERA)|Mouse|Mouse, CBA|Male|Adult|Rats sacrificed for histopathological autopsy 6, 9, and 12 months after Pu-239 injection|No information on individuals available for this study
19-16-2|n/a,n/a|Sequence:2, Age:n/a,Type:Undefined,Quantity:1,Unit:milligrams per day,Application:Ingestion in food or water, Remarks:for 6 months|32 (0 in ERA)|Mouse|Mouse, CBA|Male|Adult|Rats sacrificed for histopathological autopsy 6, 9, and 12 months after Pu-239 injection|No information on individuals available for this study
19-16-3|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 citrate,Quantity:46,Unit:megabecquerels per animal,Application:Injection, intraperitoneal, Remarks:n/a|32 (0 in ERA)|Mouse|Mouse, CBA|Male|Adult|Rats sacrificed for histopathological autopsy 6, 9, and 12 months after Pu-239 injection|No information on individuals available for this study
19-16-3|n/a,n/a|Sequence:2, Age:n/a,Type:Undefined,Quantity:1,Unit:milligrams per day,Application:Ingestion in food or water, Remarks:for 9 months|32 (0 in ERA)|Mouse|Mouse, CBA|Male|Adult|Rats sacrificed for histopathological autopsy 6, 9, and 12 months after Pu-239 injection|No information on individuals available for this study
19-16-4|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 citrate,Quantity:46,Unit:megabecquerels per animal,Application:Injection, intraperitoneal, Remarks:n/a|38 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Adult|Rats sacrificed for histopathological autopsy 6, 9, and 12 months after Pu-239 injection|No information on individuals available for this study
19-16-4|n/a,n/a|Sequence:2, Age:n/a,Type:Undefined,Quantity:1,Unit:milligrams per day,Application:Ingestion in food or water, Remarks:for 12 months|38 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Adult|Rats sacrificed for histopathological autopsy 6, 9, and 12 months after Pu-239 injection|No information on individuals available for this study
19-16-5|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 citrate,Quantity:46,Unit:megabecquerels per animal,Application:Injection, intraperitoneal, Remarks:n/a|95 (0 in ERA)|Mouse|Mouse, CBA|Male|Adult|Rats sacrificed for histopathological autopsy 6, 9, and 12 months after Pu-239 injection|No information on individuals available for this study
19-16-6|n/a,n/a|Sequence:1, Age:n/a,Type:Undefined,Quantity:1,Unit:milligrams per day,Application:Ingestion in food or water, Remarks:for 6 months|32 (0 in ERA)|Mouse|Mouse, CBA|Male|Adult|Rats sacrificed for histopathological autopsy 6, 9, and 12 months after Pu-239 injection|No information on individuals available for this study
19-16-7|n/a,n/a|Sequence:1, Age:n/a,Type:Undefined,Quantity:1,Unit:milligrams per day,Application:Ingestion in food or water, Remarks:for 9 months|32 (0 in ERA)|Mouse|Mouse, CBA|Male|Adult|Rats sacrificed for histopathological autopsy 6, 9, and 12 months after Pu-239 injection|No information on individuals available for this study
19-16-8|n/a,n/a|Sequence:1, Age:n/a,Type:Undefined,Quantity:1,Unit:milligrams per day,Application:Ingestion in food or water, Remarks:for 12 months|34 (0 in ERA)|Mouse|Mouse, CBA|Male|Adult|Rats sacrificed for histopathological autopsy 6, 9, and 12 months after Pu-239 injection|No information on individuals available for this study
19-16-9|n/a,n/a|Sequence:1, Age:n/a,Type:cells injected,Quantity:0,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:n/a|92 (0 in ERA)|Mouse|Mouse, CBA|Male|Adult|Rats sacrificed for histopathological autopsy 6, 9, and 12 months after Pu-239 injection|No information on individuals available for this study
		
