Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
7-8-1|n/a,n/a|Sequence:1, Age:100,Type:neutrons fission,Quantity:,Unit:unit code not relevant,Application:External exposure, Remarks:0.4, 0.1, 1 rad/d 16-24 h/d during life|500 (0 in ERA)|Mouse|Mouse, CBA|Both|Young Adult|Lifespan study only  1st experiment|No information on individuals available for this study
7-8-2|n/a,n/a|Sequence:1, Age:100,Type:none (controls),Quantity:0,Unit:unit code not relevant,Application:External exposure, Remarks:n/a|77 (0 in ERA)|Mouse|Mouse, CBA|Both|Young Adult|Lifespan study only  2nd experiment|No information on individuals available for this study
7-8-3|n/a,n/a|Sequence:1, Age:100,Type:neutrons fission,Quantity:0.287,Unit:rads per day,Application:External exposure, Remarks:16-24 h/d|73 (0 in ERA)|Mouse|Mouse, CBA|Both|Young Adult|Lifespan study only  2nd experiment|No information on individuals available for this study
7-8-4|n/a,n/a|Sequence:1, Age:100,Type:neutrons fission,Quantity:2.26,Unit:rads per day,Application:External exposure, Remarks:16-24 h/d|39 (0 in ERA)|Mouse|Mouse, CBA|Both|Young Adult|Lifespan study only  2nd experiment|No information on individuals available for this study
7-8-5|n/a,n/a|Sequence:1, Age:100,Type:gamma-rays whole body,Quantity:2.26,Unit:rads per day,Application:External exposure, Remarks:16-24 h/d reactor gamma|72 (0 in ERA)|Mouse|Mouse, CBA|Both|Young Adult|Lifespan study only  2nd experiment|No information on individuals available for this study
7-8-6|n/a,n/a|Sequence:1, Age:100,Type:gamma-rays whole body,Quantity:15.6,Unit:rads per day,Application:External exposure, Remarks:16-24 h/d reactor gamma|80 (0 in ERA)|Mouse|Mouse, CBA|Both|Young Adult|Lifespan study only  2nd experiment|No information on individuals available for this study
7-8-7|n/a,n/a|Sequence:1, Age:100,Type:none (controls),Quantity:0,Unit:unit code not relevant,Application:External exposure, Remarks:n/a|30 (0 in ERA)|Mouse|Mouse, CBA|Female|Young Adult|Lifespan study only |No information on individuals available for this study
7-8-8|n/a,n/a|Sequence:1, Age:100,Type:gamma-rays Co-60,Quantity:1000,Unit:roentgens,Application:External exposure, Remarks:5 days/w 50 R 81 R/h|30 (0 in ERA)|Mouse|Mouse, CBA|Female|Young Adult|Lifespan study some with macro/microscopic pathology|No information on individuals available for this study
7-8-9|n/a,n/a|Sequence:1, Age:100,Type:gamma-rays Co-60,Quantity:1000,Unit:roentgens,Application:External exposure, Remarks:5 days/w 50 R 21 R/h|25 (0 in ERA)|Mouse|Mouse, CBA|Female|Young Adult|Lifespan study some with macro/microscopic pathology|No information on individuals available for this study
7-8-10|n/a,n/a|Sequence:1, Age:100,Type:gamma-rays Co-60,Quantity:1000,Unit:roentgens,Application:External exposure, Remarks:5 nights/w 50 R 81 R/h|30 (0 in ERA)|Mouse|Mouse, CBA|Female|Young Adult|Lifespan study some with macro/microscopic pathology|No information on individuals available for this study
7-8-11|n/a,n/a|Sequence:1, Age:100,Type:gamma-rays Co-60,Quantity:1000,Unit:roentgens,Application:External exposure, Remarks:continuously 32 R/d|30 (0 in ERA)|Mouse|Mouse, CBA|Female|Young Adult|Lifespan study some with macro/microscopic pathology|No information on individuals available for this study
