Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
9-10-1|Nb-0DEGy 0,n/a|Sequence:2, Age:14,Type:none (controls),Quantity:0,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:control|30 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 40 70 w|No information on individuals available for this study
9-10-2|Nb-0.31DEGy 0,n/a|Sequence:1, Age:14,Type:diethylnitrosamine,Quantity:0.31,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-3|Nb-0.62DEGy 0,n/a|Sequence:1, Age:14,Type:diethylnitrosamine,Quantity:0.62,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-4|Nb-1.25DEGy 0,n/a|Sequence:1, Age:14,Type:diethylnitrosamine,Quantity:1.25,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-5|Nb-2.5DEGy 0,n/a|Sequence:1, Age:14,Type:diethylnitrosamine,Quantity:2.5,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-6|Nb-0DEGy 0.5,n/a|Sequence:1, Age:7,Type:neutrons 1-10 MeV,Quantity:0.5,Unit:grays,Application:External exposure, Remarks:whole body|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-7|Nb-0.31DEGy 0.5,n/a|Sequence:1, Age:7,Type:neutrons 1-10 MeV,Quantity:0.5,Unit:grays,Application:External exposure, Remarks:whole body|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-7|Nb-0.31DEGy 0.5,n/a|Sequence:2, Age:14,Type:diethylnitrosamine,Quantity:0.31,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-8|Nb-0.62DEGy 0.5,n/a|Sequence:1, Age:7,Type:neutrons 1-10 MeV,Quantity:0.5,Unit:grays,Application:External exposure, Remarks:whole body|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-8|Nb-0.62DEGy 0.5,n/a|Sequence:2, Age:14,Type:diethylnitrosamine,Quantity:0.62,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-9|Nb-1.25DEGy 0.5,n/a|Sequence:1, Age:7,Type:neutrons 1-10 MeV,Quantity:0.5,Unit:grays,Application:External exposure, Remarks:whole body|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-9|Nb-1.25DEGy 0.5,n/a|Sequence:2, Age:14,Type:diethylnitrosamine,Quantity:1.25,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-10|Nb-2.5DEGy 0.5,n/a|Sequence:1, Age:7,Type:neutrons 1-10 MeV,Quantity:0.5,Unit:grays,Application:External exposure, Remarks:whole body|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-10|Nb-2.5DEGy 0.5,n/a|Sequence:2, Age:14,Type:diethylnitrosamine,Quantity:2.5,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-11|Nb-0DEGy 1,n/a|Sequence:1, Age:7,Type:neutrons 1-10 MeV,Quantity:1,Unit:grays,Application:External exposure, Remarks:whole body|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-12|Nb-0.31DEGy 1,n/a|Sequence:1, Age:7,Type:neutrons 1-10 MeV,Quantity:1,Unit:grays,Application:External exposure, Remarks:whole body|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-12|Nb-0.31DEGy 1,n/a|Sequence:2, Age:14,Type:diethylnitrosamine,Quantity:0.31,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-13|Nb-0.62DEGy 1,n/a|Sequence:1, Age:7,Type:neutrons 1-10 MeV,Quantity:1,Unit:grays,Application:External exposure, Remarks:whole body|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-13|Nb-0.62DEGy 1,n/a|Sequence:2, Age:14,Type:diethylnitrosamine,Quantity:0.62,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-14|Nb-1.25DEGy 1,n/a|Sequence:1, Age:7,Type:neutrons 1-10 MeV,Quantity:1,Unit:grays,Application:External exposure, Remarks:whole body|30 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-14|Nb-1.25DEGy 1,n/a|Sequence:2, Age:14,Type:diethylnitrosamine,Quantity:1.25,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|30 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-15|Nb-2.5DEGy 1,n/a|Sequence:1, Age:7,Type:neutrons 1-10 MeV,Quantity:1,Unit:grays,Application:External exposure, Remarks:whole body|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-15|Nb-2.5DEGy 1,n/a|Sequence:2, Age:14,Type:diethylnitrosamine,Quantity:2.5,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-16|Nb-0DEGy 3,n/a|Sequence:1, Age:7,Type:neutrons 1-10 MeV,Quantity:3,Unit:grays,Application:External exposure, Remarks:whole body|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-17|Nb-0.31DEGy 3,n/a|Sequence:1, Age:7,Type:neutrons 1-10 MeV,Quantity:3,Unit:grays,Application:External exposure, Remarks:whole body|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-10-17|Nb-0.31DEGy 3,n/a|Sequence:2, Age:14,Type:diethylnitrosamine,Quantity:0.31,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
