"dog_number","birth_date","age","sex","group","abridged_Name","fractions","exposure_time","first_exposure_age","dose_per_minute","dose_per_fraction","total_dose","total_dose","daily_dose","days_exposed","first_exposure_age","interrupts",
"1","1959-10-13","446","M","5900","","","","","","","","","","","","",
"2","1959-10-13","451","M","5900","","","","","","","","","","","","",
"3","1959-10-13","473","M","5900","","","","","","","","","","","","",
"4","1959-10-13","3530","F","7000","Stocks, Breeders, etc.","","","","","","","","","","","",
"5","1959-10-13","493","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"6","1959-11-22","1622","F","7000","Stocks, Breeders, etc.","","","","","","","","","","","",
"7","1959-12-12","1577","M","5900","","","","","","","","","","","","",
"8","1959-12-12","2000","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"9","1959-12-12","1553","M","5900","","","","","","","","","","","","",
"10","1959-12-12","1537","F","6400","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"11","1959-12-12","1656","M","5900","","","","","","","","","","","","",
"12","1959-12-12","1350","M","5900","","","","","","","","","","","","",
"13","1959-12-12","1533","M","5900","","","","","","","","","","","","",
"14","1959-12-25","2176","M","5900","","","","","","","","","","","","",
"15","1959-12-25","3196","M","5900","","","","","","","","","","","","",
"16","1959-12-25","772","M","5900","","","","","","","","","","","","",
"17","1959-12-25","2520","M","5900","","","","","","","","","","","","",
"18","1959-12-25","2061","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"19","1959-12-25","1019","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"20","1959-12-29","1836","M","5900","","","","","","","","","","","","",
"21","1959-12-29","2480","M","5900","","","","","","","","","","","","",
"22","1960-01-08","487","M","5900","","","","","","","","","","","","",
"23","1960-01-08","1005","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"24","1960-01-08","1005","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"25","1960-01-10","3455","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"26","1960-01-10","2500","M","5900","","","","","","","","","","","","",
"27","1960-01-10","1139","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"28","1960-01-19","994","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"29","1960-01-30","983","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"30","1960-01-30","478","M","5900","","","","","","","","","","","","",
"31","1960-01-30","2456","M","5900","","","","","","","","","","","","",
"32","1960-01-30","1917","M","5900","","","","","","","","","","","","",
"33","1960-01-30","2840","M","5900","","","","","","","","","","","","",
"34","1960-01-30","3119","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"35","1959-12-29","34","U","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"36","1959-12-25","2","U","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"37","1960-01-10","0","U","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"38","1957-08-21","2011","F","7000","Stocks, Breeders, etc.","","","","","","","","","","","",
"39","1957-09-25","1444","F","7000","Stocks, Breeders, etc.","","","","","","","","","","","",
"40","1958-04-09","2919","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"41","1957-05-07","3202","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"42","1957-09-20","2686","F","7600","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"43","1957-12-09","1366","F","7000","Stocks, Breeders, etc.","","","","","","","","","","","",
"44","1958-12-08","951","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"45","1958-12-08","3838","F","7000","Stocks, Breeders, etc.","","","","","","","","","","","",
"46","1958-12-08","1408","F","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"47","1958-10-08","1734","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"48","1958-08-08","1529","F","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"49","1958-06-08","1720","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"50","1960-02-21","3417","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"51","1960-02-21","961","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"52","1960-02-21","417","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"53","1960-02-21","415","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"54","1960-03-10","3948","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"55","1960-03-10","4596","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"56","1960-03-10","943","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"57","1960-03-10","1434","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"58","1952-08-12","4378","M","7600","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"59","1957-03-25","2513","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"60","1957-03-25","2090","F","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"61","1957-03-31","4153","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"62","1957-03-31","4510","M","7600","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"63","1957-03-31","2086","F","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"64","1957-03-31","2820","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"65","1957-03-31","2088","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"66","1957-03-31","2853","M","7600","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"67","1957-03-25","1215","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"68","1952-08-15","4646","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"69","1958-03-08","1686","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"70","1952-09-15","3861","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"71","1958-03-08","1684","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"72","1958-03-08","1684","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"73","1958-03-08","4206","M","210","Stocks, Breeders, etc.","","","","","","","","","","","",
"74","1959-02-25","3680","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"75","1959-02-25","524","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"76","1959-02-25","3779","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"77","1952-10-03","4491","M","7600","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"78","1952-10-03","4933","M","7600","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"79","1959-02-25","1458","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"80","1957-03-31","2084","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
