"o","l"
-2,4.60096330105104e-31
-1.99,4.60048109532087e-31
-1.98,4.59995496964805e-31
-1.97,4.59938298334195e-31
-1.96,4.59876310676395e-31
-1.95,4.59809321689054e-31
-1.94,4.59737109262851e-31
-1.93,4.59659440987139e-31
-1.92,4.59576073629325e-31
-1.91,4.59486752586243e-31
-1.9,4.59391211303687e-31
-1.89,4.59289170670806e-31
-1.88,4.59180338371787e-31
-1.87,4.59064408212419e-31
-1.86,4.58941059401948e-31
-1.85,4.58809955802347e-31
-1.84,4.58670745133627e-31
-1.83,4.58523058136358e-31
-1.82,4.58366507690738e-31
-1.81,4.58200687886033e-31
-1.8,4.5802517304385e-31
-1.79,4.57839516685237e-31
-1.78,4.57643250446346e-31
-1.77,4.57435882935501e-31
-1.76,4.57216898531442e-31
-1.75,4.5698575611886e-31
-1.74,4.56741887760472e-31
-1.73,4.56484697299942e-31
-1.72,4.56213558897492e-31
-1.71,4.55927815492971e-31
-1.7,4.55626777194472e-31
-1.69,4.55309719592728e-31
-1.68,4.54975881996693e-31
-1.67,4.58743221661927e-31
-1.66,4.58397559426219e-31
-1.65,4.5803496613598e-31
-1.64,4.5765466157689e-31
-1.63,4.57255828227733e-31
-1.62,4.5683760960725e-31
-1.61,4.56399108587009e-31
-1.6,4.55939385679386e-31
-1.59,4.55457457309986e-31
-1.58,4.54952294087269e-31
-1.57,4.54422819083646e-31
-1.56,4.53867906147168e-31
-1.55,4.53286378265832e-31
-1.54,4.52677006010398e-31
-1.53,4.52038506089479e-31
-1.52,4.51369540052933e-31
-1.51,4.50668713189438e-31
-1.5,4.49934573672671e-31
-1.49,4.49165612016622e-31
-1.48,4.48360260916608e-31
-1.47,4.47516895559153e-31
-1.46,4.46633834505846e-31
-1.45,4.45709341262773e-31
-1.44,4.44741626678976e-31
-1.43,4.43728852324375e-31
-1.42,4.42669135035674e-31
-1.41,4.41560552835751e-31
-1.4,4.40401152467083e-31
-1.39,4.39188958817417e-31
-1.38,4.37921986544637e-31
-1.37,4.36598254258738e-31
-1.36,4.35215801659549e-31
-1.35,4.33772710074904e-31
-1.34,4.32267126901707e-31
-1.33,4.30697294497153e-31
-1.32,4.29061584127214e-31
-1.31,4.27358535625549e-31
-1.3,4.25586903466489e-31
-1.29,4.23745709991314e-31
-1.28,4.21834306556843e-31
-1.27,4.19852443374737e-31
-1.26,4.17800348800255e-31
-1.25,4.15678818762469e-31
-1.24,4.13489316933667e-31
-1.23,4.11234086070927e-31
-1.22,4.08916270727331e-31
-1.21,4.06540051210775e-31
-1.2,4.04110788241397e-31
-1.19,4.01635177218193e-31
-1.18,3.99121410335898e-31
-1.17,3.96579343993156e-31
-1.16,3.94020667996914e-31
-1.15,3.91459072015785e-31
-1.14,3.90922196192566e-31
-1.13,3.88473306093991e-31
-1.12,3.86189452018296e-31
-1.11,3.84075878997132e-31
-1.1,3.82936784904733e-31
-1.09,3.83196704121811e-31
-1.08,3.84017572254123e-31
-1.07,3.8840003187409e-31
-1.06,3.95713695311348e-31
-1.05,4.06215621330379e-31
-1.04,4.20245753856367e-31
-1.03,4.31002709852332e-31
-1.02,4.54504822256126e-31
-1.01,4.85528861426134e-31
-1,5.25650948625029e-31
-0.99,5.76940728619248e-31
-0.98,6.42105193847293e-31
-0.97,7.24675314641492e-31
-0.96,8.33291361598789e-31
-0.95,9.64502540768225e-31
-0.94,1.1290469183877e-30
-0.93,1.33557875708605e-30
-0.92,1.59490781957595e-30
-0.91,1.9203874776339e-30
-0.9,2.39420004570648e-30
-0.89,2.94145156631265e-30
-0.88,3.64571310719814e-30
-0.87,4.5527740956077e-30
-0.86,5.72064072660733e-30
-0.85,7.22176066357276e-30
-0.84,9.11607497139335e-30
-0.83,1.15614660752566e-29
-0.82,1.4660927000219e-29
-0.81,1.85553420225428e-29
-0.8,2.3395994001195e-29
-0.79,2.93352267932921e-29
-0.78,3.65125908100861e-29
-0.77,4.49805260237177e-29
-0.76,5.79109778029362e-29
-0.75,7.41529553984333e-29
-0.74,9.61590989387039e-29
-0.73,1.25950052354902e-28
-0.72,1.66147716492964e-28
-0.71,2.20067438497618e-28
-0.7,2.90306673737757e-28
-0.69,3.88244250523573e-28
-0.68,5.23965635880222e-28
-0.67,7.12439573671705e-28
-0.66,9.74379098779939e-28
-0.65,1.19465738665815e-27
-0.64,1.88326551984227e-27
-0.63,3.74630086514431e-27
-0.62,9.16244144750892e-27
-0.61,2.91924792843201e-26
-0.6,1.23859373179685e-25
-0.59,7.06718427948594e-25
-0.58,5.39609676797475e-24
-0.57,5.40257508796502e-23
-0.56,6.85375098676935e-22
-0.55,1.05320029822353e-20
-0.54,1.86186519496553e-19
-0.53,3.58829830129223e-18
-0.52,7.15658157577325e-17
-0.51,1.40854814256431e-15
-0.5,2.64213263870976e-14
-0.49,4.44647893325987e-13
-0.48,6.59283776969737e-12
-0.47,8.4607796548007e-11
-0.46,9.29238067901334e-10
