"o","l"
-2,2.71504060504049e-08
-1.99,2.71504060504049e-08
-1.98,2.71504060504049e-08
-1.97,2.71504060504049e-08
-1.96,2.71504060504049e-08
-1.95,2.71504060504049e-08
-1.94,2.71504060504049e-08
-1.93,2.71504060504049e-08
-1.92,2.71504060504049e-08
-1.91,2.71504060504049e-08
-1.9,2.71504060504049e-08
-1.89,2.71504060504049e-08
-1.88,2.71504060504049e-08
-1.87,2.71504060504049e-08
-1.86,2.71504060504049e-08
-1.85,2.71504060504049e-08
-1.84,2.71504060504049e-08
-1.83,2.71504060504049e-08
-1.82,2.71504060504049e-08
-1.81,2.71504060504049e-08
-1.8,2.71504060504049e-08
-1.79,2.71504060504049e-08
-1.78,2.71504060504049e-08
-1.77,2.71504060504049e-08
-1.76,2.71504060504049e-08
-1.75,2.71504060504049e-08
-1.74,2.71504060504049e-08
-1.73,2.71504060504049e-08
-1.72,2.71504060504049e-08
-1.71,2.71504060504049e-08
-1.7,2.71504060504049e-08
-1.69,2.71504060504049e-08
-1.68,2.71504060504049e-08
-1.67,2.71504060504049e-08
-1.66,2.71504060504049e-08
-1.65,2.71504060504049e-08
-1.64,2.71504060504049e-08
-1.63,2.71504060504049e-08
-1.62,2.71504060504049e-08
-1.61,2.71504060504049e-08
-1.6,2.71504060504049e-08
-1.59,2.71504060504049e-08
-1.58,2.71504060504049e-08
-1.57,2.71504060504049e-08
-1.56,2.71504060504049e-08
-1.55,2.71504060504049e-08
-1.54,2.71504060504049e-08
-1.53,2.71504060504049e-08
-1.52,2.71504060504049e-08
-1.51,2.71504060504049e-08
-1.5,2.71504060504049e-08
-1.49,2.71504060504049e-08
-1.48,2.71504060504049e-08
-1.47,2.71504060504049e-08
-1.46,2.71504060504049e-08
-1.45,2.71504060504049e-08
-1.44,2.71504060504049e-08
-1.43,2.71504060504049e-08
-1.42,2.71504060504049e-08
-1.41,2.71504060504049e-08
-1.4,2.71504060504049e-08
-1.39,2.71504060504049e-08
-1.38,2.71504060504049e-08
-1.37,2.71504060504049e-08
-1.36,2.71504060504049e-08
-1.35,2.71504060504049e-08
-1.34,2.71504060504049e-08
-1.33,2.71504060504049e-08
-1.32,2.71504060504049e-08
-1.31,2.71504060504049e-08
-1.3,2.71504060504049e-08
-1.29,2.71504060504049e-08
-1.28,2.71504060504049e-08
-1.27,2.71504060504049e-08
-1.26,2.71504060504049e-08
-1.25,2.71504060504049e-08
-1.24,2.71504060504049e-08
-1.23,2.71504060504049e-08
-1.22,2.71504060504049e-08
-1.21,2.71504060504049e-08
-1.2,2.71504060504049e-08
-1.19,2.71504060504049e-08
-1.18,2.71504060504049e-08
-1.17,2.71504060504049e-08
-1.16,2.71504060504049e-08
-1.15,2.71504060504049e-08
-1.14,2.71504060504049e-08
-1.13,2.71504060504049e-08
-1.12,2.71504060504049e-08
-1.11,2.93203770983204e-08
-1.1,2.93276215288472e-08
-1.09,2.93533083008161e-08
-1.08,2.93975983243492e-08
-1.07,2.94606618087997e-08
-1.06,2.95426783813735e-08
-1.05,2.96438371601308e-08
-1.04,2.97643367791014e-08
-1.03,3.02554403811165e-08
-1.02,3.04280404687563e-08
-1.01,3.15672742202063e-08
-1,3.18393466863358e-08
-0.99,3.21858414455207e-08
-0.98,3.2610998643013e-08
-0.97,3.31196420000069e-08
-0.96,3.3717240354688e-08
-0.95,3.44099765915661e-08
-0.94,3.52048247746603e-08
-0.93,3.61096363716214e-08
-0.92,3.71332365293371e-08
-0.91,3.82855314351469e-08
-0.9,3.95776278704607e-08
-0.89,4.102196613298e-08
-0.88,4.26324675674802e-08
-0.87,4.44246980002157e-08
-0.86,4.64160484149279e-08
-0.85,4.86259342354401e-08
-0.84,5.10760145855173e-08
-0.83,5.37904328770192e-08
-0.82,5.67960800257654e-08
-0.81,6.01228815058903e-08
-0.8,6.38041093208921e-08
-0.79,6.7876719787555e-08
-0.78,7.23817177910219e-08
-0.77,7.73645478703478e-08
-0.76,8.28755121288159e-08
-0.75,8.89702145296973e-08
-0.74,9.57100306326812e-08
-0.73,1.03162601250428e-07
-0.72,1.11402347860965e-07
-0.71,1.20511006904005e-07
-0.7,1.30578179328518e-07
-0.69,1.4170189095408e-07
-0.68,1.53989158375766e-07
-0.67,1.67556554301121e-07
-0.66,1.82530765375445e-07
-0.65,1.99049134756786e-07
-0.64,2.17260180962035e-07
-0.63,2.37324083862701e-07
-0.62,2.59413128166982e-07
-0.61,2.83712094332222e-07
-0.6,3.10418586623987e-07
-0.59,3.39743287985271e-07
-0.58,3.71910131546385e-07
-0.57,4.07156378973912e-07
-0.56,4.4573259645613e-07
-0.55,4.87902519946062e-07
-0.54,5.33942802318452e-07
-0.53,5.84142636338258e-07
-0.52,6.38803248774568e-07
-0.51,6.982372625889e-07
-0.5,7.62767925824285e-07
-0.49,8.32728207686095e-07
-0.48,9.08459764137756e-07
-0.47,9.9031177727062e-07
-0.46,1.07863967454902e-06
-0.45,1.17380373589802e-06
-0.44,1.27616759826066e-06
-0.43,1.38609666887397e-06
-0.42,1.5039564599352e-06
-0.41,1.63011085848469e-06
-0.4,1.7649203464636e-06
-0.39,1.90874018652377e-06
-0.38,2.06191858984481e-06
-0.37,2.22479488233866e-06
-0.36,2.38572876564391e-06
-0.35,2.57429139109077e-06
-0.34,2.77856135646922e-06
-0.33,2.99981223150401e-06
-0.32,3.23941551196293e-06
-0.31,3.49884731052372e-06
-0.3,3.77969540576069e-06
-0.29,4.08366665722266e-06
-0.28,4.41259479481331e-06
-0.27,4.76844858873783e-06
-0.26,5.15334040572158e-06
-0.25,5.56953515592877e-06
-0.24,6.01945963318714e-06
-0.23,6.50571225061528e-06
-0.22,7.03107317080719e-06
-0.21,7.59851482918841e-06
-0.2,8.21121284673481e-06
-0.19,8.87255732605933e-06
-0.18,9.58616452352211e-06
-0.17,1.03558888869215e-05
-0.16,1.11858354468398e-05
-0.15,1.2080372546803e-05
-0.14,1.30441448953096e-05
-0.13,1.40820869197428e-05
-0.12,1.51994364012194e-05
-0.11,1.64017483636435e-05
-0.0999999999999999,1.76949091916647e-05
-0.0899999999999999,1.90851509468159e-05
-0.0800000000000001,2.05790658489129e-05
-0.0700000000000001,2.2183620888474e-05
-0.0600000000000001,2.39061725326303e-05
-0.05,2.57544814841053e-05
-0.04,2.77367274519368e-05
-0.03,2.98615238884776e-05
-0.02,3.21379326478317e-05
-0.01,3.45754785161377e-05
0,3.71841635642394e-05
0.0100000000000002,3.99744812715808e-05
0.02,4.29574303675424e-05
0.0300000000000002,4.61445283372747e-05
0.04,4.95478245372913e-05
0.0499999999999998,5.31799128648384e-05
0.0600000000000001,5.70539439247672e-05
0.0699999999999998,6.1183636639148e-05
0.0800000000000001,6.55832892459787e-05
0.0899999999999999,7.02677896250615e-05
0.1,7.52526249063154e-05
0.11,8.05538902962785e-05
0.12,8.61882970840942e-05
0.13,9.21731797604187e-05
0.14,9.85265022160359e-05
0.15,0.000105266862963202
0.16,0.000112413499342742
0.17,0.000119986290669429
0.18,0.000128005760282431
0.19,0.000136493076459481
0.2,0.000145470052176039
0.21,0.000154959143657773
0.22,0.000164983447728794
0.23,0.000175566697912353
0.24,0.000186733259278075
0.25,0.000198508122021513
0.26,0.000210916893769051
0.27,0.000223985790589487
0.28,0.000237741626738062
0.29,0.00025221180310777
0.3,0.00026742429441846
0.31,0.000283407635144547
0.32,0.000300190904199003
0.33,0.00031780370839679
0.34,0.000336276164720917
0.35,0.000355638881418096
0.36,0.000375922937959053
0.37,0.000397159863896074
0.38,0.000419381616661162
0.39,0.000442620558338248
0.4,0.000466909431462387
