"o","l","source","analysis"
-2,0.000103599311887231,"mean","original"
-1.99,0.000101216904424889,"mean","original"
-1.98,9.88685817137075e-05,"mean","original"
-1.97,9.65542951536732e-05,"mean","original"
-1.96,9.42739901864731e-05,"mean","original"
-1.95,9.20276062337124e-05,"mean","original"
-1.94,8.98150766371635e-05,"mean","original"
-1.93,8.76363286011264e-05,"mean","original"
-1.92,8.54912831370665e-05,"mean","original"
-1.91,8.33798550106328e-05,"mean","original"
-1.9,8.13019526911956e-05,"mean","original"
-1.89,7.92574783040269e-05,"mean","original"
-1.88,7.72463275852556e-05,"mean","original"
-1.87,7.52683898397681e-05,"mean","original"
-1.86,7.332354790214e-05,"mean","original"
-1.85,7.14116781007758e-05,"mean","original"
-1.84,6.95326502254035e-05,"mean","original"
-1.83,6.76863274980314e-05,"mean","original"
-1.82,6.58725665475725e-05,"mean","original"
-1.81,6.40912173882119e-05,"mean","original"
-1.8,6.23421234017406e-05,"mean","original"
-1.79,6.06251213239465e-05,"mean","original"
-1.78,5.89400412352481e-05,"mean","original"
-1.77,5.72867065557032e-05,"mean","original"
-1.76,5.56649340445582e-05,"mean","original"
-1.75,5.40745338044755e-05,"mean","original"
-1.74,5.25153092905976e-05,"mean","original"
-1.73,5.09870573245942e-05,"mean","original"
-1.72,4.9489568113848e-05,"mean","original"
-1.71,4.80226252759011e-05,"mean","original"
-1.7,4.65860058683446e-05,"mean","original"
-1.69,4.51794804242588e-05,"mean","original"
-1.68,4.38028129933623e-05,"mean","original"
-1.67,4.24557611889955e-05,"mean","original"
-1.66,4.11380762410796e-05,"mean","original"
-1.65,3.98495030551627e-05,"mean","original"
-1.64,3.85897802776916e-05,"mean","original"
-1.63,3.73586403676151e-05,"mean","original"
-1.62,3.6155809674428e-05,"mean","original"
-1.61,3.49810085227637e-05,"mean","original"
-1.6,3.38339513036291e-05,"mean","original"
-1.59,3.27143465723705e-05,"mean","original"
-1.58,3.16218971534415e-05,"mean","original"
-1.57,3.05563002520559e-05,"mean","original"
-1.56,2.95172475727734e-05,"mean","original"
-1.55,2.85044254450702e-05,"mean","original"
-1.54,2.75175149559379e-05,"mean","original"
-1.53,2.65561920895218e-05,"mean","original"
