"o","l","source","analysis"
-2,1.29905505459371e-05,"LSS likelihood","original"
-1.99,1.26507052835886e-05,"LSS likelihood","original"
-1.98,1.23181196027342e-05,"LSS likelihood","original"
-1.97,1.19927305373122e-05,"LSS likelihood","original"
-1.96,1.16744738822064e-05,"LSS likelihood","original"
-1.95,1.1363284226093e-05,"LSS likelihood","original"
-1.94,1.10590949864324e-05,"LSS likelihood","original"
-1.93,1.07618384466636e-05,"LSS likelihood","original"
-1.92,1.04714457956596e-05,"LSS likelihood","original"
-1.91,1.01878471695026e-05,"LSS likelihood","original"
-1.9,9.9109716956417e-06,"LSS likelihood","original"
-1.89,9.6407475394977e-06,"LSS likelihood","original"
-1.88,9.37710195358171e-06,"LSS likelihood","original"
-1.87,9.11996132919739e-06,"LSS likelihood","original"
-1.86,8.86925125080134e-06,"LSS likelihood","original"
-1.85,8.62489655309892e-06,"LSS likelihood","original"
-1.84,8.38682138095864e-06,"LSS likelihood","original"
-1.83,8.15494925223352e-06,"LSS likelihood","original"
-1.82,7.92920312358336e-06,"LSS likelihood","original"
-1.81,7.70950545940099e-06,"LSS likelihood","original"
-1.8,7.49577830395135e-06,"LSS likelihood","original"
-1.79,7.28794335684505e-06,"LSS likelihood","original"
-1.78,7.08592205197527e-06,"LSS likelihood","original"
-1.77,6.88963564006322e-06,"LSS likelihood","original"
-1.76,6.69900527496781e-06,"LSS likelihood","original"
-1.75,6.51395210393514e-06,"LSS likelihood","original"
-1.74,6.33439736197839e-06,"LSS likelihood","original"
-1.73,6.1602624706024e-06,"LSS likelihood","original"
-1.72,5.99146914110916e-06,"LSS likelihood","original"
-1.71,5.82793948274883e-06,"LSS likelihood","original"
-1.7,5.66959611601035e-06,"LSS likelihood","original"
-1.69,5.51636229138101e-06,"LSS likelihood","original"
-1.68,5.36816201394391e-06,"LSS likelihood","original"
-1.67,5.22492017422573e-06,"LSS likelihood","original"
-1.66,5.08656268575852e-06,"LSS likelihood","original"
-1.65,4.95301662987562e-06,"LSS likelihood","original"
-1.64,4.82421040832585e-06,"LSS likelihood","original"
-1.63,4.70007390436348e-06,"LSS likelihood","original"
-1.62,4.58053865305314e-06,"LSS likelihood","original"
-1.61,4.46553802162147e-06,"LSS likelihood","original"
-1.6,4.35500740079332e-06,"LSS likelihood","original"
-1.59,4.24888440816726e-06,"LSS likelihood","original"
-1.58,4.14710910482126e-06,"LSS likelihood","original"
-1.57,4.04962422648901e-06,"LSS likelihood","original"
-1.56,3.95637543082094e-06,"LSS likelihood","original"
-1.55,3.86731156243643e-06,"LSS likelihood","original"
-1.54,3.78238493769451e-06,"LSS likelihood","original"
-1.53,3.70155165135907e-06,"LSS likelihood","original"
-1.52,3.62477190761616e-06,"LSS likelihood","original"
-1.51,3.55201037822119e-06,"LSS likelihood","original"
-1.5,3.48323659091637e-06,"LSS likelihood","original"
-1.49,3.4184253516702e-06,"LSS likelihood","original"
-1.48,3.35755720475842e-06,"LSS likelihood","original"
-1.47,3.3006189352374e-06,"LSS likelihood","original"
-1.46,3.24760411896506e-06,"LSS likelihood","original"
-1.45,3.19851372601222e-06,"LSS likelihood","original"
-1.44,3.15335678409121e-06,"LSS likelihood","original"
-1.43,3.11215110952101e-06,"LSS likelihood","original"
-1.42,3.07492411426771e-06,"LSS likelihood","original"
-1.41,3.04171369876187e-06,"LSS likelihood","original"
-1.4,3.01256924152356e-06,"LSS likelihood","original"
-1.39,2.98755269814588e-06,"LSS likelihood","original"
-1.38,2.96673982392681e-06,"LSS likelihood","original"
-1.37,2.95022153643165e-06,"LSS likelihood","original"
-1.36,2.93810543655163e-06,"LSS likelihood","original"
-1.35,2.93051750924392e-06,"LSS likelihood","original"
-1.34,2.92760402814498e-06,"LSS likelihood","original"
-1.33,2.92953369170494e-06,"LSS likelihood","original"
-1.32,2.93650002246224e-06,"LSS likelihood","original"
-1.31,2.94872406564822e-06,"LSS likelihood","original"
-1.3,2.96645742857436e-06,"LSS likelihood","original"
-1.29,2.9899857083166e-06,"LSS likelihood","original"
-1.28,3.01963236220236e-06,"LSS likelihood","original"
-1.27,3.05576308366949e-06,"LSS likelihood","original"
-1.26,3.09879075537517e-06,"LSS likelihood","original"
-1.25,3.14918106218471e-06,"LSS likelihood","original"
-1.24,3.207458859095e-06,"LSS likelihood","original"
-1.23,3.2742154035141e-06,"LSS likelihood","original"
