"table","n","dose","rate","strain","sex","age","sd","fractions","chronic","type","modeled_in_10B4","in_my_analysis","cluster"
1,4014,0,0.45,"RFM","F",635.2,2.88,1,FALSE,"A",TRUE,TRUE,"F"
1,2827,0.1,0.45,"RFM","F",631.8,3.11,1,FALSE,"A",TRUE,TRUE,"F"
1,965,0.25,0.45,"RFM","F",610.6,5.29,1,FALSE,"A",TRUE,TRUE,"F"
1,1143,0.5,0.45,"RFM","F",551.3,5.21,1,FALSE,"A",TRUE,TRUE,"F"
1,246,0.75,0.45,"RFM","F",535.2,11.19,1,FALSE,"A",TRUE,TRUE,"F"
1,1100,1,0.45,"RFM","F",536.6,5.34,1,FALSE,"A",TRUE,TRUE,"F"
1,1043,1.5,0.45,"RFM","F",485.4,5.77,1,FALSE,"A",TRUE,TRUE,"F"
1,333,2,0.45,"RFM","F",472.7,9.58,1,FALSE,"A",FALSE,TRUE,"F"
1,4133,3,0.45,"RFM","F",417.1,2.67,1,FALSE,"A",FALSE,TRUE,"F"
1,396,4,0.45,"RFM","F",393.2,7.28,1,FALSE,"A",FALSE,TRUE,"F"
1,430,0,0.45,"RFM","M",712.6,7.65,1,FALSE,"A",TRUE,TRUE,"M"
1,256,0.1,0.45,"RFM","M",721.5,10.79,1,FALSE,"A",TRUE,TRUE,"M"
1,94,0.25,0.45,"RFM","M",710.7,17.97,1,FALSE,"A",TRUE,TRUE,"M"
1,247,0.5,0.45,"RFM","M",679.8,11.38,1,FALSE,"A",TRUE,TRUE,"M"
1,230,1,0.45,"RFM","M",672.6,11.95,1,FALSE,"A",TRUE,TRUE,"M"
1,204,1.5,0.45,"RFM","M",642.1,13.99,1,FALSE,"A",TRUE,TRUE,"M"
1,571,3,0.45,"RFM","M",572.6,7.89,1,FALSE,"A",FALSE,TRUE,"M"
2,749,0,0.4,"RFM","F",641.4,5.96,1,FALSE,"A",TRUE,TRUE,"F"
2,775,0.5,0.4,"RFM","F",573.9,5.97,1,FALSE,"A",TRUE,TRUE,"F"
2,766,2,0.4,"RFM","F",480.5,6.45,1,FALSE,"A",FALSE,TRUE,"F"
2,1468,0.5,6.9e-05,"RFM","F",614.7,4.15,Inf,TRUE,"C",TRUE,FALSE,"F"
2,1531,1,6.9e-05,"RFM","F",598.7,4.36,Inf,TRUE,"C",TRUE,FALSE,"F"
2,1526,2,6.9e-05,"RFM","F",564.1,4.29,Inf,TRUE,"C",FALSE,FALSE,"F"
2,866,4,6.9e-05,"RFM","F",499.4,5.86,Inf,TRUE,"C",FALSE,FALSE,"F"
2,865,0,0.4,"BALB/c","F",759.8,6.22,1,FALSE,"A",FALSE,TRUE,"F"
2,860,0.5,0.4,"BALB/c","F",709,6.16,1,FALSE,"A",FALSE,TRUE,"F"
2,865,2,0.4,"BALB/c","F",649.9,5.58,1,FALSE,"A",FALSE,TRUE,"F"
2,1293,0.5,6.9e-05,"BALB/c","F",753.2,4.84,Inf,TRUE,"C",FALSE,FALSE,"F"
2,1323,1,6.9e-05,"BALB/c","F",731.8,4.52,Inf,TRUE,"C",FALSE,FALSE,"F"
2,1372,2,6.9e-05,"BALB/c","F",703.2,4.48,Inf,TRUE,"C",FALSE,FALSE,"F"
2,1013,4,6.9e-05,"BALB/c","F",673.3,4.97,Inf,TRUE,"C",FALSE,FALSE,"F"
