"","o","l"
"1",-2,0.0482932972673732
"2",-1.95,0.0472766737167468
"3",-1.9,0.0462166101565134
"4",-1.85,0.0451106151869115
"5",-1.8,0.0439560574312911
"6",-1.75,0.0427501676990721
"7",-1.7,0.0414900457134001
"8",-1.65,0.0401726732531221
"9",-1.6,0.038794936216721
"10",-1.55,0.0373536590052662
"11",-1.5,0.0358456558232678
"12",-1.45,0.0342678051187978
"13",-1.4,0.0326171555688555
"14",-1.35,0.0308910749437931
"15",-1.3,0.0290874570768483
"16",-1.25,0.0272050072696189
"17",-1.2,0.0252436330101495
"18",-1.15,0.0232049749552658
"19",-1.1,0.0210931224009075
"20",-1.05,0.0189155665777092
"21",-1,0.0166844504296066
"22",-0.95,0.0144181666397579
"23",-0.9,0.0121433185531875
"24",-0.85,0.00989695514417142
"25",-0.8,0.00772875360935624
"26",-0.75,0.00570233831480731
"27",-0.7,0.00389404543290033
"28",-0.65,0.00238612258917162
"29",-0.6,0.00125018021820214
"30",-0.55,0.000518295497868478
"31",-0.5,0.000149736776291625
"32",-0.45,2.4618456963687e-05
"33",-0.4,1.79859738528645e-06
"34",-0.35,7.48591441468579e-08
"35",-0.3,3.55202757656054e-08
"36",-0.25,4.73379026943157e-06
"37",-0.2,0.00121059121610798
"38",-0.15,0.0304265340341674
"39",-0.1,0.139706980598188
"40",-0.05,0.273644557387023
"41",0,0.361288210887182
"42",0.05,0.397271415536005
"43",0.1,0.400803902354839
"44",0.15,0.38831267028723
"45",0.2,0.369379020154456
"46",0.25,0.348835706151994
"47",0.3,0.328903140701356
"48",0.35,0.310485936894642
"49",0.4,0.293857752036346
"50",0.45,0.279004441028066
"51",0.5,0.265791622251932
"52",0.55,0.254044702720124
"53",0.6,0.243585774848108
"54",0.65,0.234249437889358
"55",0.7,0.225888460396427
"56",0.75,0.218374686947915
"57",0.8,0.211597856016594
"58",0.85,0.205463631042808
"59",0.9,0.199891463806523
"60",0.95,0.194812567925423
"61",1,0.190168111489121
"62",1.05,0.185907656387959
"63",1.1,0.181987834637011
"64",1.15,0.178371236874028
"65",1.2,0.175025483911804
"66",1.25,0.171922452963705
"67",1.3,0.169037633002838
"68",1.35,0.166349587210207
"69",1.4,0.163839503927497
"70",1.45,0.161490820664745
"71",1.5,0.159288908421859
"72",1.55,0.15722080586471
"73",1.6,0.155274994786784
"74",1.65,0.153441209840303
"75",1.7,0.151710276787847
"76",1.75,0.150073974557824
"77",1.8,0.14852491722625
"78",1.85,0.147056452729845
"79",1.9,0.145662575671062
"80",1.95,0.144337852028744
"81",2,0.143077353957968
"82",2.05,0.141876603165855
"83",2.1,0.14073152159871
"84",2.15,0.139638388380593
"85",2.2,0.138593802112379
"86",2.25,0.137594647780195
"87",2.3,0.136638067638163
"88",2.35,0.135721435527045
"89",2.4,0.134842334170884
"90",2.45,0.133998535061401
"91",2.5,0.133187980596465
"92",2.55,0.132408768186642
"93",2.6,0.131659136084209
"94",2.65,0.130937450722839
"95",2.7,0.130242195385369
"96",2.75,0.129571960041366
"97",2.8,0.128925432217386
"98",2.85,0.128301388780532
"99",2.9,0.127698688531499
"100",2.95,0.127116265516286
"101",3,0.126553122977192
"102",3.05,0.126008327873458
"103",3.1,0.125481005910499
"104",3.15,0.124970337023791
"105",3.2,0.124475551270053
"106",3.25,0.123995925083747
"107",3.3,0.123530777861891
"108",3.35,0.123079468844172
"109",3.4,0.122641394259355
"110",3.45,0.122215984711792
"111",3.5,0.1218027027852
"112",3.55,0.121401040842759
"113",3.6,0.121010519005375
"114",3.65,0.120630683291418
"115",3.7,0.12026110390329
"116",3.75,0.119901373647461
"117",3.8,0.119551106476135
"118",3.85,0.119209936139756
"119",3.9,0.118877514940728
"120",3.95,0.118553512579658
"121",4,0.11823761508619
"122",4.05,0.11792952382735
"123",4.1,0.117628954586942
"124",4.15,0.117335636710178
"125",4.2,0.117049312308207
"126",4.25,0.116769735517708
"127",4.3,0.116496671811236
"128",4.35,0.116229897354294
"129",4.4,0.115969198405423
"130",4.45,0.11571437075615
"131",4.5,0.115465219207604
"132",4.55,0.115221557081124
"133",4.6,0.114983205760309
"134",4.65,0.11474999426217
"135",4.7,0.114521758835236
"136",4.75,0.114298342582769
"137",4.8,0.114079595109106
"138",4.85,0.113865372187685
"139",4.9,0.11365553544908
"140",4.95,0.113449952087742
"141",5,0.113248494586107
"142",5.05,0.113051040454916
"143",5.1,0.112857471988636
"144",5.15,0.112667676034968
"145",5.2,0.112481543777522
"146",5.25,0.112298970530761
"147",5.3,0.112119855546496
"148",5.35,0.111944101831017
"149",5.4,0.111771615972428
"150",5.45,0.111602307977257
"151",5.5,0.111436091116036
"152",5.55,0.11127288177704
"153",5.6,0.111112599327875
"154",5.65,0.110955165984304
"155",5.7,0.110800506685984
"156",5.75,0.110648548978552
"157",5.8,0.110499222901856
"158",5.85,0.110352460883805
"159",5.9,0.110208197639618
"160",5.95,0.110066370076116
"161",6,0.109926917200736
