"","experiment","group","n","males","females","age_days","relative_age","first_exposure_age_days","quality","cgy_total","cgy_per_min","fractions","until_death"
"1","12","J0",120,120,0,1020,0,116,"C",0,0,0,FALSE
"121","12","J1",120,120,0,784,-236,116,"N",226,11.3,1,FALSE
"241","12","J2",120,120,0,736,-284,116,"N",226,5.65,2,FALSE
"361","12","J4",120,120,0,664,-356,116,"N",226,2.83,4,FALSE
"481","12","J6",120,120,0,717,-303,116,"N",226,1.88,6,FALSE
"601","13","0X",1176,592,584,990,0,114,"C",0,0,0,FALSE
"1777","13","1X",2326,1160,1166,977,-12,111,"G",52,0.04,60,FALSE
"2009","13","1X",2326,1160,1166,977,-12,111,"N",52,0.04,60,FALSE
"4103","13","2X",870,449,421,951,-38,111,"G",85,0.07,60,FALSE
"4191","13","2X",870,449,421,951,-38,111,"N",85,0.07,60,FALSE
"4973","13","3X",641,325,316,931,-58,110,"N",86,0.07,60,FALSE
"5080","13","3X",641,325,316,931,-58,110,"G",86,0.07,60,FALSE
"5614","13","4X",659,340,319,906,-84,110,"N",126,0.1,60,FALSE
"5758","13","4X",659,340,319,906,-84,110,"G",126,0.1,60,FALSE
"6273","13","5X",468,239,229,877,-113,111,"N",236,0.2,60,FALSE
"6323","13","5X",468,239,229,877,-113,111,"G",236,0.2,60,FALSE
"6741","13","6X",177,98,79,863,-127,110,"N",40,0.03,60,FALSE
"6918","2","AC",304,159,145,957,8,109,"C",0,0,0,FALSE
"7222","2","AI",500,299,201,711,-239,110,"G",512,0.47,72,FALSE
"7256","2","AI",500,299,201,711,-239,110,"N",512,0.47,72,FALSE
"7722","2","BI",535,290,245,700,-250,111,"G",537,0.5,24,FALSE
"7764","2","BI",535,290,245,700,-250,111,"N",537,0.5,24,FALSE
"8257","2","DC",356,158,198,946,-3,111,"C",0,0,0,FALSE
"8613","2","DI",664,297,367,747,-201,113,"G",594,0.55,24,FALSE
"8621","2","DI",664,297,367,747,-201,113,"N",594,0.55,24,FALSE
"9277","2","EC",363,169,194,957,8,111,"C",0,0,0,FALSE
"9640","2","EI",549,300,249,708,-241,110,"G",520,0.06,24,FALSE
"9642","2","EI",549,300,249,708,-241,110,"N",520,0.06,24,FALSE
"10189","2","HC",277,157,120,916,-34,111,"C",0,0,0,FALSE
"10466","2","HI",562,301,261,700,-249,109,"G",519,0.48,6,FALSE
"10469","2","HI",562,301,261,700,-249,109,"N",519,0.48,6,FALSE
"11028","2","S0",400,200,200,960,11,113,"C",0,0,0,FALSE
"11428","2","S1",1546,769,777,899,-50,113,"G",53,2.65,1,FALSE
"11547","2","S1",1546,769,777,899,-50,113,"N",53,2.65,1,FALSE
"12974","2","S2",761,363,398,815,-134,113,"G",167,8.34,1,FALSE
"13046","2","S2",761,363,398,815,-134,113,"N",167,8.34,1,FALSE
"13735","2","S3",752,353,399,629,-319,113,"G",505,25.25,1,FALSE
"13814","2","S3",752,353,399,629,-319,113,"N",505,25.25,1,FALSE
"14487","2","Y2",599,400,199,890,-62,198,"G",166,8.3,1,FALSE
"14552","2","Y2",599,400,199,890,-62,198,"N",166,8.3,1,FALSE
"15086","2","Y3",598,399,199,744,-208,196,"G",492,24.59,1,FALSE
"15164","2","Y3",598,399,199,744,-208,196,"N",492,24.59,1,FALSE
