"","hit","worker","seconds","image","age","born","died","findings","group","study","comments"
"1","306996CF6WKVOGENFNLV8QCF35A1BP","ABM77ZQWCHPNX",981,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F23pdf.png",5270,"9/20/1962","2/23/1977","metastatic mammary carcinoma","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"2","306996CF6WKVOGENFNLV8QCF35A1BP","A18TCR555RWUZV",1035,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F23pdf.png",5270,"9/20/1962","2/23/1977","metastatic mammary carcinoma","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"3","306996CF6WKVOGENFNLV8QCF35A1BP","A2BKLF1MNZ3L4X",2034,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F23pdf.png",5270,"9/20/1962","2/23/1977","metastatic mammary carcinoma","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"4","3ZRKL6Z1E83R9HLS8SST52QL9HDSGD","ABM77ZQWCHPNX",123,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F24pdf.png",3450,"9/20/1962","3/1/1972","nasal carcinoma; obs: neoplasm was adjacent to bone","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"5","3ZRKL6Z1E83R9HLS8SST52QL9HDSGD","A18TCR555RWUZV",386,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F24pdf.png",3450,"9/20/1962","3/1/1972","nasal carcinoma; obs; neoplasm was adjacent to bone","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"6","3ZRKL6Z1E83R9HLS8SST52QL9HDSGD","A1ET2J1PIP0RGO",2002,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F24pdf.png",3450,"9/20/1962","3/1/1972","nasal carcinoma; obs; neoplasm was adjacent to bone","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"7","37SOB9Z0SSX3BSEET4O8AMNHDJ1L3N","A2653BIPJKEMRK",445,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F25pdf.png",0,"9/26/1962","9/20/1962","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","No findings listed on this label."
"8","37SOB9Z0SSX3BSEET4O8AMNHDJ1L3N","AR20RBERHIPN8",45,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F25pdf.png",0,"9/20/1962","9/20/1962","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"9","37SOB9Z0SSX3BSEET4O8AMNHDJ1L3N","AG0X3PQK2FWQJ",2149,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F25pdf.png",0,"9/20/1962","9/20/1962","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","NO FINDINGS"
"10","3GL25Y6843UZX83DD5WBHFRAKIRXMY","A32QBXDPHHSTOD",52,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F28pdf.png",5714,"11/12/1962","7/5/1978","chronic glomerulonephritis","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
