"","study","group","age","born","died","findings","autopsy"
"1","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5270","9/20/1962","2/23/1977","metastatic mammary carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05F23.pdf"
"2","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","3450","9/20/1962","3/1/1972","nasal carcinoma; obs; neoplasm was adjacent to bone","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05F24.pdf"
"3","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","0","9/20/1962","9/20/1962","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05F25.pdf"
"4","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5714","11/12/1962","7/5/1978","chronic glomerulonephritis","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05F28.pdf"
"5","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5430","3/12/1964","1/23/1979","sacrificed (bcg)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05F36.pdf"
"6","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","6383","3/12/1964","9/2/1981","chronic progressive polyarthritis","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05F37.pdf"
"7","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","1386","3/12/1964","12/28/1967","removed 12/27/67: positive d. immitis test, removed from study","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05F38.pdf"
"8","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4","3/12/1964","3/16/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05F39.pdf"
"9","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5433","3/12/1964","1/26/1979","metastatic mammary carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05F40.pdf"
"10","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","2","3/31/1964","4/2/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05F41.pdf"
"11","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","3485","3/31/1964","10/15/1973","lymphosarcoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05F42.pdf"
"12","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4029","4/26/1964","5/8/1975","idiopathic epilepsy","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05F46.pdf"
"13","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5514","4/26/1964","6/1/1979","congestive heart failure","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05F47.pdf"
"14","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4894","4/26/1964","9/19/1977","congestive heart failure (ruptured chordae, tendinae)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05F48%20%231.pdf"
"15","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4401","9/20/1962","10/8/1974","lymphocarcoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05M26.pdf"
"16","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","2416","9/20/1962","5/2/1969","granulomatous encephalitis (idiopathic)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05M27.pdf"
"17","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","44","11/12/1962","12/26/1962","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05M29.pdf"
"18","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","44","11/12/1962","12/26/1962","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05M30.pdf"
"19","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","1876","11/12/1962","1/1/1968","clostridial septicemia","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05M31.pdf"
"20","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","44","11/12/1962","12/26/1962","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05M32.pdf"
"21","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","0","10/23/1963","10/23/1963","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05M33.pdf"
"22","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","0","10/23/1963","10/23/1963","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05M34.pdf"
"23","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","41","10/23/1963","12/3/1963","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05M35.pdf"
"24","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5013","3/31/1964","12/21/1977","cholethiasis (bile duct obstruction)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05M43.pdf"
"25","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","6036","3/31/1964","10/9/1980","metastatic pheochromocytoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05M44.pdf"
"26","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","0","3/31/1964","3/31/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05M45.pdf"
"27","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","3981","4/26/1964","3/21/1975","pituitary carcinoma; obs: neoplasm was adjacent to bone","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000264/D05M49%20%231.pdf"
"28","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","1","6/4/1964","6/5/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05F51%20%231.pdf"
"29","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","3","6/4/1964","6/7/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05F52%20%231.pdf"
"30","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","6258","6/4/1964","7/23/1981","metastatic mammary carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05F53%20%231.pdf"
"31","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","3698","6/4/1964","7/20/1974","splenic hemangiosarcoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05F54%20%231.pdf"
"32","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","2","6/4/1964","6/6/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05F55%20%231.pdf"
"33","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4702","7/2/1964","5/17/1977","chronic pyelonephritis","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05F60%20%231.pdf"
"34","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5625","7/2/1964","11/26/1979","central nervous system disease undetermined origin","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05f61%20%231.pdf"
"35","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4899","7/31/1964","12/29/1977","metastatic mammary carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05F65%20%231.pdf"
"36","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4868","9/28/1965","1/26/1979","transitional cell carcinoma-urethra","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05F72%20%231.pdf"
"37","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5533","4/26/1964","6/20/1979","metastatic splenic & hepatic hemangiosarcoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05M50%20%231.pdf"
"38","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","1","6/4/1964","6/5/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05M56%20%231.pdf"
"39","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","1","6/4/1964","6/5/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05M57%20%231.pdf"
"40","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","1","6/4/1964","6/5/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05M58%20%231.pdf"
